team,coach_name,coach_wc_matches,coach_win_rate,coach_tenure_years,international_titles,data_origin
Algeria,Algeria national team coach,2,0.304,1.4,0,proxy_from_real_team_history
Angola,Angola national team coach,1,0.16,0.9,0,proxy_from_real_team_history
Argentina,Argentina national team coach,15,0.566,3.5,1,proxy_from_real_team_history
Australia,Australia national team coach,3,0.299,1.7,0,proxy_from_real_team_history
Austria,Austria national team coach,5,0.45,2.2,0,proxy_from_real_team_history
Belgium,Belgium national team coach,9,0.468,2.9,1,proxy_from_real_team_history
Bolivia,Bolivia national team coach,1,0.16,0.9,0,proxy_from_real_team_history
Bosnia and Herzegovina,Bosnia and Herzegovina national team coach,1,0.328,0.9,0,proxy_from_real_team_history
Brazil,Brazil national team coach,20,0.661,3.8,1,proxy_from_real_team_history
Bulgaria,Bulgaria national team coach,4,0.252,2.0,0,proxy_from_real_team_history
Cameroon,Cameroon national team coach,4,0.302,2.0,0,proxy_from_real_team_history
Canada,Canada national team coach,1,0.16,0.9,0,proxy_from_real_team_history
Chile,Chile national team coach,5,0.402,2.2,0,proxy_from_real_team_history
China,China national team coach,1,0.16,0.9,0,proxy_from_real_team_history
Colombia,Colombia national team coach,3,0.438,1.7,0,proxy_from_real_team_history
Costa Rica,Costa Rica national team coach,3,0.356,1.7,0,proxy_from_real_team_history
Croatia,Croatia national team coach,5,0.464,2.2,0,proxy_from_real_team_history
Cuba,Cuba national team coach,1,0.328,0.9,0,proxy_from_real_team_history
Czech Republic,Czech Republic national team coach,1,0.328,0.9,0,proxy_from_real_team_history
Czechoslovakia,Czechoslovakia national team coach,5,0.42,2.2,0,proxy_from_real_team_history
DR Congo,DR Congo national team coach,1,0.16,0.9,0,proxy_from_real_team_history
Denmark,Denmark national team coach,4,0.428,2.0,0,proxy_from_real_team_history
Ecuador,Ecuador national team coach,2,0.404,1.4,0,proxy_from_real_team_history
Egypt,Egypt national team coach,1,0.16,0.9,0,proxy_from_real_team_history
El Salvador,El Salvador national team coach,1,0.16,0.9,0,proxy_from_real_team_history
England,England national team coach,13,0.494,3.3,1,proxy_from_real_team_history
France,France national team coach,13,0.56,3.3,1,proxy_from_real_team_history
German DR,German DR national team coach,1,0.346,0.9,0,proxy_from_real_team_history
Germany,Germany national team coach,20,0.622,3.8,1,proxy_from_real_team_history
Ghana,Ghana national team coach,2,0.375,1.4,0,proxy_from_real_team_history
Greece,Greece national team coach,1,0.276,0.9,0,proxy_from_real_team_history
Haiti,Haiti national team coach,1,0.16,0.9,0,proxy_from_real_team_history
Honduras,Honduras national team coach,1,0.16,0.9,0,proxy_from_real_team_history
Hungary,Hungary national team coach,5,0.489,2.2,1,proxy_from_real_team_history
Iceland,Iceland national team coach,1,0.16,0.9,0,proxy_from_real_team_history
Indonesia,Indonesia national team coach,1,0.16,0.9,0,proxy_from_real_team_history
Iran,Iran national team coach,3,0.274,1.7,0,proxy_from_real_team_history
Iraq,Iraq national team coach,1,0.16,0.9,0,proxy_from_real_team_history
Israel,Israel national team coach,1,0.16,0.9,0,proxy_from_real_team_history
Italy,Italy national team coach,14,0.569,3.4,1,proxy_from_real_team_history
Ivory Coast,Ivory Coast national team coach,1,0.359,0.9,0,proxy_from_real_team_history
Jamaica,Jamaica national team coach,1,0.328,0.9,0,proxy_from_real_team_history
Japan,Japan national team coach,4,0.358,2.0,0,proxy_from_real_team_history
Kuwait,Kuwait national team coach,1,0.16,0.9,0,proxy_from_real_team_history
Mexico,Mexico national team coach,10,0.39,3.0,0,proxy_from_real_team_history
Morocco,Morocco national team coach,4,0.315,2.0,0,proxy_from_real_team_history
Netherlands,Netherlands national team coach,9,0.558,2.9,1,proxy_from_real_team_history
New Zealand,New Zealand national team coach,1,0.16,0.9,0,proxy_from_real_team_history
Nigeria,Nigeria national team coach,3,0.356,1.7,0,proxy_from_real_team_history
North Korea,North Korea national team coach,1,0.228,0.9,0,proxy_from_real_team_history
Northern Ireland,Northern Ireland national team coach,2,0.304,1.4,0,proxy_from_real_team_history
Norway,Norway national team coach,1,0.301,0.9,0,proxy_from_real_team_history
Panama,Panama national team coach,1,0.16,0.9,0,proxy_from_real_team_history
Paraguay,Paraguay national team coach,4,0.348,2.0,0,proxy_from_real_team_history
Peru,Peru national team coach,3,0.345,1.7,0,proxy_from_real_team_history
Poland,Poland national team coach,6,0.481,2.4,1,proxy_from_real_team_history
Portugal,Portugal national team coach,6,0.502,2.4,1,proxy_from_real_team_history
Qatar,Qatar national team coach,1,0.16,0.9,0,proxy_from_real_team_history
