panel_id,team,sponsor,stage,predicted_roi,media_value_index,fan_conversion_rate,social_spread_index,brand_influence_score,commercial_decision_score
2014_833_Brazil,Brazil,Adidas,group_or_knockout,4.541,0.803593,0.814,0.759902,0.900554,0.879752
2010_761_Brazil,Brazil,Adidas,group_or_knockout,4.518,0.68319,0.772452,0.832924,0.900554,0.851446
2014_833_Germany,Germany,Coca-Cola,group_or_knockout,4.541,0.803593,0.673862,0.663766,0.834073,0.83442
2010_735_Brazil,Brazil,Adidas,group_or_knockout,4.445,0.668125,0.759568,0.771347,0.900554,0.822712
2010_720_Brazil,Brazil,Adidas,group_or_knockout,4.475,0.638802,0.752931,0.764029,0.900554,0.819993
2014_835_Brazil,Brazil,Adidas,group_or_knockout,4.469,0.648044,0.755685,0.721748,0.900554,0.815412
1998_517_Brazil,Brazil,Adidas,group_or_knockout,4.454,0.613952,0.742359,0.805955,0.900554,0.814327
2022_954_Brazil,Brazil,Adidas,group_or_knockout,4.437,0.687572,0.761387,0.683748,0.900554,0.813468
2014_835_Netherlands,Netherlands,Hisense,group_or_knockout,4.469,0.648044,0.692787,0.721907,0.882297,0.802287
2018_869_Russia,Russia,Hyundai,group_or_knockout,4.339,0.773689,0.666681,0.777994,0.802854,0.799353
2018_894_Brazil,Brazil,Adidas,group_or_knockout,4.377,0.656537,0.746438,0.709941,0.900554,0.795715
2018_900_France,France,Qatar Airways,group_or_knockout,4.245,0.829545,0.657044,0.739326,0.829643,0.788527
2014_806_Brazil,Brazil,Adidas,group_or_knockout,4.45,0.610056,0.737541,0.623591,0.900554,0.786278
2014_829_Brazil,Brazil,Adidas,group_or_knockout,4.413,0.595713,0.731099,0.678674,0.900554,0.782336
2018_869_Uruguay,Uruguay,Vivo,group_or_knockout,4.339,0.773689,0.808318,0.77453,0.360239,0.780101
2018_889_Brazil,Brazil,Adidas,group_or_knockout,4.381,0.597953,0.725787,0.689237,0.900554,0.777004
1994_496_Russia,Russia,Hyundai,group_or_knockout,4.262,0.74647,0.647355,0.770926,0.802854,0.773623
2018_847_Brazil,Brazil,Adidas,group_or_knockout,4.367,0.593235,0.724411,0.669609,0.900554,0.770194
2002_642_Brazil,Brazil,Adidas,group_or_knockout,4.358,0.535489,0.703513,0.741085,0.900554,0.76195
2014_788_Brazil,Brazil,Adidas,group_or_knockout,4.391,0.531647,0.707448,0.675631,0.900554,0.759195
2022_910_Spain,Spain,Budweiser,group_or_knockout,4.136,0.810632,0.69101,0.734936,0.728164,0.758098
2018_837_Russia,Russia,Hyundai,group_or_knockout,4.278,0.724822,0.638407,0.661502,0.802854,0.755104
2018_853_Russia,Russia,Hyundai,group_or_knockout,4.318,0.693952,0.634081,0.656143,0.802854,0.754718
2010_761_Chile,Chile,Hisense,group_or_knockout,4.518,0.68319,0.550594,0.592934,0.667483,0.754606
2026_970_Brazil,Brazil,Adidas,group_or_knockout,4.355,0.575409,0.713839,0.588324,0.900554,0.750609
1990_417_Brazil,Brazil,Adidas,group_or_knockout,4.328,0.522567,0.695695,0.722256,0.900554,0.749113
2006_699_Brazil,Brazil,Adidas,group_or_knockout,4.326,0.552218,0.703955,0.661763,0.900554,0.748257
2018_860_Brazil,Brazil,Adidas,group_or_knockout,4.343,0.551622,0.706267,0.625837,0.900554,0.746885
2022_930_Brazil,Brazil,Adidas,group_or_knockout,4.321,0.552891,0.703955,0.63946,0.900554,0.744291
1998_549_Brazil,Brazil,Adidas,group_or_knockout,4.335,0.529424,0.700071,0.649833,0.900554,0.742659
2002_604_Brazil,Brazil,Adidas,group_or_knockout,4.348,0.53151,0.699383,0.618715,0.900554,0.741216
2022_918_Netherlands,Netherlands,Hisense,group_or_knockout,4.135,0.671139,0.668048,0.724723,0.882297,0.737061
1994_510_Brazil,Brazil,Adidas,group_or_knockout,4.048,0.651881,0.710438,0.810653,0.900554,0.737054
2018_837_Saudi_Arabia,Saudi Arabia,Qatar Airways,group_or_knockout,4.278,0.724822,0.64377,0.610654,0.683783,0.737044
