cycle,stage,player_mix,avg_roi,avg_fanscore,avg_momentum,samples
1928,tournament,developing,3.2405,0.2112,0.4068,4
1928,tournament,solid,3.6954,0.3765,0.4683,22
1928,tournament,star,3.7917,0.4616,0.57,10
1932,tournament,developing,3.239,0.202,0.409,1
1932,tournament,solid,3.6418,0.3766,0.4693,15
1932,tournament,star,3.6612,0.4043,0.5427,18
1936,tournament,developing,3.86,0.115,0.398,1
1936,tournament,solid,3.6321,0.3689,0.4662,17
1936,tournament,star,3.9229,0.4167,0.5704,18
1948,tournament,developing,3.265,0.236,0.457,1
1948,tournament,solid,3.8217,0.4377,0.5018,26
1948,tournament,star,3.8591,0.4705,0.5486,17
1952,tournament,developing,3.5535,0.498,0.5155,2
1952,tournament,solid,3.7397,0.4703,0.4897,28
1952,tournament,star,4.0462,0.518,0.6015,22
1956,tournament,developing,3.9358,0.3574,0.5101,13
1956,tournament,solid,3.7963,0.4402,0.5277,28
1956,tournament,star,3.9463,0.5379,0.5957,29
1960,tournament,developing,3.5223,0.2867,0.4807,3
1960,tournament,solid,3.7776,0.4254,0.5215,34
1960,tournament,star,3.893,0.4849,0.566,27
1964,tournament,developing,3.6446,0.2869,0.4717,7
1964,tournament,solid,3.8776,0.5096,0.5376,19
1964,tournament,star,3.8222,0.5032,0.5568,38
1968,tournament,developing,3.5177,0.3048,0.4975,13
1968,tournament,solid,3.8057,0.4949,0.5193,29
1968,tournament,star,3.9514,0.5203,0.6158,22
1972,tournament,developing,3.5649,0.3209,0.4971,12
1972,tournament,solid,3.934,0.4277,0.5391,34
1972,tournament,star,4.0258,0.5228,0.6258,30
1976,tournament,developing,3.9524,0.4543,0.5716,12
1976,tournament,solid,3.7449,0.4776,0.5278,21
1976,tournament,star,4.0295,0.5204,0.6218,43
1980,tournament,developing,3.9003,0.3598,0.4987,26
1980,tournament,solid,3.9334,0.4915,0.5644,34
1980,tournament,star,4.0547,0.5599,0.6283,44
1984,group_or_knockout,developing,3.7747,0.3709,0.5024,16
1984,group_or_knockout,solid,3.8231,0.5474,0.5756,42
1984,group_or_knockout,star,3.8548,0.5675,0.623,46
1988,group_or_knockout,developing,3.6956,0.3644,0.4963,19
1988,group_or_knockout,solid,3.8143,0.4845,0.5304,45
1988,group_or_knockout,star,3.9772,0.5484,0.6174,40
1992,group_or_knockout,developing,3.7845,0.3551,0.5113,20
1992,group_or_knockout,solid,3.7783,0.5132,0.5525,47
1992,group_or_knockout,star,3.9618,0.5272,0.6424,37
1996,group_or_knockout,developing,3.8588,0.4334,0.5554,15
1996,group_or_knockout,solid,3.842,0.4729,0.5255,59
1996,group_or_knockout,star,4.1196,0.5806,0.6589,54
2000,group_or_knockout,developing,3.7572,0.4016,0.4747,19
2000,group_or_knockout,solid,3.7975,0.5307,0.5643,66
2000,group_or_knockout,star,3.9428,0.5918,0.634,43
2004,group_or_knockout,developing,3.5048,0.2988,0.3755,12
2004,group_or_knockout,solid,3.8499,0.4682,0.5461,62
2004,group_or_knockout,star,3.9773,0.5915,0.6442,54
2008,group_or_knockout,developing,3.6557,0.3809,0.4958,21
2008,group_or_knockout,solid,3.7326,0.5038,0.5469,59
2008,group_or_knockout,star,3.9848,0.6075,0.6574,48
2012,group_or_knockout,developing,3.8169,0.3927,0.5507,10
2012,group_or_knockout,solid,3.8308,0.5246,0.5661,66
2012,group_or_knockout,star,4.0791,0.6207,0.6717,52
2016,group_or_knockout,developing,3.9041,0.4064,0.5641,15
2016,group_or_knockout,solid,3.9512,0.5827,0.6183,69
2016,group_or_knockout,star,4.0068,0.6528,0.6592,44
2020,group_or_knockout,developing,3.6531,0.4082,0.5454,15
2020,group_or_knockout,solid,3.8184,0.5473,0.5816,65
2020,group_or_knockout,star,3.9611,0.6776,0.6892,48
