panel_id,team,sponsor,fan_score_module
1958_1_Saudi_Arabia,Saudi Arabia,Nike,0.688
2018_2_Argentina,Argentina,Nike,0.2092
1942_3_Portugal,Portugal,Coca-Cola,0.3761
1978_4_Morocco,Morocco,Emirates,0.3441
2002_5_South_Korea,South Korea,Nike,0.3046
1990_6_Uruguay,Uruguay,Pepsi,0.4057
1930_7_Spain,Spain,Pepsi,0.3251
1966_8_Croatia,Croatia,Qatar Airways,0.3206
1930_9_Nigeria,Nigeria,Visa,0.3519
1942_10_Argentina,Argentina,Nike,0.1929
1938_11_Qatar,Qatar,Nike,0.2382
1934_12_Belgium,Belgium,Mastercard,0.3567
1986_13_Croatia,Croatia,Qatar Airways,0.3581
1982_14_Nigeria,Nigeria,Visa,0.4152
1970_15_Mexico,Mexico,Emirates,0.2601
1942_16_Australia,Australia,Nike,0.283
1942_17_Ghana,Ghana,Visa,0.1848
1990_18_Saudi_Arabia,Saudi Arabia,Nike,0.7097
1970_19_Germany,Germany,Pepsi,0.2575
1978_20_USA,USA,Samsung,0.2447
1998_21_Uruguay,Uruguay,Pepsi,0.2683
1974_22_Portugal,Portugal,Coca-Cola,0.2463
2002_23_England,England,Emirates,0.4684
2002_24_Canada,Canada,Pepsi,0.2605
2022_25_Uruguay,Uruguay,Pepsi,0.3632
2018_26_Canada,Canada,Pepsi,0.4027
1958_27_England,England,Emirates,0.5783
1950_28_Germany,Germany,Pepsi,0.2524
1990_29_Qatar,Qatar,Nike,0.2303
1950_30_Italy,Italy,Qatar Airways,0.3372
1946_31_England,England,Emirates,0.4689
1946_32_Italy,Italy,Qatar Airways,0.2366
2010_33_France,France,Emirates,0.3452
1970_34_Croatia,Croatia,Qatar Airways,0.3007
2022_35_Ghana,Ghana,Visa,0.2621
1946_36_Australia,Australia,Nike,0.4244
1962_37_Italy,Italy,Qatar Airways,0.2325
2002_38_Portugal,Portugal,Coca-Cola,0.302
2010_39_France,France,Emirates,0.3371
1966_40_France,France,Emirates,0.2688
1970_41_Spain,Spain,Pepsi,0.1893
1942_42_Belgium,Belgium,Mastercard,0.2493
2006_43_Croatia,Croatia,Qatar Airways,0.3964
2006_44_Japan,Japan,Samsung,0.4879
2022_45_Brazil,Brazil,Nike,0.285
2022_46_Canada,Canada,Pepsi,0.2977
1934_47_Argentina,Argentina,Nike,0.3138
1934_48_Morocco,Morocco,Emirates,0.3658
1982_49_France,France,Emirates,0.2002
2014_50_Ghana,Ghana,Visa,0.2443
1938_51_Uruguay,Uruguay,Pepsi,0.2372
1946_52_Croatia,Croatia,Qatar Airways,0.4489
1974_53_South_Korea,South Korea,Nike,0.3345
1998_54_Mexico,Mexico,Emirates,0.2647
1946_55_France,France,Emirates,0.3314
2022_56_Australia,Australia,Nike,0.3568
1998_57_Belgium,Belgium,Mastercard,0.3441
1982_58_Uruguay,Uruguay,Pepsi,0.3575
1990_59_Saudi_Arabia,Saudi Arabia,Nike,0.7304
1946_60_South_Korea,South Korea,Nike,0.3211
1930_61_Qatar,Qatar,Nike,0.3689
1986_62_Argentina,Argentina,Nike,0.41
2002_63_Netherlands,Netherlands,Puma,0.2195
1978_64_Spain,Spain,Pepsi,0.137
