panel_id,year,match_id,team,opponent,team_side,stage,sponsor,result_for_team,match_points,team_elo,core_player_rating,core_market_value_m,player_followers_m,event_attention_m,media_reposts_k,exposure_score,fan_score_panel,sponsor_spend_m,sponsor_power_index,brand_fit,activation_quality,commercial_momentum,predicted_roi,roi_per_million_spend,attention_segment,commercial_segment,weather,temperature_c,humidity
1930_1_Belgium,1930,1,Belgium,United States,A,tournament,Visa,loss,0,1674,71.5,40.4,23.19,31.6,68.87,0.14,0.534,26.85,0.655,0.72,0.914,0.451,3.503,0.13,Mid attention,Scalable,clear,22.8,71.9
1930_2_France,1930,2,France,Mexico,A,tournament,Qatar Airways,win,3,1748,77.8,46.5,18.67,36.0,187.48,0.23,0.493,24.02,0.501,0.801,0.711,0.499,3.493,0.145,Mid attention,Scalable,clear,14.8,69.7
1930_3_Brazil,1930,3,Brazil,Yugoslavia,A,tournament,Adidas,loss,0,1829,78.8,57.4,18.61,31.6,85.92,0.164,0.421,33.15,0.774,0.809,0.916,0.452,3.648,0.11,Mid attention,Scalable,hot,21.5,30.5
1930_4_Peru,1930,4,Peru,Romania,A,tournament,Hisense,loss,0,1576,66.6,39.7,14.92,33.8,77.75,0.188,0.333,33.45,0.901,0.647,0.931,0.467,3.581,0.107,Mid attention,Scalable,rain,18.5,51.5
1930_5_Argentina,1930,5,Argentina,France,A,tournament,Hyundai,win,3,1753,76.8,58.0,19.5,27.2,116.04,0.059,0.43,30.74,0.75,0.813,0.936,0.529,3.581,0.116,Mid attention,Scalable,windy,28.5,44.2
1930_6_Chile,1930,6,Chile,Mexico,A,tournament,Hisense,win,3,1622,72.9,38.6,16.65,31.6,97.72,0.115,0.374,27.36,0.824,0.681,0.911,0.543,3.778,0.138,Mid attention,Scalable,clear,23.2,78.7
1930_7_Bolivia,1930,7,Bolivia,Yugoslavia,A,tournament,Qatar Airways,loss,0,1404,64.1,13.8,5.97,33.8,113.56,0.189,0.113,24.48,0.455,0.575,0.669,0.232,2.507,0.102,Low attention,Watchlist,cloudy,21.3,36.4
1930_8_Paraguay,1930,8,Paraguay,United States,A,tournament,Hyundai,loss,0,1578,69.9,30.5,12.88,31.6,86.88,0.135,0.27,26.2,0.66,0.667,0.921,0.351,3.378,0.129,Low attention,Watchlist,clear,22.4,83.7
1930_9_Uruguay,1930,9,Uruguay,Peru,A,tournament,Vivo,win,3,1684,74.8,44.8,20.58,27.2,71.09,0.083,0.439,19.75,0.435,0.797,0.741,0.43,3.336,0.169,Mid attention,Scalable,cloudy,24.3,57.5
1930_10_Argentina,1930,10,Argentina,Mexico,A,tournament,Hyundai,win,3,1753,76.8,58.0,19.5,44.8,122.09,0.291,0.541,30.74,0.75,0.813,0.936,0.613,3.785,0.123,Mid attention,Scalable,clear,26.7,39.4
