team,player_role,player_rating,market_value_m,followers_m,injury_risk,availability_score,fan_growth_30d_pct,sentiment_score,data_origin
Algeria,team_attack_unit,70.1,19.8,5.19,0.301,0.851,2.28,-0.086,proxy_from_real_team_history
Algeria,team_midfield_unit,72.2,29.6,2.8,0.182,0.845,0.44,0.086,proxy_from_real_team_history
Algeria,team_defense_unit,65.3,36.3,3.91,0.291,0.965,1.02,0.018,proxy_from_real_team_history
Angola,team_attack_unit,58.0,14.2,1.2,0.066,0.908,4.94,0.36,proxy_from_real_team_history
Angola,team_midfield_unit,62.0,11.6,1.99,0.077,0.952,2.14,0.135,proxy_from_real_team_history
Angola,team_defense_unit,58.0,8.3,1.03,0.223,0.801,3.56,-0.09,proxy_from_real_team_history
Argentina,team_attack_unit,73.1,30.6,3.99,0.247,0.874,4.08,0.11,proxy_from_real_team_history
Argentina,team_midfield_unit,76.8,51.9,5.86,0.443,0.793,5.71,0.242,proxy_from_real_team_history
Argentina,team_defense_unit,75.1,58.0,9.65,0.097,0.909,1.65,0.28,proxy_from_real_team_history
Australia,team_attack_unit,67.8,26.7,2.58,0.183,0.79,0.57,-0.103,proxy_from_real_team_history
Australia,team_midfield_unit,69.8,32.1,2.39,0.302,0.923,3.71,-0.154,proxy_from_real_team_history
Australia,team_defense_unit,68.7,15.7,2.4,0.149,0.873,4.89,0.406,proxy_from_real_team_history
Austria,team_attack_unit,70.0,34.7,8.15,0.299,0.916,3.71,0.082,proxy_from_real_team_history
Austria,team_midfield_unit,70.5,44.6,4.64,0.062,0.828,4.32,0.405,proxy_from_real_team_history
Austria,team_defense_unit,70.3,27.2,2.2,0.058,0.896,0.08,0.167,proxy_from_real_team_history
Belgium,team_attack_unit,71.3,21.7,8.58,0.247,0.817,4.06,0.227,proxy_from_real_team_history
Belgium,team_midfield_unit,68.6,25.3,8.51,0.072,0.737,2.36,-0.007,proxy_from_real_team_history
Belgium,team_defense_unit,71.5,40.4,6.1,0.107,0.822,4.85,-0.197,proxy_from_real_team_history
Bolivia,team_attack_unit,64.1,8.4,1.08,0.256,0.914,1.55,0.255,proxy_from_real_team_history
Bolivia,team_midfield_unit,58.0,10.2,2.94,0.277,0.725,3.26,0.176,proxy_from_real_team_history
Bolivia,team_defense_unit,60.3,13.8,1.95,0.138,0.775,4.98,0.045,proxy_from_real_team_history
Bosnia and Herzegovina,team_attack_unit,71.1,29.9,4.27,0.312,0.755,1.23,0.052,proxy_from_real_team_history
Bosnia and Herzegovina,team_midfield_unit,68.2,13.6,4.44,0.389,0.868,3.2,0.282,proxy_from_real_team_history
Bosnia and Herzegovina,team_defense_unit,67.3,15.4,1.53,0.108,0.871,4.98,0.104,proxy_from_real_team_history
Brazil,team_attack_unit,78.8,44.7,6.52,0.115,0.876,4.51,0.214,proxy_from_real_team_history
Brazil,team_midfield_unit,75.8,57.4,7.44,0.102,0.927,3.23,-0.093,proxy_from_real_team_history
Brazil,team_defense_unit,78.1,45.8,4.65,0.196,0.391,3.43,0.497,proxy_from_real_team_history
Bulgaria,team_attack_unit,63.3,28.9,5.53,0.365,0.916,1.95,-0.243,proxy_from_real_team_history
Bulgaria,team_midfield_unit,65.2,14.3,2.13,0.231,0.441,3.02,0.094,proxy_from_real_team_history
Bulgaria,team_defense_unit,62.8,15.2,2.84,0.598,0.8,3.97,-0.035,proxy_from_real_team_history
Cameroon,team_attack_unit,67.6,22.4,2.98,0.339,0.793,5.07,0.194,proxy_from_real_team_history
Cameroon,team_midfield_unit,64.0,12.7,2.44,0.259,0.918,2.41,-0.087,proxy_from_real_team_history
Cameroon,team_defense_unit,68.0,29.1,5.1,0.156,0.824,-0.75,0.451,proxy_from_real_team_history
Canada,team_attack_unit,62.1,8.2,3.39,0.157,0.913,1.95,0.132,proxy_from_real_team_history
Canada,team_midfield_unit,58.7,7.5,3.36,0.185,0.853,2.74,0.391,proxy_from_real_team_history
Canada,team_defense_unit,61.9,14.1,1.6,0.245,0.909,3.68,0.285,proxy_from_real_team_history
Chile,team_attack_unit,72.9,29.8,7.56,0.131,0.772,1.96,0.298,proxy_from_real_team_history
Chile,team_midfield_unit,68.8,21.6,4.29,0.069,0.745,3.96,-0.009,proxy_from_real_team_history
Chile,team_defense_unit,68.5,38.6,4.8,0.205,0.908,4.44,0.259,proxy_from_real_team_history
China,team_attack_unit,58.4,13.7,2.62,0.205,0.721,1.13,0.278,proxy_from_real_team_history
China,team_midfield_unit,59.9,6.4,2.38,0.429,0.917,3.24,0.506,proxy_from_real_team_history
China,team_defense_unit,65.6,6.9,2.63,0.211,0.958,4.98,0.243,proxy_from_real_team_history
Colombia,team_attack_unit,74.7,43.8,2.78,0.187,0.679,2.07,0.239,proxy_from_real_team_history
Colombia,team_midfield_unit,74.3,50.9,2.1,0.305,0.865,7.05,0.115,proxy_from_real_team_history
Colombia,team_defense_unit,72.5,24.4,3.85,0.268,0.904,4.99,0.177,proxy_from_real_team_history
Costa Rica,team_attack_unit,68.1,25.0,5.9,0.373,0.965,1.34,0.126,proxy_from_real_team_history
Costa Rica,team_midfield_unit,73.1,26.3,3.07,0.097,0.787,-0.33,0.418,proxy_from_real_team_history
