text_id,source,title,url,domain,language,sourcecountry,published_at,sentiment_score,narrative_topic
1,GDELT,Visa and HDFC Bank Bring Indian Fans Closer to FIFA World Cup 2026,https://www.deccanchronicle.com/business/in-other-news/visa-and-hdfc-bank-bring-indian-fans-closer-to-the-fifa-world-cup-2026-1950225,deccanchronicle.com,English,India,20260413T191500Z,0.0,"""FIFA World Cup"" partnership"
2,GDELT,Boggi Milano x FIFA Capsule Celebrates World Cup Winners and Hosts,https://wwd.com/fashion-news/fashion-scoops/fifa-boggi-milano-capsule-collection-world-cup-2026-1238942961/,wwd.com,English,United States,20260505T221500Z,0.0,"""FIFA World Cup"" partnership"
3,GDELT,Jamaican to receive extensive free - to - air and premium multi - platform coverage of the FIFA World Cup 2026™,https://www.jamaicaobserver.com/2026/05/25/jamaican-receive-extensive-free-air-premium-multi-platform-coverage-fifa-world-cup-2026/,jamaicaobserver.com,English,Jamaica,20260525T111500Z,0.243,"""FIFA World Cup"" partnership"
4,GDELT_chunk,Jamaican to receive extensive free to air and premium multi platform coverage of the FIFA World Cup 2026,https://www.jamaicaobserver.com/2026/05/25/jamaican-receive-extensive-free-air-premium-multi-platform-coverage-fifa-world-cup-2026/,jamaicaobserver.com,English,Jamaica,20260525T111500Z,0.243,"""FIFA World Cup"" partnership"
5,GDELT,Lenovo announces global partnership with David Beckham ; to feature in upcoming FIFA campaign,https://bestmediainfo.com/mediainfo/mediainfo-marketing/lenovo-announces-global-partnership-with-david-beckham-to-feature-in-upcoming-fifa-campaign-11438576,bestmediainfo.com,English,India,20260331T103000Z,0.277,"""FIFA World Cup"" partnership"
6,GDELT,Boston shares details on FIFA Fan Festival at City Hall plaza,https://turnto10.com/news/local/boston-shares-details-on-fifa-fan-festival-at-city-hall-plaza-official-celebration-group-stage-matches-schedule-livestreams-fans-host-committee-april-20-2026,turnto10.com,English,United States,20260421T221500Z,0.0,"""FIFA World Cup"" partnership"
7,GDELT,PIF Named as Official Tournament Supporter of FIFA World Cup 2026,https://www.finanznachrichten.de/nachrichten-2026-05/68497930-pif-named-as-official-tournament-supporter-of-fifa-world-cup-2026-004.htm,finanznachrichten.de,English,Germany,20260514T133000Z,0.0,"""FIFA World Cup"" partnership"
8,GDELT,Coca - Cola Canada House coming to downtown Vancouver during FIFA World Cup | Daily Hive,https://dailyhive.com/vancouver/canada-house-coca-cola-vancouver-fifa-world-cup,dailyhive.com,English,Canada,20260416T231500Z,0.0,"""FIFA World Cup"" partnership"
9,GDELT,"Hyundai Motor Unveils Next Starts Now Campaign , Set to Showcase Robotics at FIFA World Cup 2026™",https://www.manilatimes.net/2026/04/01/tmt-newswire/pr-newswire/hyundai-motor-unveils-next-starts-now-campaign-set-to-showcase-robotics-at-fifa-world-cup-2026/2312754,manilatimes.net,English,Philippines,20260401T150000Z,0.0,"""FIFA World Cup"" partnership"
10,GDELT,Win a motorola razr FIFA World Cup 26™ Edition,https://www.trustedreviews.com/news/win-a-motorola-razr-fifa-world-cup-26-edition,trustedreviews.com,English,United Kingdom,20260417T100000Z,0.354,"""FIFA World Cup"" partnership"
11,GDELT,"Dr . Squatch Becomes Official Sponsor of FIFA World Cup 2026™ , Launching Limited - Edition Soap and Fan Sweepstakes",http://www.prnewswire.com/news-releases/dr-squatch-becomes-official-sponsor-of-fifa-world-cup-2026-launching-limited-edition-soap-and-fan-sweepstakes-302792215.html,prnewswire.com,English,United States,20260605T133000Z,0.25,"""FIFA World Cup"" partnership"
12,GDELT,"Dr . Squatch Becomes Official Sponsor of FIFA World Cup 2026™ , Launching Limited - Edition Soap and Fan Sweepstakes",https://www.prnewswire.com/news-releases/dr-squatch-becomes-official-sponsor-of-fifa-world-cup-2026-launching-limited-edition-soap-and-fan-sweepstakes-302792215.html,prnewswire.com,English,United States,20260605T133000Z,0.25,"""FIFA World Cup"" partnership"
13,GDELT,Budweiser Honors 40 Years of FIFA World Cup™ Legacy with Limited - Edition Collectible Pack and Nostalgia - Themed Platform,https://www.postandcourier.com/press-releases/budweiser-honors-40-years-of-fifa-world-cup-legacy-with-limited-edition-collectible-pack-and/article_c5684343-b124-5ae3-a161-b39a2b396807.html,postandcourier.com,English,United States,20260407T110000Z,0.0,"""FIFA World Cup"" partnership"
14,GDELT_chunk,Budweiser Honors 40 Years of FIFA World Cup Legacy with Limited Edition Collectible Pack and Nostalgia Themed Platform,https://www.postandcourier.com/press-releases/budweiser-honors-40-years-of-fifa-world-cup-legacy-with-limited-edition-collectible-pack-and/article_c5684343-b124-5ae3-a161-b39a2b396807.html,postandcourier.com,English,United States,20260407T110000Z,0.0,"""FIFA World Cup"" partnership"
15,GDELT,World Cup 26 freebies and deals roll out ahead of tournament,https://www.fox4news.com/news/world-cup-freebies-deals,fox4news.com,English,United States,20260530T190000Z,0.0,"""FIFA World Cup"" partnership"
16,GDELT,New Research Shows Strong Potential for Travel Across Ontario During FIFA World Cup 2026™ Toronto,https://www.newswire.ca/news-releases/new-research-shows-strong-potential-for-travel-across-ontario-during-fifa-world-cup-2026-tm-toronto-835884543.html,newswire.ca,English,Canada,20260402T134500Z,0.0,"""FIFA World Cup"" partnership"
17,GDELT,Want to get paid $50K to watch the World Cup ? FOX is hiring,https://www.fox5ny.com/news/fox-hiring-fan-watch-every-world-cup-match-50k-applications-through-indeed,fox5ny.com,English,United States,20260506T144500Z,0.0,"""FIFA World Cup"" partnership"
18,GDELT,World Cup 26 freebies and deals roll out ahead of tournament,https://www.fox10phoenix.com/news/world-cup-freebies-deals,fox10phoenix.com,English,United States,20260530T191500Z,0.0,"""FIFA World Cup"" partnership"
19,GDELT,World Cup 26 freebies and deals roll out ahead of tournament,https://www.fox5ny.com/news/world-cup-freebies-deals,fox5ny.com,English,United States,20260530T161500Z,0.0,"""FIFA World Cup"" partnership"
20,GDELT,World Cup 26 freebies and deals roll out ahead of tournament,https://www.fox13news.com/news/world-cup-freebies-deals,fox13news.com,English,United States,20260530T191500Z,0.0,"""FIFA World Cup"" partnership"
21,GDELT,BTCC Exchange Named Official Regional Partner of the Argentine National Team,https://bravenewcoin.com/press-release/btcc-exchange-named-official-regional-partner-of-the-argentine-national-team,bravenewcoin.com,English,United States,20260402T220000Z,0.302,"""FIFA World Cup"" partnership"
22,GDELT,"Rema , Tyla , others to headline 2026 World Cup opening ceremony - Latest News In Nigeria , Nigeria News Today , Your Online Nigerian Newspaper",https://www.nigerianeye.com/2026/05/rema-tyla-others-to-headline-2026-world.html,nigerianeye.com,English,Nigeria,20260509T094500Z,0.0,"""FIFA World Cup"" partnership"
23,GDELT_chunk,Rema Tyla others to headline 2026 World Cup opening ceremony Latest News In Nigeria Nigeria News Today Your Online Nigerian Newspaper,https://www.nigerianeye.com/2026/05/rema-tyla-others-to-headline-2026-world.html,nigerianeye.com,English,Nigeria,20260509T094500Z,0.0,"""FIFA World Cup"" partnership"
24,GDELT,A MARKETER GUIDE TO WINNING THE 2026 FIFA WORLD CUP – APAC Edition,https://contenthub.marketing-interactive.com/veve-2026-fifa-world-cup-report/,contenthub.marketing-interactive.com,English,Singapore,20260507T230000Z,0.0,"""FIFA World Cup"" partnership"
25,GDELT,Lenovo Announces Global Partnership | African Business Technology News,https://www.itnewsafrica.com/2026/04/lenovo-announces-global-partnership/,itnewsafrica.com,English,South Africa,20260401T120000Z,0.354,"""FIFA World Cup"" partnership"
26,GDELT,Qatar Business : Qatar Airways unveils FIFA World Cup 2026 livery,https://www.gdnonline.com:443/Details/1395871/Qatar-Airways-unveils-FIFA-World-Cup-2026-livery,gdnonline.com,English,United States,20260526T060000Z,0.0,"""FIFA World Cup"" partnership"
27,GDELT,Lenovo Announces Global Partnership With David Beckham,https://montrealgazette.com/press-releases/business-wire/lenovo-announces-global-partnership-with-david-beckham/,montrealgazette.com,English,Canada,20260331T053000Z,0.378,"""FIFA World Cup"" partnership"
28,GDELT,Bafana Bafana World Cup return meets Lego global stage,https://www.citizen.co.za/lifestyle/bafana-bafanas-world-cup-return-meets-legos-global-stage/,citizen.co.za,English,South Africa,20260402T161500Z,0.333,"""FIFA World Cup"" partnership"
29,GDELT,Lenovo taps David Beckham to power its AI play ahead of World Cup,https://www.marketing-interactive.com/lenovo-taps-david-beckham-to-power-its-ai-play-ahead-of-world-cup,marketing-interactive.com,English,Singapore,20260402T124500Z,0.0,"""FIFA World Cup"" partnership"
30,GDELT,FOX One and Delta team up to deliver in - flight access to 2026 FIFA World Cup,https://www.foxnews.com/media/fox-one-delta-sync-team-travelers-wont-miss-single-2026-fifa-world-cup-moment-air,foxnews.com,English,United States,20260506T134500Z,0.0,"""FIFA World Cup"" partnership"
31,GDELT,Verizon to Power Unforgettable Fan Experiences at the FIFA World Cup 2026™,https://www.manilatimes.net/2026/04/16/tmt-newswire/globenewswire/verizon-to-power-unforgettable-fan-experiences-at-the-fifa-world-cup-2026/2321572,manilatimes.net,English,Philippines,20260416T044500Z,0.0,"""FIFA World Cup"" partnership"
32,GDELT,SLT - Mobitel PEOTV secures exclusive media broadcast rights for FIFA World Cup 2026,https://www.ft.lk/front-page/SLT-Mobitel-PEOTV-secures-exclusive-media-broadcast-rights-for-FIFA-World-Cup-2026/44-792844,ft.lk,English,Sri Lanka,20260603T211500Z,0.0,"""FIFA World Cup"" partnership"
33,GDELT,Dream job alert as Scots fans could get paid £36k to watch World Cup,https://www.heraldscotland.com/news/26084291.dream-job-alert-scots-fans-get-paid-36k-watch-world-cup/,heraldscotland.com,English,United Kingdom,20260507T103000Z,0.0,"""FIFA World Cup"" partnership"
34,GDELT,Zee bags FIFA World Cup broadcast rights in India,https://theshillongtimes.com/2026/06/02/zee-bags-fifa-world-cup-broadcast-rights-in-india/,theshillongtimes.com,English,India,20260602T011500Z,0.0,"""FIFA World Cup"" partnership"
35,GDELT,tapmad Secures Exclusive Digital and Television Rights for the FIFA World Cup in Pakistan,https://propakistani.pk/2026/05/18/tapmad-secures-exclusive-digital-and-television-rights-for-the-fifa-world-cup-in-pakistan/,propakistani.pk,English,Pakistan,20260518T183000Z,0.0,"""FIFA World Cup"" partnership"
36,GDELT,"SA , Mexico to relive iconic 2010 opening match again in Mexico City – Channel Africa",https://www.channelafrica.co.za/channelafrica/news/sa-mexico-to-relive-iconic-2010-opening-match-again-in-mexico-city/,channelafrica.co.za,English,South Africa,20260423T224500Z,0.0,"""FIFA World Cup"" partnership"
37,GDELT,"Morocco , Japan Mark 70 Years of Diplomatic Ties With Renewed Partnership",https://www.moroccoworldnews.com/2026/05/294045/morocco-japan-mark-70-years-of-diplomatic-ties-with-renewed-partnership/,moroccoworldnews.com,English,Morocco,20260508T203000Z,0.0,"""FIFA World Cup"" partnership"
38,GDELT,FIFA fun comes to National Mall during World Cup,https://wtop.com/dc/2026/05/fifa-fun-comes-to-national-mall-during-world-cup/,wtop.com,English,United States,20260527T104500Z,0.0,"""FIFA World Cup"" partnership"
39,GDELT,You could get paid $50K to watch every World Cup game . Here how to apply,https://www.9news.com/article/news/nation-world/world-cup-50k-job-to-watch-all-games-how-to-apply/507-4ed593dc-a9bb-4683-8ff7-e0dcafde2e47,9news.com,English,United States,20260509T000000Z,0.0,"""FIFA World Cup"" partnership"
40,GDELT,You could get paid $50K to watch every World Cup game . Here how to apply,https://www.khou.com/article/news/nation-world/world-cup-50k-job-to-watch-all-games-how-to-apply/507-4ed593dc-a9bb-4683-8ff7-e0dcafde2e47,khou.com,English,United States,20260508T230000Z,0.0,"""FIFA World Cup"" partnership"
41,GDELT,You could get paid $50K to watch every World Cup game . Here how to apply,https://www.wfmynews2.com/article/news/nation-world/world-cup-50k-job-to-watch-all-games-how-to-apply/507-4ed593dc-a9bb-4683-8ff7-e0dcafde2e47,wfmynews2.com,English,United States,20260508T230000Z,0.0,"""FIFA World Cup"" partnership"
42,GDELT,Jim Beam Launches Home Field Advantage Soccer Campaign,https://thewhiskeywash.com/whiskey-news/jim-beam-launches-home-field-advantage-campaign-ahead-of-world-cup/,thewhiskeywash.com,English,United States,20260407T163000Z,0.0,"""FIFA World Cup"" partnership"
43,GDELT,FIFA World Cup celebration tour coming to Cranbrook | Cranbrook Daily Townsman,https://cranbrooktownsman.com/2026/04/09/fifa-world-cup-celebration-tour-coming-to-cranbrook/,cranbrooktownsman.com,English,Canada,20260409T174500Z,0.0,"""FIFA World Cup"" partnership"
44,GDELT,You could get paid $50K to watch every World Cup game . Here how to apply,https://www.10tv.com/article/news/nation-world/world-cup-50k-job-to-watch-all-games-how-to-apply/507-4ed593dc-a9bb-4683-8ff7-e0dcafde2e47,10tv.com,English,United States,20260508T213000Z,0.0,"""FIFA World Cup"" partnership"
45,GDELT,Atlanta airport expands facial recognition security gates,https://www.fox5atlanta.com/news/atlanta-airport-expands-facial-recognition-security-gates,fox5atlanta.com,English,United States,20260417T193000Z,0.0,"""FIFA World Cup"" partnership"
46,GDELT,You could get paid $50K to watch every World Cup game . Here how to apply,https://www.11alive.com/article/news/nation-world/world-cup-50k-job-to-watch-all-games-how-to-apply/507-4ed593dc-a9bb-4683-8ff7-e0dcafde2e47,11alive.com,English,United States,20260509T011500Z,0.0,"""FIFA World Cup"" partnership"
47,GDELT,You could get paid $50K to watch every World Cup game . Here how to apply,https://www.kgw.com/article/news/nation-world/world-cup-50k-job-to-watch-all-games-how-to-apply/507-4ed593dc-a9bb-4683-8ff7-e0dcafde2e47,kgw.com,English,United States,20260508T234500Z,0.0,"""FIFA World Cup"" partnership"
48,GDELT,You could get paid $50K to watch every World Cup game . Here how to apply,https://www.kvue.com/article/news/nation-world/world-cup-50k-job-to-watch-all-games-how-to-apply/507-4ed593dc-a9bb-4683-8ff7-e0dcafde2e47,kvue.com,English,United States,20260508T230000Z,0.0,"""FIFA World Cup"" partnership"
49,GDELT,You could get paid $50K to watch every World Cup game . Here how to apply,https://www.wkyc.com/article/news/nation-world/world-cup-50k-job-to-watch-all-games-how-to-apply/507-4ed593dc-a9bb-4683-8ff7-e0dcafde2e47,wkyc.com,English,United States,20260508T231500Z,0.0,"""FIFA World Cup"" partnership"
50,GDELT,You could get paid $50K to watch every World Cup game . Here how to apply,https://www.cbs8.com/article/news/nation-world/world-cup-50k-job-to-watch-all-games-how-to-apply/507-4ed593dc-a9bb-4683-8ff7-e0dcafde2e47,cbs8.com,English,United States,20260509T020000Z,0.0,"""FIFA World Cup"" partnership"
51,GDELT,You could get paid $50K to watch every World Cup game . Here how to apply,https://www.wwltv.com/article/news/nation-world/world-cup-50k-job-to-watch-all-games-how-to-apply/507-4ed593dc-a9bb-4683-8ff7-e0dcafde2e47,wwltv.com,English,United States,20260509T011500Z,0.0,"""FIFA World Cup"" partnership"
52,GDELT,You could get paid $50K to watch every World Cup game . Here how to apply,https://www.wbir.com/article/news/nation-world/world-cup-50k-job-to-watch-all-games-how-to-apply/507-4ed593dc-a9bb-4683-8ff7-e0dcafde2e47,wbir.com,English,United States,20260508T213000Z,0.0,"""FIFA World Cup"" partnership"
