match_id,year,team_a,team_b,event_attention_m,media_reposts_k,stage,hashtag_mentions_k,video_views_m,sentiment_score,engagement_rate,fan_growth_7d_pct,news_sentiment_score,narrative_topic,text_signal_score,time_decay_attention
1,1930,Belgium,United States,31.6,55.85,tournament,104.07,28.62,0.332,0.3287,3.9,0.194,real_news_reference,0.27,29.57
2,1930,France,Mexico,36.0,75.76,tournament,107.34,78.94,0.259,0.148,3.26,0.256,real_news_reference,0.247,32.29
3,1930,Brazil,Yugoslavia,31.6,101.5,tournament,54.9,61.89,0.08,0.1676,3.6,0.215,real_news_reference,0.15,30.77
4,1930,Peru,Romania,33.8,153.92,tournament,64.36,51.8,0.101,0.2397,2.12,0.23,real_news_reference,0.173,26.4
5,1930,Argentina,France,27.2,84.9,tournament,81.67,48.54,0.02,0.2333,4.26,0.038,real_news_reference,0.049,24.94
6,1930,Chile,Mexico,31.6,105.72,tournament,155.37,48.02,0.219,0.1655,5.02,0.129,real_news_reference,0.173,30.1
7,1930,Bolivia,Yugoslavia,33.8,97.06,tournament,85.27,63.14,0.123,0.1239,4.89,0.186,real_news_reference,0.151,36.14
8,1930,Paraguay,United States,31.6,67.75,tournament,117.81,33.96,-0.049,0.3547,3.7,0.218,real_news_reference,0.112,32.62
9,1930,Uruguay,Peru,27.2,67.76,tournament,72.47,40.26,0.158,0.4187,4.77,0.288,real_news_reference,0.243,29.54
10,1930,Argentina,Mexico,44.8,91.18,tournament,136.46,59.86,0.192,0.2912,4.63,0.234,real_news_reference,0.221,41.01
11,1930,Chile,France,27.2,54.34,tournament,110.71,40.73,0.244,0.3365,8.42,0.22,real_news_reference,0.242,22.6
12,1930,Belgium,Paraguay,27.2,86.98,tournament,74.94,40.41,0.141,0.1051,5.36,0.359,real_news_reference,0.236,25.14
13,1930,Bolivia,Brazil,33.8,70.53,tournament,85.45,36.71,0.111,0.3269,2.61,0.156,real_news_reference,0.153,38.08
14,1930,Uruguay,Romania,33.8,105.63,tournament,144.75,73.33,0.347,0.394,0.89,0.125,real_news_reference,0.252,28.97
15,1930,Argentina,Chile,33.8,67.08,tournament,102.7,31.1,0.149,0.2882,2.25,0.162,real_news_reference,0.169,28.49
16,1930,Argentina,United States,40.4,125.44,tournament,159.43,36.89,0.22,0.2404,2.1,0.075,real_news_reference,0.157,45.25
17,1930,Uruguay,Yugoslavia,40.4,100.69,tournament,102.26,55.97,0.094,0.3395,3.87,0.154,real_news_reference,0.146,45.33
18,1930,Uruguay,Argentina,38.2,161.85,tournament,163.12,65.19,0.217,0.2961,1.33,0.01,real_news_reference,0.132,31.85
19,1934,Argentina,Sweden,37.46,117.2,tournament,120.5,42.46,0.003,0.4227,5.3,0.106,real_news_reference,0.091,39.6
20,1934,Austria,France,37.46,151.3,tournament,125.46,59.68,0.102,0.2861,-0.12,0.139,real_news_reference,0.137,35.01
21,1934,Belgium,Germany,41.86,96.81,tournament,129.96,77.01,0.027,0.1603,-0.63,0.224,real_news_reference,0.129,40.07
22,1934,Brazil,Spain,35.26,102.36,tournament,93.35,36.05,0.088,0.2586,2.52,0.237,real_news_reference,0.172,33.83
23,1934,Czechoslovakia,Romania,33.06,71.78,tournament,99.28,72.06,0.273,0.1463,1.03,0.071,real_news_reference,0.169,37.31
24,1934,Egypt,Hungary,39.66,100.94,tournament,106.67,53.05,0.087,0.1575,0.16,0.314,real_news_reference,0.196,33.57
25,1934,Italy,United States,44.06,117.0,tournament,168.25,76.45,0.22,0.3068,1.46,0.16,real_news_reference,0.202,46.63
26,1934,Netherlands,Switzerland,37.46,87.36,tournament,106.97,39.11,0.3,0.3709,1.2,0.167,real_news_reference,0.247,29.3
27,1934,Austria,Hungary,33.06,67.22,tournament,68.32,60.25,0.145,0.108,2.82,0.019,real_news_reference,0.085,33.27
28,1934,Czechoslovakia,Switzerland,37.46,72.06,tournament,73.95,74.64,0.247,0.2287,1.5,0.099,real_news_reference,0.179,38.02
29,1934,Germany,Sweden,33.06,49.07,tournament,64.5,34.28,0.201,0.2969,1.67,0.232,real_news_reference,0.225,34.76
30,1934,Italy,Spain,30.86,65.61,tournament,108.2,32.82,0.16,0.1805,2.79,0.162,real_news_reference,0.163,34.36
31,1934,Italy,Spain,28.66,97.63,tournament,64.56,36.27,0.223,0.2213,4.93,0.157,real_news_reference,0.193,30.13
32,1934,Czechoslovakia,Germany,35.26,64.4,tournament,114.18,32.28,0.332,0.2685,5.89,0.166,real_news_reference,0.251,36.8
33,1934,Italy,Austria,28.66,55.84,tournament,89.09,62.53,0.084,0.2503,3.11,0.033,real_news_reference,0.078,24.97
34,1934,Austria,Germany,37.46,176.75,tournament,110.73,62.85,0.052,0.1463,3.27,0.14,real_news_reference,0.101,42.61
35,1934,Italy,Czechoslovakia,33.06,79.05,tournament,110.82,55.87,0.046,0.1845,2.42,0.261,real_news_reference,0.157,31.36
36,1938,Germany,Switzerland,32.32,101.05,tournament,101.01,69.38,0.248,0.3275,3.81,0.235,real_news_reference,0.25,30.07
37,1938,Brazil,Poland,52.12,178.29,tournament,79.53,103.28,0.261,0.089,3.62,0.138,real_news_reference,0.188,50.07
38,1938,Cuba,Romania,41.12,141.46,tournament,113.93,80.53,0.094,0.2009,5.58,0.273,real_news_reference,0.185,37.91
39,1938,Czechoslovakia,Netherlands,34.52,64.41,tournament,115.33,46.3,-0.065,0.0952,-1.17,0.047,real_news_reference,0.001,34.3
40,1938,France,Belgium,36.72,98.36,tournament,166.23,49.03,0.081,0.212,2.31,0.07,real_news_reference,0.089,33.26
41,1938,Hungary,Indonesia,41.12,74.69,tournament,188.31,52.6,0.203,0.1712,3.51,0.297,real_news_reference,0.242,35.63
42,1938,Italy,Norway,34.52,195.69,tournament,73.76,46.63,0.141,0.2247,2.74,0.194,real_news_reference,0.173,38.46
43,1938,Cuba,Romania,34.52,63.12,tournament,95.02,47.65,0.166,0.4543,0.83,0.125,real_news_reference,0.176,38.46
44,1938,Germany,Switzerland,41.12,87.63,tournament,83.51,44.49,0.096,0.3156,0.07,0.144,real_news_reference,0.14,39.42
45,1938,Brazil,Czechoslovakia,32.32,69.01,tournament,141.98,44.04,0.25,0.1582,4.49,0.084,real_news_reference,0.166,36.4
46,1938,Cuba,Sweden,45.52,85.55,tournament,176.16,67.4,0.182,0.1303,1.21,0.17,real_news_reference,0.171,42.32
47,1938,France,Italy,36.72,153.25,tournament,120.42,47.82,0.207,0.3357,-0.89,0.164,real_news_reference,0.201,33.76
48,1938,Hungary,Switzerland,32.32,181.99,tournament,101.21,36.04,0.164,0.2458,4.6,0.15,real_news_reference,0.166,35.88
49,1938,Brazil,Czechoslovakia,34.52,86.34,tournament,146.45,47.83,0.201,0.3014,3.76,0.055,real_news_reference,0.145,34.79
50,1938,Brazil,Italy,34.52,68.16,tournament,140.38,52.65,0.194,0.1211,2.56,0.169,real_news_reference,0.175,36.4
51,1938,Hungary,Sweden,41.12,62.81,tournament,165.01,75.54,0.055,0.1349,0.88,0.106,real_news_reference,0.086,38.18
52,1938,Brazil,Sweden,41.12,109.74,tournament,138.47,75.03,0.185,0.1356,2.56,0.069,real_news_reference,0.128,38.1
53,1938,Hungary,Italy,41.12,107.55,tournament,113.2,47.84,0.227,0.4139,5.35,0.249,real_news_reference,0.256,33.31
54,1950,Brazil,Mexico,41.09,97.85,tournament,149.54,38.94,0.264,0.1428,-0.59,0.322,real_news_reference,0.278,46.35
55,1950,Chile,England,36.69,111.55,tournament,135.17,47.51,0.19,0.3583,-0.48,0.304,real_news_reference,0.258,31.63
56,1950,Italy,Sweden,43.29,138.18,tournament,124.0,47.8,0.052,0.2232,1.48,0.2,real_news_reference,0.136,41.47
57,1950,Spain,United States,41.09,128.54,tournament,113.06,58.12,0.067,0.3205,2.74,0.127,real_news_reference,0.119,33.75
58,1950,Switzerland,Yugoslavia,38.89,101.72,tournament,155.1,84.51,0.105,0.2029,1.76,0.142,real_news_reference,0.131,39.39
59,1950,Brazil,Switzerland,41.09,86.26,tournament,187.13,46.65,0.167,0.4294,4.15,0.181,real_news_reference,0.2,37.83
60,1950,Mexico,Yugoslavia,43.29,149.06,tournament,107.83,56.91,0.136,0.2191,5.09,0.114,real_news_reference,0.134,45.73
61,1950,Chile,Spain,36.69,105.22,tournament,103.2,67.61,0.036,0.2744,3.39,0.254,real_news_reference,0.158,35.6
62,1950,England,United States,34.49,126.39,tournament,113.11,53.87,0.035,0.2554,3.98,-0.015,real_news_reference,0.035,28.51
63,1950,Paraguay,Sweden,41.09,146.49,tournament,139.41,39.33,-0.062,0.1626,3.37,0.124,real_news_reference,0.044,32.21
64,1950,Brazil,Yugoslavia,36.69,70.42,tournament,96.73,40.73,-0.164,0.1861,2.82,0.212,real_news_reference,0.04,31.42
