panel_id,team,sponsor,predicted_roi,roi_formula_score,roi_per_million_spend
1958_1_Saudi_Arabia,Saudi Arabia,Nike,3.157,2.8573,0.4
2018_2_Argentina,Argentina,Nike,2.583,1.8498,0.275
1942_3_Portugal,Portugal,Coca-Cola,2.799,2.5862,0.242
1978_4_Morocco,Morocco,Emirates,2.517,1.8477,0.292
2002_5_South_Korea,South Korea,Nike,2.371,1.8075,0.095
1990_6_Uruguay,Uruguay,Pepsi,3.131,2.067,0.46
1930_7_Spain,Spain,Pepsi,2.414,2.25,0.071
1966_8_Croatia,Croatia,Qatar Airways,2.851,2.5402,0.328
1930_9_Nigeria,Nigeria,Visa,2.619,2.0024,0.235
1942_10_Argentina,Argentina,Nike,2.517,2.0062,0.268
1938_11_Qatar,Qatar,Nike,2.802,2.3754,0.544
1934_12_Belgium,Belgium,Mastercard,2.908,2.1772,0.511
1986_13_Croatia,Croatia,Qatar Airways,2.932,2.0701,0.337
1982_14_Nigeria,Nigeria,Visa,2.807,2.631,0.252
1970_15_Mexico,Mexico,Emirates,2.673,2.543,0.649
1942_16_Australia,Australia,Nike,2.789,2.182,0.604
1942_17_Ghana,Ghana,Visa,2.576,1.7576,0.367
1990_18_Saudi_Arabia,Saudi Arabia,Nike,3.19,2.3502,0.404
1970_19_Germany,Germany,Pepsi,2.591,2.1438,0.336
1978_20_USA,USA,Samsung,2.676,2.5416,0.398
1998_21_Uruguay,Uruguay,Pepsi,2.699,1.8495,0.397
1974_22_Portugal,Portugal,Coca-Cola,2.438,2.0082,0.211
2002_23_England,England,Emirates,2.66,2.4334,0.12
2002_24_Canada,Canada,Pepsi,2.871,2.5363,0.596
2022_25_Uruguay,Uruguay,Pepsi,3.006,2.1984,0.442
2018_26_Canada,Canada,Pepsi,3.328,2.2691,0.69
1958_27_England,England,Emirates,2.977,2.0731,0.135
1950_28_Germany,Germany,Pepsi,2.602,1.9438,0.337
1990_29_Qatar,Qatar,Nike,2.784,1.837,0.541
1950_30_Italy,Italy,Qatar Airways,2.856,1.9936,0.277
1946_31_England,England,Emirates,2.635,1.8803,0.119
1946_32_Italy,Italy,Qatar Airways,2.531,2.3422,0.245
2010_33_France,France,Emirates,2.646,2.415,0.133
1970_34_Croatia,Croatia,Qatar Airways,2.768,2.528,0.319
2022_35_Ghana,Ghana,Visa,2.815,1.9116,0.402
1946_36_Australia,Australia,Nike,3.194,2.7727,0.691
1962_37_Italy,Italy,Qatar Airways,2.547,2.3177,0.247
2002_38_Portugal,Portugal,Coca-Cola,2.575,1.9202,0.223
2010_39_France,France,Emirates,2.643,2.4512,0.133
1966_40_France,France,Emirates,2.382,1.7623,0.12
1970_41_Spain,Spain,Pepsi,1.956,2.0028,0.057
1942_42_Belgium,Belgium,Mastercard,2.587,2.0186,0.455
2006_43_Croatia,Croatia,Qatar Airways,3.078,2.6879,0.354
2006_44_Japan,Japan,Samsung,2.927,2.2058,0.243
2022_45_Brazil,Brazil,Nike,2.221,1.7049,0.085
2022_46_Canada,Canada,Pepsi,2.959,2.229,0.614
1934_47_Argentina,Argentina,Nike,2.898,2.2169,0.309
1934_48_Morocco,Morocco,Emirates,2.608,2.0471,0.302
1982_49_France,France,Emirates,2.178,1.8195,0.11
2014_50_Ghana,Ghana,Visa,2.747,1.873,0.392
1938_51_Uruguay,Uruguay,Pepsi,2.553,1.795,0.375
1946_52_Croatia,Croatia,Qatar Airways,3.239,2.2036,0.373
1974_53_South_Korea,South Korea,Nike,2.455,1.8473,0.098
1998_54_Mexico,Mexico,Emirates,2.709,2.1516,0.658
1946_55_France,France,Emirates,2.629,1.856,0.132
2022_56_Australia,Australia,Nike,3.006,2.2718,0.651
1998_57_Belgium,Belgium,Mastercard,2.884,2.3635,0.507
1982_58_Uruguay,Uruguay,Pepsi,2.947,2.1949,0.433
1990_59_Saudi_Arabia,Saudi Arabia,Nike,3.254,2.5872,0.412
1946_60_South_Korea,South Korea,Nike,2.414,1.8124,0.097
1930_61_Qatar,Qatar,Nike,3.221,2.277,0.625
1986_62_Argentina,Argentina,Nike,3.173,2.7406,0.338
2002_63_Netherlands,Netherlands,Puma,2.423,1.7762,0.24
1978_64_Spain,Spain,Pepsi,1.773,1.5665,0.052
1954_65_Croatia,Croatia,Qatar Airways,2.922,2.0416,0.336
1950_66_Croatia,Croatia,Qatar Airways,2.587,2.4171,0.298
1954_67_Uruguay,Uruguay,Pepsi,2.455,1.9246,0.361
1994_68_Australia,Australia,Nike,2.968,2.0714,0.642
2006_69_Australia,Australia,Nike,3.036,2.3174,0.657
1998_70_England,England,Emirates,2.793,1.9808,0.126
1970_71_Netherlands,Netherlands,Puma,2.302,2.2447,0.228
1998_72_Spain,Spain,Pepsi,2.045,2.0652,0.06
1930_73_Senegal,Senegal,Pepsi,2.681,1.9504,0.186
2014_74_England,England,Emirates,2.612,2.3884,0.118
1970_75_Italy,Italy,Qatar Airways,2.812,1.9336,0.273
2022_76_Croatia,Croatia,Qatar Airways,2.84,2.1864,0.327
1938_77_Portugal,Portugal,Coca-Cola,2.425,2.0398,0.21
1942_78_Spain,Spain,Pepsi,2.384,2.2642,0.07
1938_79_Nigeria,Nigeria,Visa,2.783,2.0416,0.25
1958_80_Italy,Italy,Qatar Airways,2.422,1.7368,0.235
1962_81_Ghana,Ghana,Visa,2.745,1.8453,0.392
1986_82_France,France,Emirates,2.638,1.9002,0.133
2018_83_Qatar,Qatar,Nike,2.871,2.0702,0.557
1966_84_Australia,Australia,Nike,2.819,1.9815,0.61
1966_85_Argentina,Argentina,Nike,2.848,2.023,0.304
2010_86_Brazil,Brazil,Nike,2.367,1.7837,0.09
1946_87_Croatia,Croatia,Qatar Airways,3.245,2.2104,0.373
2018_88_Croatia,Croatia,Qatar Airways,2.566,2.389,0.295
2018_89_South_Korea,South Korea,Nike,2.491,2.0299,0.1
1962_90_Mexico,Mexico,Emirates,2.434,2.3885,0.591
1970_91_Senegal,Senegal,Pepsi,2.762,2.555,0.191
1998_92_Qatar,Qatar,Nike,2.949,1.9634,0.573
2022_93_Mexico,Mexico,Emirates,2.636,2.5155,0.64
2022_94_Germany,Germany,Pepsi,2.654,2.1439,0.344
1942_95_Nigeria,Nigeria,Visa,3.345,2.9118,0.3
1962_96_Japan,Japan,Samsung,2.635,2.036,0.219
1982_97_Senegal,Senegal,Pepsi,2.76,2.0217,0.191
1978_98_Belgium,Belgium,Mastercard,2.677,2.2188,0.47
2014_99_Morocco,Morocco,Emirates,2.572,2.4295,0.298
1970_100_Ghana,Ghana,Visa,2.651,1.8036,0.378
2022_101_Australia,Australia,Nike,2.502,2.0293,0.542
1982_102_Japan,Japan,Samsung,2.945,2.0071,0.245
1982_103_Germany,Germany,Pepsi,2.811,2.0418,0.365
2010_104_Nigeria,Nigeria,Visa,3.068,2.3706,0.275
1978_105_Germany,Germany,Pepsi,2.917,2.1048,0.378
2022_106_Croatia,Croatia,Qatar Airways,2.553,1.88,0.294
1974_107_France,France,Emirates,2.325,2.2627,0.117
1942_108_Mexico,Mexico,Emirates,2.89,2.071,0.701
1954_109_Portugal,Portugal,Coca-Cola,2.687,2.5412,0.232
1958_110_Uruguay,Uruguay,Pepsi,2.735,2.0476,0.402
1990_111_Ghana,Ghana,Visa,2.802,1.9137,0.4
1954_112_Canada,Canada,Pepsi,2.826,2.1464,0.586
1978_113_Argentina,Argentina,Nike,3.237,2.737,0.345
2022_114_Senegal,Senegal,Pepsi,2.824,2.1928,0.196
1994_115_Spain,Spain,Pepsi,2.443,1.9168,0.071
1974_116_South_Korea,South Korea,Nike,2.708,2.5066,0.109
1994_117_Uruguay,Uruguay,Pepsi,2.809,2.0755,0.413
2006_118_Ghana,Ghana,Visa,2.651,2.3296,0.378
1954_119_Canada,Canada,Pepsi,2.833,2.1742,0.588
1934_120_Italy,Italy,Qatar Airways,2.726,1.8948,0.264
1934_121_Italy,Italy,Qatar Airways,2.978,2.5635,0.289
1962_122_Ghana,Ghana,Visa,2.912,2.4916,0.415
2002_123_Netherlands,Netherlands,Puma,2.458,2.0005,0.244
1994_124_Qatar,Qatar,Nike,3.287,2.6658,0.638
2018_125_France,France,Emirates,2.467,1.8084,0.124
1954_126_Portugal,Portugal,Coca-Cola,2.364,1.806,0.204
2018_127_Canada,Canada,Pepsi,2.75,2.101,0.571
1974_128_Japan,Japan,Samsung,2.621,2.3517,0.218
2010_129_Qatar,Qatar,Nike,2.57,2.2957,0.499
1958_130_England,England,Emirates,2.803,2.5346,0.127
1998_131_Croatia,Croatia,Qatar Airways,3.108,2.669,0.358
1986_132_Japan,Japan,Samsung,2.892,1.9986,0.24
1930_133_Canada,Canada,Pepsi,2.834,2.5152,0.588
1986_134_England,England,Emirates,2.539,2.3893,0.115
2010_135_France,France,Emirates,2.477,2.3049,0.125
1942_136_Senegal,Senegal,Pepsi,2.837,2.0162,0.196
1958_137_France,France,Emirates,2.48,2.0155,0.125
2006_138_Uruguay,Uruguay,Pepsi,2.851,2.4609,0.419
1934_139_Netherlands,Netherlands,Puma,2.465,2.3564,0.244
1966_140_Germany,Germany,Pepsi,2.749,2.0173,0.357
1954_141_Senegal,Senegal,Pepsi,2.733,2.489,0.189
1938_142_Belgium,Belgium,Mastercard,2.531,1.9964,0.445
1982_143_Argentina,Argentina,Nike,3.463,2.8652,0.369
1966_144_Spain,Spain,Pepsi,2.711,2.1203,0.079
1962_145_Croatia,Croatia,Qatar Airways,2.757,2.5134,0.317
1934_146_South_Korea,South Korea,Nike,2.247,1.7218,0.09
1966_147_Belgium,Belgium,Mastercard,3.007,2.7302,0.528
2002_148_USA,USA,Samsung,2.63,1.9368,0.391
1958_149_France,France,Emirates,2.547,1.8292,0.128
1962_150_Portugal,Portugal,Coca-Cola,2.873,2.6165,0.248
1930_151_Australia,Australia,Nike,2.752,2.5092,0.596
1990_152_Mexico,Mexico,Emirates,2.563,2.1023,0.622
1986_153_Canada,Canada,Pepsi,2.581,2.3573,0.535
1930_154_England,England,Emirates,2.809,2.1633,0.127
