team,sponsor,sponsor_category,sponsor_spend_m,ad_exposure_m,brand_heat_index,paid_media_share,brand_fit,activation_quality,historical_sports_presence,data_origin
Brazil,Adidas,apparel,26.5,510.0,1.0,0.511,0.815,0.918,0.839,real_sponsor_names_with_proxy_commercial_metrics
Germany,Coca-Cola,beverage,28.14,200.0,1.0,0.391,0.841,0.863,0.825,real_sponsor_names_with_proxy_commercial_metrics
Italy,Visa,finance,30.86,360.0,1.0,0.503,0.817,0.877,0.807,real_sponsor_names_with_proxy_commercial_metrics
Argentina,Hyundai,automotive,33.96,470.0,1.0,0.193,0.745,0.879,0.806,real_sponsor_names_with_proxy_commercial_metrics
France,Qatar Airways,airline,27.11,340.0,1.0,0.197,0.824,0.865,0.641,real_sponsor_names_with_proxy_commercial_metrics
Netherlands,Hisense,technology,28.93,200.0,1.0,0.559,0.843,0.933,0.573,real_sponsor_names_with_proxy_commercial_metrics
Spain,Budweiser,beverage,28.79,340.0,1.0,0.103,0.743,0.877,0.601,real_sponsor_names_with_proxy_commercial_metrics
England,McDonald's,restaurant,25.07,76.0,0.537,0.407,0.766,0.656,0.57,real_sponsor_names_with_proxy_commercial_metrics
Portugal,Mengniu,consumer_goods,23.42,67.78,0.45,0.449,0.755,0.61,0.633,real_sponsor_names_with_proxy_commercial_metrics
Uruguay,Vivo,technology,21.56,68.11,0.454,0.192,0.744,0.632,0.606,real_sponsor_names_with_proxy_commercial_metrics
Hungary,Adidas,apparel,26.96,510.0,1.0,0.515,0.697,0.871,0.825,real_sponsor_names_with_proxy_commercial_metrics
Poland,Coca-Cola,beverage,33.35,200.0,1.0,0.194,0.757,0.846,0.913,real_sponsor_names_with_proxy_commercial_metrics
Belgium,Visa,finance,27.71,360.0,1.0,0.471,0.713,0.904,0.81,real_sponsor_names_with_proxy_commercial_metrics
Russia,Hyundai,automotive,27.7,470.0,1.0,0.418,0.778,0.856,0.868,real_sponsor_names_with_proxy_commercial_metrics
Yugoslavia,Qatar Airways,airline,28.84,340.0,1.0,0.231,0.685,0.845,0.658,real_sponsor_names_with_proxy_commercial_metrics
Croatia,Hisense,technology,32.46,200.0,1.0,0.672,0.696,0.93,0.569,real_sponsor_names_with_proxy_commercial_metrics
Sweden,Budweiser,beverage,33.21,340.0,1.0,0.524,0.694,0.916,0.59,real_sponsor_names_with_proxy_commercial_metrics
Austria,McDonald's,restaurant,18.2,61.03,0.379,0.346,0.745,0.652,0.65,real_sponsor_names_with_proxy_commercial_metrics
Colombia,Mengniu,consumer_goods,19.52,67.97,0.452,0.803,0.688,0.649,0.667,real_sponsor_names_with_proxy_commercial_metrics
Mexico,Vivo,technology,20.36,72.09,0.496,0.427,0.748,0.634,0.615,real_sponsor_names_with_proxy_commercial_metrics
Denmark,Adidas,apparel,32.05,510.0,1.0,0.223,0.735,0.923,0.912,real_sponsor_names_with_proxy_commercial_metrics
Czechoslovakia,Coca-Cola,beverage,27.51,200.0,1.0,0.348,0.724,0.904,0.835,real_sponsor_names_with_proxy_commercial_metrics
Switzerland,Visa,finance,32.62,360.0,1.0,0.604,0.698,0.924,0.879,real_sponsor_names_with_proxy_commercial_metrics
Turkey,Hyundai,automotive,28.74,470.0,1.0,0.46,0.733,0.841,0.803,real_sponsor_names_with_proxy_commercial_metrics
Romania,Qatar Airways,airline,31.16,340.0,1.0,0.453,0.771,0.857,0.642,real_sponsor_names_with_proxy_commercial_metrics
Chile,Hisense,technology,28.57,200.0,1.0,0.443,0.74,0.851,0.645,real_sponsor_names_with_proxy_commercial_metrics
Senegal,Budweiser,beverage,26.73,340.0,1.0,0.452,0.769,0.929,0.629,real_sponsor_names_with_proxy_commercial_metrics
Ecuador,McDonald's,restaurant,24.14,71.35,0.488,0.64,0.708,0.664,0.61,real_sponsor_names_with_proxy_commercial_metrics
United States,Mengniu,consumer_goods,19.54,70.66,0.481,0.192,0.677,0.645,0.645,real_sponsor_names_with_proxy_commercial_metrics
Ghana,Vivo,technology,18.56,68.92,0.462,0.21,0.704,0.692,0.651,real_sponsor_names_with_proxy_commercial_metrics
Japan,Adidas,apparel,26.51,510.0,1.0,0.433,0.685,0.929,0.873,real_sponsor_names_with_proxy_commercial_metrics
Nigeria,Coca-Cola,beverage,27.28,200.0,1.0,0.497,0.727,0.856,0.872,real_sponsor_names_with_proxy_commercial_metrics
Costa Rica,Visa,finance,28.23,360.0,1.0,0.392,0.668,0.893,0.86,real_sponsor_names_with_proxy_commercial_metrics
Paraguay,Hyundai,automotive,29.15,470.0,1.0,0.602,0.645,0.902,0.844,real_sponsor_names_with_proxy_commercial_metrics
