match_id,year,team_a,team_b,stage,neutral_site,host_advantage_a,stadium_capacity_k,temperature_c,humidity,weather,event_attention_m,media_reposts_k,result
1,1958,Saudi Arabia,Morocco,semi_final,1,0.0,40.5,26.8,59.1,windy,43.22,127.53,A_win
2,2018,Argentina,USA,group,1,0.0,54.8,16.4,55.3,clear,37.53,72.79,B_win
3,1942,Portugal,Uruguay,quarter_final,0,0.18,58.6,18.1,38.5,clear,52.55,180.28,A_win
4,1978,Morocco,Ghana,round_16,1,0.0,54.8,20.0,62.6,clear,47.22,113.86,B_win
5,2002,South Korea,Australia,round_16,1,0.0,81.0,15.9,19.9,rain,41.46,125.83,B_win
6,1990,Uruguay,Croatia,round_16,1,0.0,40.0,21.3,44.4,rain,59.42,159.24,B_win
7,1930,Spain,Belgium,group,1,0.0,56.5,24.9,64.6,cloudy,47.8,193.44,A_win
8,1966,Croatia,Argentina,semi_final,1,0.0,62.5,24.1,64.1,rain,47.87,73.0,A_win
9,1930,Nigeria,Canada,group,1,0.0,71.3,14.6,50.7,cloudy,32.35,95.61,B_win
10,1942,Argentina,Brazil,semi_final,1,0.0,57.8,22.5,56.1,hot,31.37,102.0,draw
11,1938,Qatar,Japan,semi_final,0,0.0,18.0,12.1,43.0,cloudy,44.44,115.71,A_win
12,1934,Belgium,England,quarter_final,1,0.0,33.4,26.7,59.8,rain,47.99,251.35,B_win
13,1986,Croatia,Canada,semi_final,0,0.0,64.4,27.9,46.8,rain,43.17,194.46,B_win
14,1982,Nigeria,Australia,group,1,0.0,44.1,24.8,47.7,cloudy,34.48,200.19,A_win
15,1970,Mexico,Croatia,group,1,0.0,76.6,35.5,63.6,cloudy,40.79,81.92,A_win
16,1942,Australia,England,group,1,0.0,77.2,26.0,51.6,clear,43.87,47.25,draw
17,1942,Ghana,Saudi Arabia,group,1,0.0,46.6,33.6,49.3,cloudy,30.34,91.09,B_win
18,1990,Saudi Arabia,Ghana,semi_final,1,0.0,36.2,22.2,44.6,cloudy,46.23,140.58,B_win
19,1970,Germany,Ghana,group,1,0.0,75.7,21.1,32.5,cloudy,32.42,114.54,draw
20,1978,USA,Netherlands,round_16,1,0.0,63.3,21.9,49.3,clear,35.98,181.38,A_win
21,1998,Uruguay,Nigeria,group,1,0.0,60.1,29.8,56.9,clear,38.11,99.04,B_win
22,1974,Portugal,Belgium,group,1,0.0,64.1,15.4,84.0,rain,38.31,64.49,draw
23,2002,England,Canada,group,1,0.0,63.4,26.2,65.4,cloudy,45.26,65.02,A_win
24,2002,Canada,USA,group,1,0.0,61.2,20.5,66.7,clear,46.31,139.07,A_win
25,2022,Uruguay,Japan,semi_final,1,0.0,69.2,24.7,44.3,clear,53.57,133.32,draw
26,2018,Canada,Netherlands,final,1,0.0,97.1,14.4,84.5,rain,65.71,227.97,B_win
27,1958,England,Italy,group,1,0.0,47.7,23.6,38.7,rain,49.14,244.78,B_win
28,1950,Germany,Morocco,group,1,0.0,61.6,33.2,95.0,windy,28.64,142.19,B_win
29,1990,Qatar,Brazil,quarter_final,1,0.0,35.6,13.2,69.8,cloudy,43.77,106.74,B_win
30,1950,Italy,Netherlands,round_16,1,0.0,83.3,27.5,75.5,clear,46.76,208.63,B_win
31,1946,England,Croatia,round_16,1,0.0,45.3,33.1,73.1,rain,40.72,111.25,B_win
32,1946,Italy,England,group,1,0.0,63.6,17.1,66.1,clear,38.68,89.38,A_win
33,2010,France,Nigeria,round_16,1,0.0,24.4,17.7,53.3,hot,43.23,210.63,A_win
34,1970,Croatia,USA,group,1,0.0,85.5,7.8,22.0,clear,39.32,118.72,A_win
35,2022,Ghana,France,group,1,0.0,73.4,25.9,47.9,cloudy,41.78,130.46,B_win
36,1946,Australia,Qatar,quarter_final,1,0.0,53.9,13.4,40.3,cloudy,44.87,318.56,A_win
37,1962,Italy,Morocco,group,1,0.0,42.0,23.4,29.2,cloudy,35.55,112.49,A_win
38,2002,Portugal,Germany,group,1,0.0,57.8,14.4,52.3,rain,40.69,151.49,B_win
39,2010,France,Australia,group,1,0.0,89.4,15.4,41.3,clear,51.91,107.68,A_win
40,1966,France,Spain,group,1,0.0,46.6,17.8,95.0,clear,34.83,142.7,B_win
41,1970,Spain,Saudi Arabia,semi_final,0,0.0,38.9,33.3,57.2,hot,29.79,103.33,A_win
42,1942,Belgium,Qatar,group,1,0.0,67.1,20.2,37.8,cloudy,39.53,122.41,B_win
43,2006,Croatia,Saudi Arabia,group,1,0.0,78.4,17.0,88.3,clear,49.01,212.26,A_win
44,2006,Japan,Croatia,semi_final,1,0.0,82.3,18.4,63.4,cloudy,54.75,132.0,draw
45,2022,Brazil,Netherlands,group,1,0.0,70.7,20.9,57.1,clear,38.35,85.99,B_win
46,2022,Canada,Spain,round_16,0,0.18,48.0,24.2,47.2,rain,50.43,172.05,draw
47,1934,Argentina,Uruguay,quarter_final,1,0.0,62.0,14.7,57.6,clear,46.84,187.78,draw
48,1934,Morocco,Portugal,round_16,1,0.0,32.8,19.4,37.2,cloudy,48.17,147.44,draw
49,1982,France,Uruguay,quarter_final,1,0.0,42.1,32.6,15.0,clear,29.57,58.77,draw
50,2014,Ghana,England,group,1,0.0,64.0,13.6,79.4,clear,41.12,101.53,B_win
51,1938,Uruguay,Ghana,group,1,0.0,56.0,29.2,24.2,clear,29.7,121.25,B_win
52,1946,Croatia,England,final,0,0.18,45.2,27.0,65.9,cloudy,66.72,139.65,B_win
53,1974,South Korea,Qatar,round_16,1,0.0,67.0,15.0,64.3,hot,44.32,156.74,B_win
54,1998,Mexico,Brazil,group,1,0.0,30.3,30.0,51.2,clear,41.5,84.04,draw
55,1946,France,Morocco,round_16,1,0.0,32.3,23.8,64.6,cloudy,46.64,149.1,B_win
56,2022,Australia,England,round_16,1,0.0,30.0,24.7,80.5,clear,47.28,159.78,draw
57,1998,Belgium,Spain,group,0,0.0,67.6,22.7,68.4,windy,48.56,220.68,draw
58,1982,Uruguay,Brazil,group,1,0.0,68.4,23.9,67.2,hot,39.72,260.39,draw
59,1990,Saudi Arabia,Japan,group,0,0.0,58.4,22.5,54.2,clear,43.21,211.97,draw
60,1946,South Korea,Spain,group,1,0.0,53.7,17.5,42.4,cloudy,43.22,141.06,B_win
61,1930,Qatar,Italy,final,1,0.0,63.8,14.3,83.9,cloudy,61.54,204.62,draw
62,1986,Argentina,Qatar,semi_final,1,0.0,56.3,21.2,84.4,cloudy,50.69,340.59,A_win
63,2002,Netherlands,Japan,round_16,1,0.0,65.4,30.9,58.7,rain,40.52,75.62,B_win
64,1978,Spain,Japan,group,1,0.0,54.9,22.9,95.0,windy,23.54,61.69,draw
65,1954,Croatia,Spain,group,1,0.0,45.0,30.1,33.3,clear,46.55,148.87,B_win
66,1950,Croatia,Netherlands,group,1,0.0,63.2,15.9,70.8,cloudy,32.51,80.1,A_win
67,1954,Uruguay,England,group,1,0.0,57.3,38.0,60.4,clear,26.23,95.48,draw
68,1994,Australia,Portugal,group,1,0.0,53.0,10.5,35.2,cloudy,46.0,127.32,B_win
69,2006,Australia,Mexico,group,0,0.0,66.9,26.2,75.7,hot,40.19,243.89,draw
70,1998,England,Spain,quarter_final,1,0.0,71.4,25.7,56.1,cloudy,47.77,132.11,B_win
71,1970,Netherlands,Senegal,group,1,0.0,48.7,21.4,33.2,rain,33.47,77.92,A_win
72,1998,Spain,England,group,1,0.0,39.7,17.4,46.6,windy,35.88,114.09,A_win
73,1930,Senegal,Croatia,group,1,0.0,34.7,15.2,58.5,cloudy,39.93,55.27,B_win
74,2014,England,Argentina,group,1,0.0,32.1,7.6,75.0,clear,39.31,100.69,A_win
