team,elo,coach_wc_matches,squad_market_value_m,recent_goal_diff,social_followers_m,brand_globality
Algeria,1543,2,333.4,-0.31,18.82,0.474
Angola,1388,1,142.7,-0.33,8.65,0.277
Argentina,1753,15,591.7,0.26,33.16,0.743
Australia,1539,3,329.7,-0.4,20.21,0.479
Austria,1660,5,475.8,-0.03,25.77,0.617
Belgium,1674,9,495.4,0.02,28.38,0.646
Bolivia,1404,1,163.9,-0.83,11.34,0.308
Bosnia and Herzegovina,1562,1,349.3,-0.33,14.65,0.46
Brazil,1829,20,683.6,0.5,36.78,0.83
Bulgaria,1502,4,286.8,-0.46,19.9,0.447
Cameroon,1542,4,334.5,-0.31,21.28,0.489
Canada,1404,1,163.9,-1.0,11.34,0.308
Chile,1622,5,430.7,-0.12,24.93,0.579
China,1388,1,142.7,-1.0,8.65,0.277
Colombia,1650,3,462.8,-0.05,24.41,0.599
Costa Rica,1585,3,384.6,-0.19,21.98,0.529
Croatia,1671,5,489.2,0.13,26.28,0.629
Cuba,1562,1,349.3,0.0,14.65,0.46
Czech Republic,1562,1,349.3,-0.33,14.65,0.46
Czechoslovakia,1636,5,447.8,-0.1,25.08,0.592
DR Congo,1388,1,142.7,-1.0,8.65,0.277
Denmark,1642,4,453.4,0.04,24.3,0.592
Ecuador,1623,2,428.7,-0.08,21.59,0.558
Egypt,1408,1,169.0,-0.71,11.98,0.316
El Salvador,1404,1,163.9,-1.0,11.34,0.308
England,1695,13,522.2,0.16,30.51,0.678
France,1748,13,584.8,0.26,32.28,0.733
German DR,1577,1,370.6,0.0,17.34,0.491
Germany,1798,20,646.1,0.4,35.62,0.797
Ghana,1600,2,402.0,-0.13,21.31,0.537
Greece,1521,1,305.1,-0.4,17.11,0.443
Haiti,1388,1,142.7,-1.0,8.65,0.277
Honduras,1414,1,177.5,-0.67,13.05,0.328
Hungary,1691,5,513.5,0.03,27.22,0.652
Iceland,1388,1,142.7,-0.67,8.65,0.277
Indonesia,1369,1,116.3,-1.0,5.33,0.239
Iran,1519,3,305.2,-0.44,19.13,0.455
Iraq,1388,1,142.7,-1.0,8.65,0.277
Israel,1388,1,142.7,-0.33,8.65,0.277
Italy,1755,14,594.5,0.34,33.03,0.744
Ivory Coast,1587,1,384.2,-0.22,19.05,0.511
Jamaica,1562,1,349.3,-0.33,14.65,0.46
Japan,1586,4,387.4,-0.2,22.68,0.535
Kuwait,1388,1,142.7,-0.67,8.65,0.277
Mexico,1612,10,421.9,-0.18,26.83,0.584
Morocco,1552,4,345.5,-0.26,21.17,0.496
Netherlands,1746,9,581.1,0.35,31.14,0.724
New Zealand,1404,1,163.9,-0.5,11.34,0.308
Nigeria,1585,3,384.6,-0.29,21.98,0.529
North Korea,1482,1,257.6,-0.57,14.55,0.394
Northern Ireland,1543,2,333.4,-0.15,18.82,0.474
Norway,1541,1,328.5,-0.12,17.05,0.46
Panama,1388,1,142.7,-1.0,8.65,0.277
Paraguay,1578,4,377.4,-0.11,22.66,0.528
Peru,1576,3,374.1,-0.28,21.13,0.516
Poland,1685,6,506.6,0.05,27.64,0.65
Portugal,1702,6,527.3,0.14,27.94,0.666
Qatar,1388,1,142.7,-1.0,8.65,0.277
Republic of Ireland,1503,2,285.7,-0.08,17.44,0.431
Romania,1634,3,443.7,0.0,23.69,0.581
Russia,1676,8,497.3,0.07,27.98,0.645
Saudi Arabia,1543,3,334.4,-0.47,20.17,0.482
Scotland,1529,4,318.6,-0.35,20.39,0.472
Senegal,1638,2,445.8,0.08,21.81,0.572
Serbia,1559,2,352.7,-0.38,20.1,0.495
Slovakia,1525,1,306.2,-0.25,14.23,0.427
Slovenia,1491,1,267.3,-0.5,14.34,0.4
South Africa,1530,1,315.3,-0.11,17.05,0.45
South Korea,1548,6,343.4,-0.37,22.9,0.505
Spain,1708,12,537.2,0.18,30.58,0.689
Sweden,1654,9,471.1,0.0,27.67,0.624
Switzerland,1632,7,443.7,-0.12,26.09,0.595
Togo,1388,1,142.7,-1.0,8.65,0.277
Trinidad and Tobago,1388,1,142.7,-0.67,8.65,0.277
Tunisia,1519,3,305.2,-0.39,19.13,0.455
Turkey,1677,1,491.1,0.1,22.51,0.608
Ukraine,1608,1,406.1,0.0,17.8,0.52
United Arab Emirates,1388,1,142.7,-1.0,8.65,0.277
United States,1578,6,379.0,-0.3,23.84,0.536
Uruguay,1684,10,508.3,0.07,29.28,0.661
Wales,1476,1,251.0,-0.25,14.8,0.391
Yugoslavia,1669,5,487.0,0.06,26.56,0.629
