year,team,sponsor,matches,avg_roi,avg_fan_score,avg_sponsor_power,avg_commercial_momentum,total_media_reposts_k,total_event_attention_m,points
1930,Argentina,Nike,1,2.57,0.195,0.509,0.353,92.69,36.05,1
1930,Australia,Nike,1,2.752,0.268,0.427,0.411,112.48,36.53,3
1930,Belgium,Mastercard,3,2.471,0.219,0.509,0.351,350.38,112.82,2
1930,Brazil,Nike,3,2.509,0.313,0.704,0.515,559.18,107.4,7
1930,Canada,Pepsi,4,2.721,0.21,0.422,0.386,492.84,171.58,10
1930,Croatia,Qatar Airways,3,2.74,0.28,0.483,0.384,316.74,116.8,4
1930,England,Emirates,2,2.824,0.521,0.575,0.552,271.22,97.77,4
1930,France,Emirates,3,2.8,0.281,0.622,0.498,371.06,127.53,9
1930,Germany,Pepsi,2,2.92,0.349,0.514,0.452,318.31,100.73,3
1930,Ghana,Visa,1,2.752,0.21,0.395,0.278,112.48,36.53,0
1930,Italy,Qatar Airways,3,2.899,0.31,0.431,0.373,536.82,148.08,1
1930,Japan,Samsung,1,3.218,0.559,0.343,0.441,249.25,60.55,0
1930,Mexico,Emirates,2,3.086,0.361,0.438,0.412,357.97,113.67,1
1930,Morocco,Emirates,2,2.407,0.258,0.278,0.32,187.66,67.48,4
1930,Netherlands,Puma,2,2.704,0.233,0.414,0.366,201.41,91.48,3
1930,Nigeria,Visa,4,2.572,0.371,0.554,0.405,429.8,139.04,1
1930,Portugal,Coca-Cola,4,2.789,0.3,0.494,0.437,559.35,181.7,9
1930,Qatar,Nike,5,2.677,0.215,0.335,0.317,662.82,215.63,6
1930,Saudi Arabia,Nike,2,2.415,0.694,0.397,0.489,376.3,63.4,1
1930,Senegal,Pepsi,1,2.681,0.401,0.555,0.4,55.27,39.93,0
1930,South Korea,Nike,1,2.307,0.275,0.723,0.527,155.19,34.8,3
1930,Spain,Pepsi,3,2.562,0.29,0.821,0.514,476.21,148.35,3
1930,USA,Samsung,3,2.825,0.249,0.517,0.364,380.41,143.09,1
1934,Argentina,Nike,6,2.565,0.225,0.509,0.371,773.03,233.81,7
1934,Australia,Nike,4,2.702,0.291,0.427,0.373,539.12,157.31,5
1934,Belgium,Mastercard,3,2.688,0.253,0.509,0.359,503.57,118.65,1
1934,Brazil,Nike,3,2.289,0.224,0.704,0.44,260.6,80.25,6
1934,Canada,Pepsi,3,2.684,0.193,0.422,0.36,282.55,127.1,6
1934,Croatia,Qatar Airways,2,2.83,0.351,0.483,0.454,347.3,94.82,4
1934,England,Emirates,2,2.739,0.517,0.575,0.53,387.64,82.5,3
1934,France,Emirates,3,2.654,0.256,0.622,0.424,364.99,111.5,4
1934,Germany,Pepsi,1,2.604,0.252,0.514,0.436,120.53,32.5,3
1934,Ghana,Visa,3,2.705,0.232,0.395,0.377,389.88,118.87,7
1934,Italy,Qatar Airways,7,2.676,0.268,0.431,0.363,1057.69,299.39,7
1934,Japan,Samsung,1,2.802,0.442,0.343,0.366,141.19,45.95,0
1934,Mexico,Emirates,2,2.664,0.243,0.438,0.372,251.18,71.55,4
1934,Morocco,Emirates,5,2.376,0.275,0.278,0.292,547.77,179.17,4
1934,Netherlands,Puma,1,2.465,0.224,0.414,0.402,168.19,35.63,3
1934,Nigeria,Visa,1,2.542,0.327,0.554,0.371,44.58,31.9,0
1934,Portugal,Coca-Cola,5,2.559,0.274,0.494,0.359,723.1,193.42,2
1934,Qatar,Nike,3,2.606,0.17,0.335,0.314,371.48,101.36,6
1934,Saudi Arabia,Nike,2,2.632,0.714,0.397,0.586,321.93,79.4,6
1934,Senegal,Pepsi,3,2.682,0.458,0.555,0.52,480.9,122.81,7
1934,South Korea,Nike,4,2.379,0.266,0.723,0.468,462.02,148.84,6
1934,USA,Samsung,5,2.464,0.163,0.517,0.326,457.48,158.51,5
1934,Uruguay,Pepsi,1,2.898,0.337,0.351,0.375,187.78,46.84,1
1938,Argentina,Nike,3,2.618,0.223,0.509,0.376,392.61,114.64,4
1938,Australia,Nike,3,2.87,0.306,0.427,0.349,407.44,128.43,0
1938,Belgium,Mastercard,1,2.531,0.213,0.509,0.329,62.16,42.48,0
1938,Brazil,Nike,2,2.585,0.258,0.704,0.496,213.21,65.03,6
1938,Canada,Pepsi,2,2.926,0.252,0.422,0.429,391.94,88.25,6
1938,Croatia,Qatar Airways,1,2.692,0.263,0.483,0.427,105.64,35.12,3
1938,England,Emirates,3,2.551,0.474,0.575,0.53,364.59,119.19,7
1938,Germany,Pepsi,1,2.783,0.274,0.514,0.445,76.14,42.73,3
1938,Ghana,Visa,5,2.749,0.229,0.395,0.356,698.51,188.89,9
1938,Italy,Qatar Airways,1,2.698,0.272,0.431,0.336,166.5,42.05,0
1938,Japan,Samsung,3,2.658,0.384,0.343,0.371,304.85,111.51,4
1938,Mexico,Emirates,1,2.525,0.209,0.438,0.317,54.52,36.13,1
1938,Morocco,Emirates,4,2.626,0.302,0.278,0.317,445.49,167.74,4
1938,Netherlands,Puma,2,2.496,0.18,0.414,0.372,123.66,75.45,6
1938,Nigeria,Visa,3,2.69,0.391,0.554,0.439,208.43,131.48,3
1938,Portugal,Coca-Cola,2,2.747,0.29,0.494,0.432,308.93,82.85,4
1938,Qatar,Nike,1,2.802,0.212,0.335,0.364,115.71,44.44,3
1938,Saudi Arabia,Nike,2,2.562,0.686,0.397,0.514,204.85,80.0,3
1938,Senegal,Pepsi,2,2.769,0.433,0.555,0.43,291.26,73.73,0
1938,USA,Samsung,1,2.794,0.205,0.517,0.323,74.02,43.48,0
1938,Uruguay,Pepsi,3,2.715,0.264,0.351,0.291,348.0,114.98,0
1942,Argentina,Nike,4,2.728,0.23,0.509,0.368,459.63,167.06,4
1942,Australia,Nike,2,2.838,0.282,0.427,0.343,173.3,85.65,1
1942,Belgium,Mastercard,6,2.476,0.219,0.509,0.337,762.78,218.85,2
1942,Brazil,Nike,3,2.567,0.283,0.704,0.492,347.29,111.23,7
1942,Canada,Pepsi,1,2.568,0.231,0.422,0.408,152.04,44.31,3
1942,Croatia,Qatar Airways,2,2.666,0.351,0.483,0.444,328.39,97.42,3
1942,England,Emirates,3,2.784,0.486,0.575,0.538,327.29,131.66,7
1942,France,Emirates,1,2.568,0.302,0.622,0.403,152.04,44.31,0
1942,Germany,Pepsi,4,2.592,0.261,0.514,0.44,438.12,143.53,12
1942,Ghana,Visa,1,2.576,0.172,0.395,0.253,91.09,30.34,0
1942,Italy,Qatar Airways,4,2.66,0.248,0.431,0.353,537.31,160.79,4
1942,Japan,Samsung,1,2.446,0.401,0.343,0.343,134.68,37.14,0
1942,Mexico,Emirates,4,2.752,0.265,0.438,0.344,390.67,176.07,2
1942,Morocco,Emirates,1,2.316,0.27,0.278,0.295,121.31,33.37,1
1942,Netherlands,Puma,2,2.698,0.242,0.414,0.367,308.59,82.83,3
1942,Nigeria,Visa,1,3.345,0.554,0.554,0.622,225.76,63.44,3
1942,Portugal,Coca-Cola,5,2.704,0.277,0.494,0.416,542.01,218.41,10
1942,Qatar,Nike,4,2.499,0.191,0.335,0.339,478.02,156.47,9
1942,Saudi Arabia,Nike,2,2.774,0.695,0.397,0.573,205.99,83.92,6
1942,Senegal,Pepsi,1,2.837,0.432,0.555,0.424,49.16,47.82,0
1942,South Korea,Nike,3,2.585,0.285,0.723,0.48,355.72,124.38,4
1942,Spain,Pepsi,5,2.57,0.28,0.821,0.524,735.63,242.7,7
1942,USA,Samsung,2,2.724,0.246,0.517,0.367,363.22,81.01,1
1942,Uruguay,Pepsi,2,2.738,0.308,0.351,0.322,282.28,90.91,0
1946,Argentina,Nike,3,2.72,0.235,0.509,0.375,464.06,114.37,3
1946,Australia,Nike,3,2.864,0.347,0.427,0.403,606.22,133.56,3
1946,Belgium,Mastercard,1,2.668,0.236,0.509,0.367,68.3,47.16,1
1946,Brazil,Nike,2,2.5,0.351,0.704,0.531,276.39,100.43,4
1946,Canada,Pepsi,2,2.688,0.196,0.422,0.311,225.41,81.74,1
1946,Croatia,Qatar Airways,5,2.823,0.351,0.483,0.438,653.81,262.73,7
1946,England,Emirates,3,2.802,0.509,0.575,0.506,340.28,146.12,3
1946,France,Emirates,3,2.816,0.335,0.622,0.476,497.8,150.63,4
1946,Germany,Pepsi,4,2.637,0.295,0.514,0.389,554.27,161.09,3
1946,Italy,Qatar Airways,2,2.484,0.228,0.431,0.408,243.91,74.01,6
1946,Mexico,Emirates,2,2.724,0.268,0.438,0.394,333.1,73.21,4
1946,Morocco,Emirates,5,2.488,0.31,0.278,0.314,703.76,201.49,4
1946,Netherlands,Puma,5,2.447,0.212,0.414,0.36,630.4,189.48,10
1946,Nigeria,Visa,5,2.749,0.397,0.554,0.458,564.55,200.75,7
1946,Portugal,Coca-Cola,4,2.468,0.238,0.494,0.332,425.71,139.87,1
1946,Qatar,Nike,4,2.865,0.224,0.335,0.328,680.82,162.91,6
1946,Senegal,Pepsi,2,2.505,0.403,0.555,0.508,236.05,66.44,6
1946,South Korea,Nike,3,2.646,0.325,0.723,0.525,481.47,137.05,6
1946,Spain,Pepsi,1,2.414,0.254,0.821,0.556,141.06,43.22,3
1946,USA,Samsung,1,2.694,0.217,0.517,0.438,91.79,44.22,3
1950,Argentina,Nike,4,2.733,0.242,0.509,0.35,499.12,172.58,1
1950,Australia,Nike,2,3.281,0.421,0.427,0.518,400.6,123.93,6
1950,Belgium,Mastercard,4,2.612,0.216,0.509,0.373,459.73,148.25,6
1950,Brazil,Nike,2,2.243,0.281,0.704,0.433,200.78,76.83,1
1950,Canada,Pepsi,1,2.939,0.253,0.422,0.332,148.69,49.8,0
1950,Croatia,Qatar Airways,3,2.441,0.246,0.483,0.377,272.49,98.78,5
1950,England,Emirates,1,2.77,0.504,0.575,0.573,106.92,48.3,3
1950,France,Emirates,2,2.724,0.263,0.622,0.453,224.23,79.77,4
1950,Germany,Pepsi,3,2.395,0.185,0.514,0.334,223.91,66.61,4
1950,Ghana,Visa,2,2.588,0.178,0.395,0.327,190.34,62.21,4
1950,Italy,Qatar Airways,3,2.903,0.315,0.431,0.399,488.01,157.41,3
1950,Japan,Samsung,1,2.718,0.409,0.343,0.453,75.12,45.89,3
1950,Mexico,Emirates,4,2.846,0.296,0.438,0.381,536.49,187.96,4
1950,Morocco,Emirates,3,2.385,0.26,0.278,0.32,356.45,93.72,6
1950,Netherlands,Puma,3,2.985,0.286,0.414,0.378,503.3,150.03,3
1950,Nigeria,Visa,3,2.575,0.35,0.554,0.395,264.73,96.19,1
1950,Portugal,Coca-Cola,3,2.73,0.318,0.494,0.423,515.33,137.32,4
1950,Saudi Arabia,Nike,2,2.776,0.669,0.397,0.52,217.44,70.39,4
1950,South Korea,Nike,3,2.466,0.279,0.723,0.495,334.64,122.08,6
1950,Spain,Pepsi,2,2.262,0.22,0.821,0.481,160.86,85.06,3
1950,USA,Samsung,2,2.776,0.186,0.517,0.328,217.44,70.39,1
1950,Uruguay,Pepsi,1,2.208,0.285,0.351,0.405,85.46,46.68,3
1954,Argentina,Nike,2,2.6,0.2,0.509,0.338,166.45,76.73,1
1954,Australia,Nike,3,2.71,0.29,0.427,0.367,426.04,114.89,3
1954,Belgium,Mastercard,2,2.719,0.21,0.509,0.316,230.81,71.62,0
1954,Brazil,Nike,5,2.689,0.378,0.704,0.511,1280.34,213.37,5
1954,Canada,Pepsi,3,2.881,0.251,0.422,0.36,684.61,120.48,3
1954,Croatia,Qatar Airways,3,2.76,0.295,0.483,0.418,339.93,124.64,6
1954,England,Emirates,4,2.757,0.531,0.575,0.544,810.15,173.59,7
1954,France,Emirates,1,2.185,0.197,0.622,0.435,56.46,30.91,3
1954,Germany,Pepsi,2,2.758,0.324,0.514,0.383,331.67,87.86,0
1954,Ghana,Visa,4,2.886,0.295,0.395,0.414,899.34,173.2,9
1954,Italy,Qatar Airways,1,2.774,0.274,0.431,0.433,110.85,48.92,3
1954,Japan,Samsung,2,2.824,0.392,0.343,0.36,225.8,75.03,1
1954,Mexico,Emirates,5,2.855,0.298,0.438,0.393,730.0,230.37,7
1954,Morocco,Emirates,3,2.69,0.34,0.278,0.342,524.48,130.21,3
1954,Netherlands,Puma,2,2.578,0.24,0.414,0.332,236.25,90.47,1
1954,Nigeria,Visa,3,2.624,0.396,0.554,0.456,347.6,118.29,4
1954,Portugal,Coca-Cola,4,2.642,0.294,0.494,0.44,617.93,169.69,9
1954,Qatar,Nike,2,2.816,0.228,0.335,0.284,457.55,70.26,0
1954,Saudi Arabia,Nike,4,2.932,0.709,0.397,0.506,534.83,166.82,3
1954,Senegal,Pepsi,4,2.856,0.46,0.555,0.51,552.65,175.87,8
1954,South Korea,Nike,1,2.221,0.24,0.723,0.407,66.46,36.97,0
1954,Spain,Pepsi,5,2.683,0.264,0.821,0.536,793.93,217.38,11
1954,USA,Samsung,3,2.356,0.178,0.517,0.355,267.95,106.28,4
1954,Uruguay,Pepsi,4,2.558,0.261,0.351,0.354,645.58,129.75,8
1958,Argentina,Nike,5,2.652,0.188,0.509,0.314,517.54,165.5,1
1958,Australia,Nike,5,2.791,0.301,0.427,0.426,758.7,198.61,13
1958,Belgium,Mastercard,1,2.378,0.144,0.509,0.375,94.17,22.69,3
1958,Canada,Pepsi,3,2.645,0.202,0.422,0.342,357.29,124.47,4
1958,Croatia,Qatar Airways,4,2.69,0.308,0.483,0.41,547.09,167.7,6
1958,England,Emirates,6,2.791,0.507,0.575,0.537,921.22,262.21,11
1958,France,Emirates,2,2.514,0.285,0.622,0.418,229.78,89.3,1
1958,Ghana,Visa,1,2.425,0.133,0.395,0.32,72.11,23.46,3
1958,Italy,Qatar Airways,3,2.779,0.281,0.431,0.408,470.19,135.49,6
1958,Japan,Samsung,1,2.506,0.36,0.343,0.347,71.64,34.9,1
1958,Mexico,Emirates,3,2.627,0.273,0.438,0.345,404.66,124.94,1
1958,Morocco,Emirates,3,2.608,0.267,0.278,0.296,255.33,110.43,3
1958,Netherlands,Puma,5,2.808,0.235,0.414,0.366,613.63,218.18,8
1958,Nigeria,Visa,1,2.425,0.305,0.554,0.34,72.11,23.46,0
1958,Portugal,Coca-Cola,2,2.52,0.238,0.494,0.369,223.6,68.77,3
1958,Qatar,Nike,4,2.848,0.232,0.335,0.319,589.68,181.16,4
1958,Saudi Arabia,Nike,3,2.854,0.663,0.397,0.53,272.4,107.65,7
1958,Senegal,Pepsi,3,2.983,0.496,0.555,0.528,513.74,145.2,5
1958,South Korea,Nike,1,2.445,0.313,0.723,0.483,187.43,39.72,1
1958,Spain,Pepsi,1,2.48,0.244,0.821,0.488,152.01,39.64,1
1958,USA,Samsung,5,2.908,0.268,0.517,0.396,847.21,235.1,4
1958,Uruguay,Pepsi,6,2.711,0.269,0.351,0.327,722.71,233.62,6
1962,Argentina,Nike,3,2.787,0.252,0.509,0.386,409.25,132.95,3
1962,Australia,Nike,4,2.532,0.234,0.427,0.313,313.62,130.61,2
1962,Belgium,Mastercard,2,2.625,0.216,0.509,0.372,272.22,69.54,3
1962,Brazil,Nike,1,2.279,0.294,0.704,0.531,112.22,39.96,3
1962,Canada,Pepsi,1,2.914,0.244,0.422,0.431,137.96,49.02,3
1962,Croatia,Qatar Airways,6,2.912,0.329,0.483,0.428,837.95,279.36,9
1962,England,Emirates,1,3.38,0.642,0.575,0.671,212.94,67.99,3
1962,France,Emirates,5,2.698,0.256,0.622,0.391,561.38,190.65,2
1962,Germany,Pepsi,2,2.432,0.276,0.514,0.372,199.28,80.75,1
1962,Ghana,Visa,3,2.72,0.233,0.395,0.363,445.11,113.46,6
1962,Italy,Qatar Airways,2,2.71,0.282,0.431,0.387,337.8,87.89,3
1962,Japan,Samsung,4,2.661,0.402,0.343,0.429,446.17,160.21,10
1962,Mexico,Emirates,4,2.794,0.258,0.438,0.401,382.23,170.24,10
1962,Morocco,Emirates,1,2.547,0.275,0.278,0.262,112.49,35.55,0
1962,Netherlands,Puma,1,2.774,0.204,0.414,0.321,129.33,35.59,1
1962,Nigeria,Visa,4,2.725,0.394,0.554,0.427,412.51,162.27,2
1962,Portugal,Coca-Cola,4,2.676,0.242,0.494,0.378,435.47,141.89,6
1962,Qatar,Nike,3,2.685,0.213,0.335,0.301,304.84,139.05,2
1962,Saudi Arabia,Nike,1,2.881,0.64,0.397,0.54,79.34,31.92,3
1962,Senegal,Pepsi,2,2.683,0.399,0.555,0.458,196.97,69.13,3
1962,South Korea,Nike,3,2.504,0.248,0.723,0.443,316.97,103.23,3
1962,Spain,Pepsi,2,2.506,0.25,0.821,0.489,301.05,82.13,2
1962,USA,Samsung,1,2.695,0.22,0.517,0.334,119.57,41.7,0
1962,Uruguay,Pepsi,2,2.724,0.268,0.351,0.326,264.75,74.35,2
1966,Argentina,Nike,2,2.85,0.252,0.509,0.358,209.38,95.95,0
1966,Australia,Nike,1,2.819,0.274,0.427,0.316,70.19,42.92,0
