text_id,source,domain,narrative_topic,sentiment_score,text_svd_01,text_svd_02,text_svd_03,text_svd_04,text_svd_05,text_svd_06,text_svd_07,text_svd_08,text_svd_09,text_svd_10,text_svd_11,text_svd_12,text_svd_13,text_svd_14,text_svd_15,text_svd_16,text_svd_17,text_svd_18,text_svd_19,text_svd_20,text_svd_21,text_svd_22,text_svd_23,text_svd_24,text_x,text_y
1,Wikimedia,wikipedia.org,reference_article,0.0,0.693735,0.66621,0.638838,0.780711,0.277185,0.708569,0.287313,0.523644,0.369256,0.624109,0.506277,0.584917,0.55836,0.499018,0.545871,0.540065,0.459576,0.416093,0.508707,0.49083,0.490601,0.600946,0.466056,0.478248,0.693735,0.66621
2,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.766765,0.733103,0.597952,0.78822,0.251209,0.675068,0.23463,0.549847,0.277758,0.524703,0.479059,0.63245,0.556429,0.517876,0.563994,0.807608,0.36456,0.346861,0.707561,0.535352,0.590982,0.611138,0.391307,0.611841,0.766765,0.733103
3,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.806656,0.645262,0.617266,0.770076,0.255574,0.620839,0.342654,0.559564,0.305837,0.547386,0.50961,0.589995,0.555282,0.510263,0.577862,0.591028,0.445284,0.373567,0.611375,0.524394,0.576108,0.649878,0.460317,0.50197,0.806656,0.645262
4,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.803761,0.621958,0.68533,0.778093,0.240794,0.552193,0.391308,0.540471,0.357472,0.571588,0.582046,0.519662,0.598262,0.477134,0.613253,0.454872,0.384497,0.37152,0.513493,0.57648,0.529637,0.564488,0.451313,0.494925,0.803761,0.621958
5,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.693735,0.66621,0.638838,0.780711,0.277185,0.708569,0.287313,0.523644,0.369256,0.624109,0.506277,0.584917,0.55836,0.499018,0.545871,0.540065,0.459576,0.416093,0.508707,0.49083,0.490601,0.600946,0.466056,0.478248,0.693735,0.66621
6,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.693735,0.66621,0.638838,0.780711,0.277185,0.708569,0.287313,0.523644,0.369256,0.624109,0.506277,0.584917,0.55836,0.499018,0.545871,0.540065,0.459576,0.416093,0.508707,0.49083,0.490601,0.600946,0.466056,0.478248,0.693735,0.66621
7,Wikimedia_chunk,wikipedia.org,reference_chunk,0.131,0.827117,0.881609,0.668651,0.738674,0.268031,0.460985,0.453907,0.485542,0.282762,0.543734,0.484827,0.562165,0.556427,0.496119,0.579129,0.760921,0.48069,0.451957,0.590133,0.466917,0.555502,0.694363,0.382096,0.47779,0.827117,0.881609
8,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.855233,0.76887,0.747846,0.730376,0.216522,0.398506,0.673763,0.536354,0.473613,0.417505,0.603321,0.367003,0.531922,0.301924,0.656682,0.443923,0.406972,0.435578,0.469932,0.494755,0.622903,0.440114,0.5813,0.517146,0.855233,0.76887
9,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.792583,0.540704,0.713353,0.678424,0.262376,0.676105,0.249993,0.559664,0.397066,0.60985,0.576212,0.57343,0.58085,0.44053,0.626574,0.395512,0.374329,0.3326,0.51264,0.549532,0.543674,0.563646,0.533365,0.419852,0.792583,0.540704
10,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.769537,0.746115,0.6451,0.805769,0.270146,0.709696,0.307635,0.491303,0.290396,0.519359,0.556507,0.620711,0.569863,0.495454,0.56387,0.558229,0.435988,0.407974,0.417939,0.521144,0.49515,0.59862,0.462666,0.306023,0.769537,0.746115
11,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.790625,0.848947,0.6773,0.766111,0.290611,0.466626,0.516512,0.395512,0.254151,0.381144,0.55431,0.562812,0.571296,0.448696,0.584595,0.66624,0.443146,0.466877,0.504069,0.450994,0.49418,0.601151,0.562439,0.539988,0.790625,0.848947
12,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.808727,0.958188,0.7465,0.738482,0.167688,0.075333,0.791107,0.412591,0.409487,0.474812,0.581209,0.472618,0.529522,0.424676,0.533439,0.55883,0.468922,0.538117,0.609805,0.515851,0.393728,0.55285,0.693318,0.638862,0.808727,0.958188
13,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.733291,0.739611,0.692904,0.692444,0.245405,0.682452,0.28471,0.500461,0.362692,0.629192,0.488684,0.591768,0.556576,0.484057,0.536974,0.544951,0.459285,0.402301,0.492896,0.483218,0.540381,0.652503,0.503082,0.504765,0.733291,0.739611
14,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.705777,0.673027,0.598351,0.786425,0.232868,0.741051,0.19243,0.544803,0.403711,0.649083,0.462757,0.558087,0.560268,0.550653,0.554249,0.521433,0.467248,0.398365,0.444336,0.513167,0.467892,0.535037,0.386955,0.65172,0.705777,0.673027
