panel_id,year,match_id,team,opponent,team_side,stage,sponsor,result_for_team,match_points,team_elo,core_player_rating,core_market_value_m,player_followers_m,event_attention_m,media_reposts_k,exposure_score,fan_score_panel,sponsor_spend_m,sponsor_power_index,brand_fit,activation_quality,commercial_momentum,predicted_roi,roi_per_million_spend,attention_segment,commercial_segment,weather,temperature_c,humidity,hashtag_mentions_k,video_views_m,sentiment_score,engagement_rate,fan_growth_7d_pct,text_signal_score,time_decay_attention,media_exposure_score,user_attention_score,social_interaction_score,sponsor_conversion_proxy,funnel_efficiency
1930_1_Belgium,1930,1,Belgium,United States,A,tournament,Visa,loss,0,1674,71.5,40.4,23.19,31.6,68.87,0.14,0.534,26.85,0.713,0.72,0.914,0.47,3.532,0.132,Mid attention,Scalable,clear,22.8,71.9,89.94,36.74,0.124,0.2021,4.94,0.103,28.79,0.0623,0.2125,0.2413,0.5545,6.0
1930_2_France,1930,2,France,Mexico,A,tournament,Qatar Airways,win,3,1748,77.8,46.5,18.67,36.0,187.48,0.23,0.493,24.02,0.51,0.801,0.711,0.502,3.493,0.145,Mid attention,Scalable,clear,14.8,69.7,124.8,65.75,0.207,0.1971,4.72,0.17,39.57,0.238,0.3321,0.3523,0.5395,2.2669
1930_3_Brazil,1930,3,Brazil,Yugoslavia,A,tournament,Adidas,loss,0,1829,78.8,57.4,18.61,31.6,85.92,0.164,0.421,33.15,0.938,0.809,0.916,0.508,3.82,0.115,Mid attention,Scalable,hot,21.5,30.5,84.25,49.04,0.224,0.3487,4.13,0.218,27.41,0.0943,0.1835,0.3916,0.6473,6.0
1930_4_Peru,1930,4,Peru,Romania,A,tournament,Hisense,loss,0,1576,66.6,39.7,14.92,33.8,77.75,0.188,0.333,33.45,0.777,0.647,0.931,0.425,3.191,0.095,Mid attention,Scalable,rain,18.5,51.5,88.86,56.75,0.032,0.5358,6.91,0.214,26.75,0.1203,0.2241,0.4221,0.3954,3.2875
1930_5_Argentina,1930,5,Argentina,France,A,tournament,Hyundai,win,3,1753,76.8,58.0,19.5,27.2,116.04,0.059,0.43,30.74,0.903,0.813,0.936,0.581,3.748,0.122,Mid attention,Scalable,windy,28.5,44.2,58.37,49.53,0.064,0.2153,1.67,0.129,27.37,0.0775,0.1224,0.2541,0.6528,6.0
1930_6_Chile,1930,6,Chile,Mexico,A,tournament,Hisense,win,3,1622,72.9,38.6,16.65,31.6,97.72,0.115,0.374,27.36,0.7,0.681,0.911,0.501,3.386,0.124,Mid attention,Scalable,clear,23.2,78.7,82.29,50.93,0.311,0.1342,2.47,0.222,30.43,0.1062,0.1821,0.2991,0.4881,4.5949
1930_7_Bolivia,1930,7,Bolivia,Yugoslavia,A,tournament,Qatar Airways,loss,0,1404,64.1,13.8,5.97,33.8,113.56,0.189,0.113,24.48,0.462,0.575,0.669,0.234,2.52,0.103,Low attention,Watchlist,cloudy,21.3,36.4,136.3,65.03,0.185,0.2741,2.35,0.212,37.72,0.1604,0.2911,0.3441,0.1258,0.7846
1930_8_Paraguay,1930,8,Paraguay,United States,A,tournament,Hyundai,loss,0,1578,69.9,30.5,12.88,31.6,86.88,0.135,0.27,26.2,0.812,0.667,0.921,0.403,3.544,0.135,Low attention,Scalable,clear,22.4,83.7,97.11,41.54,0.098,0.1618,2.03,0.156,29.46,0.0834,0.1808,0.2155,0.5292,6.0
1930_9_Uruguay,1930,9,Uruguay,Peru,A,tournament,Vivo,win,3,1684,74.8,44.8,20.58,27.2,71.09,0.083,0.439,19.75,0.443,0.797,0.741,0.432,3.33,0.169,Mid attention,Scalable,cloudy,24.3,57.5,67.91,54.85,0.144,0.3183,-1.38,0.146,22.54,0.0516,0.0442,0.3268,0.5487,6.0
1930_10_Argentina,1930,10,Argentina,Mexico,A,tournament,Hyundai,win,3,1753,76.8,58.0,19.5,44.8,122.09,0.291,0.541,30.74,0.903,0.813,0.936,0.665,3.948,0.128,Mid attention,Premium,clear,26.7,39.4,183.32,46.59,0.265,0.1508,5.69,0.287,40.26,0.2394,0.4058,0.3054,0.7007,2.9265
1930_11_Chile,1930,11,Chile,France,A,tournament,Hisense,win,3,1622,72.9,38.6,16.65,27.2,52.78,0.096,0.328,27.36,0.7,0.681,0.911,0.48,3.269,0.119,Low attention,Scalable,clear,17.0,47.2,70.59,46.9,0.25,0.2444,0.65,0.206,25.07,0.0253,0.0987,0.314,0.458,6.0
1930_12_Belgium,1930,12,Belgium,Paraguay,A,tournament,Visa,loss,0,1674,71.5,40.4,23.19,27.2,75.84,0.108,0.51,26.85,0.713,0.72,0.914,0.456,3.518,0.131,Mid attention,Scalable,cloudy,16.8,45.2,116.54,55.96,0.01,0.2494,3.16,0.108,26.93,0.0569,0.1941,0.226,0.5504,6.0
1930_13_Bolivia,1930,13,Bolivia,Brazil,A,tournament,Qatar Airways,loss,0,1404,64.1,13.8,5.97,33.8,104.94,0.182,0.109,24.48,0.462,0.575,0.669,0.231,2.451,0.1,Low attention,Watchlist,clear,29.6,37.6,144.22,41.52,0.32,0.4292,-0.19,0.277,29.7,0.1174,0.1921,0.4985,0.108,0.9204
1930_14_Uruguay,1930,14,Uruguay,Romania,A,tournament,Vivo,win,3,1684,74.8,44.8,20.58,33.8,162.16,0.248,0.519,19.75,0.443,0.797,0.741,0.493,3.48,0.176,Mid attention,Scalable,cloudy,20.5,59.5,102.97,44.78,0.253,0.3319,4.1,0.23,33.06,0.166,0.2478,0.4433,0.588,3.5424
1930_15_Argentina,1930,15,Argentina,Chile,A,tournament,Hyundai,win,3,1753,76.8,58.0,19.5,33.8,98.94,0.189,0.463,30.74,0.903,0.813,0.936,0.617,3.818,0.124,Mid attention,Scalable,cloudy,14.5,38.4,69.81,43.84,0.141,0.1986,1.15,0.208,37.41,0.1164,0.2099,0.2662,0.6694,5.7514
1930_16_Argentina,1930,16,Argentina,United States,A,tournament,Hyundai,win,3,1753,76.8,58.0,19.5,40.4,60.05,0.201,0.487,30.74,0.903,0.813,0.936,0.628,3.851,0.125,Mid attention,Premium,clear,25.7,23.1,215.12,66.0,0.037,0.4507,0.41,0.111,37.67,0.1818,0.3331,0.3578,0.6773,3.7256
1930_17_Uruguay,1930,17,Uruguay,Yugoslavia,A,tournament,Vivo,win,3,1684,74.8,44.8,20.58,40.4,112.45,0.269,0.538,19.75,0.443,0.797,0.741,0.503,3.469,0.176,Mid attention,Scalable,windy,25.8,51.9,133.71,58.04,0.262,0.1696,3.21,0.233,40.99,0.2094,0.3294,0.3099,0.5858,2.798
1930_18_Uruguay,1930,18,Uruguay,Argentina,A,tournament,Vivo,win,3,1684,74.8,44.8,20.58,38.2,235.07,0.288,0.578,19.75,0.443,0.797,0.741,0.522,3.524,0.178,Mid attention,Scalable,cloudy,13.8,29.2,105.83,39.74,0.204,0.0369,1.33,0.172,32.94,0.2542,0.2076,0.2785,0.5995,2.3586
1934_19_Argentina,1934,19,Argentina,Sweden,A,tournament,Hyundai,loss,0,1753,76.8,58.0,19.5,37.46,136.44,0.266,0.502,30.74,0.903,0.813,0.936,0.546,3.884,0.126,Mid attention,Scalable,rain,24.4,46.0,142.92,77.12,0.01,0.149,1.59,0.125,40.03,0.2302,0.3052,0.2006,0.6853,2.977
1934_20_Austria,1934,20,Austria,France,A,tournament,McDonald's,win,3,1660,70.5,44.6,14.99,37.46,85.3,0.207,0.361,21.71,0.454,0.702,0.72,0.429,3.168,0.146,Mid attention,Scalable,cloudy,27.4,43.5,134.14,43.68,0.133,0.3255,3.16,0.155,32.86,0.1394,0.2603,0.3358,0.4153,2.9791
1934_21_Belgium,1934,21,Belgium,Germany,A,tournament,Visa,loss,0,1674,71.5,40.4,23.19,41.86,141.15,0.289,0.628,26.85,0.713,0.72,0.914,0.533,3.596,0.134,Mid attention,Scalable,rain,25.2,44.1,174.52,66.74,0.469,0.252,4.48,0.294,41.39,0.2581,0.3891,0.4736,0.57,2.2079
1934_22_Brazil,1934,22,Brazil,Spain,A,tournament,Adidas,loss,0,1829,78.8,57.4,18.61,35.26,81.86,0.163,0.441,33.15,0.938,0.809,0.916,0.516,3.835,0.116,Mid attention,Scalable,rain,26.8,90.0,89.76,59.0,0.158,0.3091,1.08,0.199,31.31,0.1403,0.1754,0.3341,0.6517,4.6445
1934_23_Czechoslovakia,1934,23,Czechoslovakia,Romania,A,tournament,Visa,win,3,1636,72.1,45.6,14.05,33.06,64.67,0.179,0.3,31.09,0.763,0.715,0.89,0.506,3.227,0.104,Low attention,Scalable,hot,14.6,58.9,107.55,31.51,0.082,0.1108,0.72,0.131,26.59,0.0644,0.1462,0.161,0.4434,6.0
1934_24_Egypt,1934,24,Egypt,Hungary,A,tournament,Hyundai,loss,0,1408,63.5,15.1,8.15,39.66,102.8,0.24,0.202,30.54,0.862,0.597,0.912,0.413,3.097,0.101,Low attention,Scalable,cloudy,25.0,61.9,88.58,40.63,0.055,0.2154,2.85,0.087,35.5,0.1682,0.2365,0.2415,0.345,2.0509
1934_25_Italy,1934,25,Italy,United States,A,tournament,Visa,win,3,1755,77.8,61.6,11.04,44.06,129.18,0.299,0.316,33.4,0.799,0.761,0.842,0.546,3.488,0.104,Low attention,Scalable,clear,21.2,29.6,156.36,95.31,0.333,0.1764,3.93,0.286,37.73,0.3135,0.3333,0.3567,0.5068,1.6164
1934_26_Netherlands,1934,26,Netherlands,Switzerland,A,tournament,Hisense,loss,0,1746,75.8,49.9,15.97,37.46,63.38,0.184,0.377,32.27,0.781,0.811,0.856,0.442,3.486,0.108,Mid attention,Scalable,clear,20.1,47.5,111.89,66.07,0.241,0.3884,5.87,0.244,41.26,0.1574,0.352,0.41,0.5498,3.4923
1934_27_Austria,1934,27,Austria,Hungary,A,tournament,McDonald's,win,3,1660,70.5,44.6,14.99,33.06,68.48,0.163,0.327,21.71,0.454,0.702,0.72,0.408,3.099,0.143,Low attention,Scalable,cloudy,28.2,61.4,106.55,31.2,0.297,0.2267,0.55,0.224,28.95,0.0668,0.1627,0.3336,0.3975,5.9508
1934_28_Czechoslovakia,1934,28,Czechoslovakia,Switzerland,A,tournament,Visa,win,3,1636,72.1,45.6,14.05,37.46,107.36,0.233,0.346,31.09,0.763,0.715,0.89,0.533,3.302,0.106,Mid attention,Scalable,clear,31.9,41.6,108.49,72.39,0.181,0.3293,2.13,0.168,42.36,0.2007,0.3017,0.374,0.461,2.2968
1934_29_Germany,1934,29,Germany,Sweden,A,tournament,Coca-Cola,win,3,1798,81.3,65.9,22.15,33.06,84.27,0.17,0.522,29.19,0.759,0.859,0.907,0.587,3.835,0.131,Mid attention,Scalable,clear,33.8,72.5,93.28,51.61,0.282,0.2765,5.27,0.238,31.65,0.1105,0.2448,0.3695,0.7012,6.0
1934_30_Italy,1934,30,Italy,Spain,A,tournament,Visa,draw,1,1755,77.8,61.6,11.04,30.86,98.5,0.155,0.222,33.4,0.799,0.761,0.842,0.417,3.358,0.101,Low attention,Scalable,clear,30.9,38.8,74.62,30.79,0.071,0.2356,6.94,0.15,26.53,0.0688,0.2097,0.2589,0.4769,6.0
1934_31_Italy,1934,31,Italy,Spain,A,tournament,Visa,win,3,1755,77.8,61.6,11.04,28.66,58.29,0.151,0.191,33.4,0.799,0.761,0.842,0.471,3.236,0.097,Low attention,Scalable,cloudy,22.3,53.4,104.91,51.16,0.172,0.2084,0.71,0.111,26.39,0.0495,0.142,0.2598,0.4472,6.0
1934_32_Czechoslovakia,1934,32,Czechoslovakia,Germany,A,tournament,Visa,win,3,1636,72.1,45.6,14.05,35.26,123.06,0.197,0.339,31.09,0.763,0.715,0.89,0.524,3.238,0.104,Mid attention,Scalable,clear,25.1,48.6,153.73,54.62,0.185,0.1694,1.25,0.184,29.83,0.1649,0.2236,0.2826,0.4455,2.702
1934_33_Italy,1934,33,Italy,Austria,A,tournament,Visa,win,3,1755,77.8,61.6,11.04,28.66,58.79,0.078,0.191,33.4,0.799,0.761,0.842,0.458,3.27,0.098,Low attention,Scalable,cloudy,27.6,60.6,74.91,33.43,0.294,0.1528,3.6,0.241,30.96,0.0224,0.197,0.2782,0.4553,6.0
1934_34_Austria,1934,34,Austria,Germany,A,tournament,McDonald's,loss,0,1660,70.5,44.6,14.99,37.46,169.57,0.241,0.398,21.71,0.454,0.702,0.72,0.349,3.211,0.148,Mid attention,Watchlist,rain,23.7,47.8,129.24,76.46,0.188,0.4122,1.59,0.111,30.84,0.2544,0.215,0.4713,0.4266,1.6768
1934_35_Italy,1934,35,Italy,Czechoslovakia,A,tournament,Visa,win,3,1755,77.8,61.6,11.04,33.06,58.43,0.158,0.218,33.4,0.799,0.761,0.842,0.483,3.322,0.099,Low attention,Scalable,hot,23.8,53.7,110.65,42.28,0.094,0.1964,1.21,0.139,36.18,0.0763,0.2375,0.2176,0.467,6.0
1938_36_Germany,1938,36,Germany,Switzerland,A,tournament,Coca-Cola,draw,1,1798,81.3,65.9,22.15,32.32,68.02,0.17,0.511,29.19,0.759,0.859,0.907,0.516,3.808,0.13,Mid attention,Scalable,clear,27.9,54.2,97.29,41.04,0.163,0.1171,3.31,0.18,25.74,0.0749,0.1688,0.2031,0.6945,6.0
1938_37_Brazil,1938,37,Brazil,Poland,A,tournament,Adidas,win,3,1829,78.8,57.4,18.61,52.12,167.4,0.424,0.582,33.15,0.938,0.809,0.916,0.716,4.084,0.123,Mid attention,Premium,cloudy,22.6,46.2,106.9,65.39,-0.011,0.1257,6.05,0.099,46.28,0.3704,0.3927,0.1965,0.7107,1.9187
1938_38_Cuba,1938,38,Cuba,Romania,A,tournament,Vivo,draw,1,1562,72.5,37.1,8.19,41.12,187.26,0.293,0.248,18.81,0.393,0.682,0.673,0.314,3.12,0.166,Low attention,Watchlist,cloudy,18.6,65.8,89.22,78.03,-0.076,0.2873,0.05,0.094,34.14,0.304,0.1833,0.2851,0.402,1.3226
1938_39_Czechoslovakia,1938,39,Czechoslovakia,Netherlands,A,tournament,Visa,win,3,1636,72.1,45.6,14.05,34.52,107.74,0.167,0.328,31.09,0.763,0.715,0.89,0.514,3.255,0.105,Low attention,Scalable,cloudy,20.5,61.8,85.31,62.76,0.239,0.2939,5.95,0.195,35.44,0.159,0.2798,0.377,0.4503,2.8313
1938_40_France,1938,40,France,Belgium,A,tournament,Qatar Airways,win,3,1748,77.8,46.5,18.67,36.72,122.84,0.243,0.47,24.02,0.51,0.801,0.711,0.496,3.462,0.144,Mid attention,Scalable,cloudy,26.8,56.6,64.62,76.16,0.119,0.1674,1.59,0.103,35.41,0.2115,0.1949,0.2519,0.532,2.515
1938_41_Hungary,1938,41,Hungary,Indonesia,A,tournament,Adidas,win,3,1691,78.9,42.6,16.61,41.12,118.09,0.291,0.44,33.47,0.932,0.712,0.937,0.637,3.748,0.112,Mid attention,Premium,clear,23.0,51.1,175.65,49.27,0.13,0.221,3.53,0.086,45.98,0.2067,0.4146,0.2884,0.5738,2.7761
1938_42_Italy,1938,42,Italy,Norway,A,tournament,Visa,win,3,1755,77.8,61.6,11.04,34.52,74.01,0.183,0.234,33.4,0.799,0.761,0.842,0.493,3.351,0.1,Low attention,Scalable,windy,25.0,70.7,113.69,66.36,0.239,0.3982,6.14,0.257,31.48,0.1389,0.275,0.4224,0.4741,3.4127
1938_43_Cuba,1938,43,Cuba,Romania,A,tournament,Vivo,win,3,1562,72.5,37.1,8.19,34.52,86.0,0.157,0.164,18.81,0.393,0.682,0.673,0.324,2.942,0.156,Low attention,Watchlist,clear,27.0,54.2,102.93,56.78,0.296,0.2221,3.48,0.251,27.43,0.1332,0.1908,0.3417,0.353,2.65
1938_44_Germany,1938,44,Germany,Switzerland,A,tournament,Coca-Cola,loss,0,1798,81.3,65.9,22.15,41.12,83.69,0.255,0.571,29.19,0.759,0.859,0.907,0.521,3.898,0.134,Mid attention,Scalable,hot,20.8,53.1,71.45,53.51,0.21,0.2552,2.18,0.233,43.35,0.1871,0.2772,0.3235,0.7178,3.8369
1938_45_Brazil,1938,45,Brazil,Czechoslovakia,A,tournament,Adidas,draw,1,1829,78.8,57.4,18.61,32.32,64.56,0.14,0.416,33.15,0.938,0.809,0.916,0.536,3.784,0.114,Mid attention,Scalable,cloudy,27.5,59.7,61.54,30.58,0.349,0.1439,4.31,0.216,31.95,0.056,0.2039,0.3006,0.6388,6.0
1938_46_Cuba,1938,46,Cuba,Sweden,A,tournament,Vivo,loss,0,1562,72.5,37.1,8.19,45.52,145.57,0.344,0.257,18.81,0.393,0.682,0.673,0.293,3.095,0.165,Low attention,Watchlist,clear,25.3,85.1,136.67,89.43,0.206,0.3043,2.44,0.223,49.06,0.3303,0.3887,0.3938,0.3957,1.1978
1938_47_France,1938,47,France,Italy,A,tournament,Qatar Airways,loss,0,1748,77.8,46.5,18.67,36.72,76.62,0.218,0.45,24.02,0.51,0.801,0.711,0.384,3.407,0.142,Mid attention,Scalable,rain,15.6,36.6,180.54,44.56,0.186,0.2995,3.89,0.13,34.27,0.1274,0.3255,0.3368,0.5184,4.0701
1938_48_Hungary,1938,48,Hungary,Switzerland,A,tournament,Adidas,win,3,1691,78.9,42.6,16.61,32.32,101.0,0.167,0.379,33.47,0.932,0.712,0.937,0.591,3.598,0.107,Mid attention,Scalable,clear,31.7,70.3,81.53,55.63,0.18,0.3959,2.37,0.16,33.8,0.1226,0.2084,0.4124,0.5372,4.3808
1938_49_Brazil,1938,49,Brazil,Czechoslovakia,A,tournament,Adidas,win,3,1829,78.8,57.4,18.61,34.52,68.51,0.183,0.431,33.15,0.938,0.809,0.916,0.616,3.849,0.116,Mid attention,Scalable,rain,20.0,27.7,128.7,55.7,0.028,0.2171,4.61,0.109,29.05,0.1182,0.245,0.2083,0.6544,5.5358
1938_50_Brazil,1938,50,Brazil,Italy,A,tournament,Adidas,loss,0,1829,78.8,57.4,18.61,34.52,107.18,0.192,0.448,33.15,0.938,0.809,0.916,0.524,3.817,0.115,Mid attention,Scalable,cloudy,13.1,61.5,91.98,31.27,0.252,0.3029,-0.13,0.238,39.35,0.1098,0.2271,0.3882,0.6467,5.8896
1938_51_Hungary,1938,51,Hungary,Sweden,A,tournament,Adidas,win,3,1691,78.9,42.6,16.61,41.12,102.48,0.269,0.434,33.47,0.932,0.712,0.937,0.63,3.703,0.111,Mid attention,Premium,clear,16.7,83.2,125.25,90.16,-0.088,0.3759,0.67,0.129,34.64,0.2582,0.2296,0.2817,0.5635,2.1826
1938_52_Brazil,1938,52,Brazil,Sweden,A,tournament,Adidas,win,3,1829,78.8,57.4,18.61,41.12,174.22,0.325,0.517,33.15,0.938,0.809,0.916,0.674,3.962,0.12,Mid attention,Premium,clear,16.9,65.8,167.36,80.54,0.098,0.1472,-0.16,0.12,44.36,0.2979,0.3376,0.2631,0.6823,2.2904
1938_53_Hungary,1938,53,Hungary,Italy,A,tournament,Adidas,loss,0,1691,78.9,42.6,16.61,41.12,128.66,0.238,0.445,33.47,0.932,0.712,0.937,0.529,3.67,0.11,Mid attention,Scalable,rain,23.3,60.7,113.3,63.01,0.158,0.4804,2.68,0.158,35.22,0.236,0.254,0.4753,0.5556,2.3537
