match_id,year,team_a,team_b,stage,host_city,scheduled_month
1001,2026,Australia,Germany,group,New York,July
1002,2026,USA,France,group,Mexico City,June
1003,2026,Saudi Arabia,South Korea,group,New York,July
1004,2026,Mexico,Belgium,group,Miami,July
1005,2026,Senegal,Saudi Arabia,group,Mexico City,June
1006,2026,Uruguay,Netherlands,group,Los Angeles,July
1007,2026,South Korea,Australia,group,Toronto,June
1008,2026,Netherlands,Brazil,group,Miami,July
1009,2026,South Korea,Netherlands,group,Dallas,June
1010,2026,Portugal,Nigeria,group,Mexico City,July
1011,2026,Senegal,Argentina,group,Toronto,June
1012,2026,Portugal,Netherlands,group,Miami,June
1013,2026,Uruguay,Belgium,group,Miami,June
1014,2026,Australia,USA,group,Toronto,June
1015,2026,Portugal,Canada,group,Los Angeles,July
1016,2026,Canada,Mexico,group,Vancouver,July
1017,2026,Saudi Arabia,France,group,Los Angeles,June
1018,2026,Morocco,Australia,group,Mexico City,July
1019,2026,Croatia,Spain,group,Mexico City,June
1020,2026,Canada,Netherlands,group,New York,June
1021,2026,Croatia,USA,group,Vancouver,July
1022,2026,South Korea,Spain,group,Mexico City,July
1023,2026,USA,Nigeria,group,Los Angeles,July
1024,2026,Japan,Uruguay,group,Miami,July
1025,2026,Ghana,Argentina,group,Vancouver,July
1026,2026,Morocco,Japan,group,Los Angeles,June
1027,2026,Senegal,Spain,group,New York,July
1028,2026,Spain,Mexico,group,Toronto,July
1029,2026,Portugal,Argentina,group,Mexico City,July
1030,2026,Nigeria,Senegal,group,Toronto,July
1031,2026,Argentina,South Korea,group,Vancouver,June
1032,2026,Ghana,Mexico,group,Los Angeles,June
1033,2026,South Korea,Japan,group,Los Angeles,June
1034,2026,Australia,Mexico,group,Toronto,July
1035,2026,France,USA,group,Toronto,July
1036,2026,Ghana,Japan,group,Dallas,July
1037,2026,South Korea,Mexico,group,Mexico City,June
1038,2026,Belgium,Brazil,group,Miami,July
1039,2026,Croatia,Portugal,group,Vancouver,June
1040,2026,Germany,Japan,group,New York,July
1041,2026,Germany,Belgium,group,Toronto,July
1042,2026,Germany,South Korea,group,Mexico City,July
1043,2026,South Korea,Canada,group,Los Angeles,June
1044,2026,Qatar,England,group,Toronto,July
1045,2026,Uruguay,France,group,Miami,July
1046,2026,Netherlands,Australia,group,Toronto,June
1047,2026,France,England,group,Los Angeles,July
1048,2026,Croatia,Portugal,group,Los Angeles,July
1049,2026,Mexico,Qatar,knockout,New York,July
1050,2026,Saudi Arabia,Brazil,knockout,Dallas,July
1051,2026,Canada,Portugal,knockout,Los Angeles,June
1052,2026,Portugal,Australia,knockout,Dallas,July
1053,2026,Croatia,Netherlands,knockout,Los Angeles,July
1054,2026,Portugal,France,knockout,Miami,July
1055,2026,Italy,Nigeria,knockout,Dallas,July
1056,2026,Argentina,USA,knockout,Toronto,June
1057,2026,Germany,France,knockout,New York,June
1058,2026,France,Qatar,knockout,Mexico City,June
1059,2026,Saudi Arabia,England,knockout,Dallas,June
1060,2026,Croatia,Spain,knockout,Mexico City,June
1061,2026,Brazil,Croatia,knockout,Toronto,June
1062,2026,Portugal,Belgium,knockout,Vancouver,July
1063,2026,Belgium,Argentina,knockout,Miami,June
1064,2026,Senegal,France,knockout,Dallas,July
