match_id,year,temperature_c,humidity,weather,stadium_capacity_k,neutral_site,host_advantage_a,venue_region,weather_severity
1,1930,24.3,51.9,cloudy,62.0,True,0.0,Uruguay,0.22
2,1930,26.7,29.2,clear,44.5,True,0.0,Uruguay,0.12
3,1930,17.0,46.0,clear,67.8,True,0.0,Uruguay,0.12
4,1930,16.8,43.5,clear,70.2,True,0.0,Uruguay,0.12
5,1930,29.6,44.1,cloudy,32.6,True,0.0,Uruguay,0.22
6,1930,20.5,90.0,clear,41.1,True,0.0,Uruguay,0.12
7,1930,14.5,58.9,cloudy,59.7,True,0.0,Uruguay,0.22
8,1930,25.7,61.9,rain,53.9,True,0.0,Uruguay,0.48
9,1930,25.8,29.6,hot,57.8,False,0.18,Uruguay,0.62
10,1930,13.8,47.5,clear,46.9,True,0.0,Uruguay,0.12
11,1930,24.4,61.4,cloudy,69.4,True,0.0,Uruguay,0.22
12,1930,27.4,41.6,cloudy,68.1,True,0.0,Uruguay,0.22
13,1930,25.2,72.5,cloudy,58.9,True,0.0,Uruguay,0.22
14,1930,26.8,38.8,cloudy,72.7,False,0.18,Uruguay,0.22
15,1930,14.6,53.4,clear,64.1,True,0.0,Uruguay,0.12
16,1930,25.0,48.6,windy,46.8,True,0.0,Uruguay,0.48
17,1930,21.2,60.6,clear,62.8,False,0.18,Uruguay,0.12
18,1930,20.1,47.8,hot,45.5,False,0.18,Uruguay,0.62
19,1934,28.2,53.7,cloudy,69.4,True,0.0,Italy,0.22
20,1934,31.9,54.2,clear,57.4,True,0.0,Italy,0.12
21,1934,33.8,46.2,rain,55.6,True,0.0,Italy,0.48
22,1934,30.9,65.8,clear,49.1,True,0.0,Italy,0.12
23,1934,22.3,61.8,rain,73.9,True,0.0,Italy,0.48
24,1934,25.1,56.6,cloudy,56.0,True,0.0,Italy,0.22
25,1934,27.6,51.1,clear,52.4,False,0.18,Italy,0.12
26,1934,23.7,70.7,clear,53.4,True,0.0,Italy,0.12
27,1934,23.8,54.2,rain,64.9,True,0.0,Italy,0.48
28,1934,27.9,53.1,clear,62.8,True,0.0,Italy,0.12
29,1934,22.6,59.7,hot,63.4,True,0.0,Italy,0.62
30,1934,18.6,85.1,rain,63.6,False,0.18,Italy,0.48
31,1934,20.5,36.6,rain,85.8,False,0.18,Italy,0.48
32,1934,26.8,70.3,clear,52.7,True,0.0,Italy,0.12
33,1934,23.0,27.7,rain,51.3,False,0.18,Italy,0.48
34,1934,25.0,61.5,windy,47.4,True,0.0,Italy,0.48
35,1934,27.0,83.2,clear,66.0,False,0.18,Italy,0.12
36,1938,20.8,65.8,clear,72.7,True,0.0,France,0.12
37,1938,27.5,60.7,clear,56.5,True,0.0,France,0.12
38,1938,25.3,49.0,clear,47.1,True,0.0,France,0.12
39,1938,15.6,58.5,rain,47.3,True,0.0,France,0.48
40,1938,31.7,54.0,cloudy,66.5,False,0.18,France,0.22
41,1938,20.0,45.4,cloudy,67.7,True,0.0,France,0.22
42,1938,13.1,53.4,clear,65.1,True,0.0,France,0.12
43,1938,16.7,61.2,clear,49.3,True,0.0,France,0.12
44,1938,16.9,45.7,clear,61.0,True,0.0,France,0.12
45,1938,23.3,45.1,hot,59.5,True,0.0,France,0.62
46,1938,21.4,36.2,cloudy,60.8,True,0.0,France,0.22
47,1938,21.0,64.3,clear,69.3,False,0.18,France,0.12
48,1938,26.7,66.7,rain,60.9,True,0.0,France,0.48
49,1938,25.0,61.7,clear,66.8,True,0.0,France,0.12
50,1938,24.9,73.4,clear,58.9,True,0.0,France,0.12
51,1938,25.5,59.4,clear,61.8,True,0.0,France,0.12
52,1938,26.7,64.3,windy,66.2,True,0.0,France,0.48
53,1938,10.4,62.9,rain,39.1,True,0.0,France,0.48
54,1950,20.8,56.5,cloudy,53.8,False,0.18,Brazil,0.22
55,1950,9.9,49.5,clear,51.9,True,0.0,Brazil,0.12
56,1950,23.2,93.4,clear,49.7,True,0.0,Brazil,0.12
57,1950,23.0,50.8,cloudy,54.4,True,0.0,Brazil,0.22
58,1950,29.3,47.3,clear,77.4,True,0.0,Brazil,0.12
59,1950,30.1,64.9,windy,46.7,False,0.18,Brazil,0.48
60,1950,24.2,62.0,rain,70.6,True,0.0,Brazil,0.48
61,1950,20.0,35.5,cloudy,36.1,True,0.0,Brazil,0.22
62,1950,25.9,76.0,rain,53.6,True,0.0,Brazil,0.48
63,1950,19.8,56.5,windy,60.1,True,0.0,Brazil,0.48
64,1950,23.0,40.2,cloudy,65.6,False,0.18,Brazil,0.22
65,1950,28.9,77.0,cloudy,67.2,True,0.0,Brazil,0.22
66,1950,19.7,68.0,hot,68.3,True,0.0,Brazil,0.62
67,1950,27.8,37.8,clear,53.5,True,0.0,Brazil,0.12
68,1950,27.1,86.4,hot,52.0,True,0.0,Brazil,0.62
69,1950,17.3,68.5,clear,69.2,True,0.0,Brazil,0.12
70,1950,28.8,57.8,cloudy,55.5,False,0.18,Brazil,0.22
71,1950,27.2,83.4,rain,41.4,True,0.0,Brazil,0.48
72,1950,23.6,60.5,cloudy,43.3,False,0.18,Brazil,0.22
73,1950,18.4,57.6,cloudy,46.0,True,0.0,Brazil,0.22
74,1950,17.8,47.4,cloudy,64.5,False,0.18,Brazil,0.22
75,1950,19.8,67.3,clear,59.9,True,0.0,Brazil,0.12
76,1954,26.3,65.6,clear,67.0,True,0.0,Switzerland,0.12
77,1954,17.3,58.2,clear,52.4,True,0.0,Switzerland,0.12
78,1954,25.6,45.4,cloudy,60.1,True,0.0,Switzerland,0.22
79,1954,15.5,60.1,cloudy,66.1,True,0.0,Switzerland,0.22
80,1954,21.8,56.9,clear,54.0,True,0.0,Switzerland,0.12
81,1954,23.7,36.7,hot,63.9,True,0.0,Switzerland,0.62
82,1954,37.7,34.5,clear,49.4,True,0.0,Switzerland,0.12
83,1954,14.7,67.0,cloudy,53.3,False,0.18,Switzerland,0.22
84,1954,31.8,16.4,clear,53.0,True,0.0,Switzerland,0.12
85,1954,23.9,61.3,clear,42.5,True,0.0,Switzerland,0.12
86,1954,25.5,50.4,rain,64.3,True,0.0,Switzerland,0.48
87,1954,23.7,78.9,cloudy,51.9,True,0.0,Switzerland,0.22
88,1954,25.7,50.1,clear,58.2,True,0.0,Switzerland,0.12
89,1954,22.1,68.6,windy,64.2,True,0.0,Switzerland,0.48
90,1954,31.7,51.6,rain,63.8,True,0.0,Switzerland,0.48
91,1954,20.3,59.8,rain,66.7,False,0.18,Switzerland,0.48
92,1954,29.8,69.8,hot,56.7,True,0.0,Switzerland,0.62
93,1954,19.1,50.6,hot,52.5,False,0.18,Switzerland,0.62
94,1954,22.6,73.9,clear,57.0,True,0.0,Switzerland,0.12
95,1954,16.6,42.1,cloudy,36.1,False,0.18,Switzerland,0.22
96,1954,25.7,62.7,cloudy,39.2,True,0.0,Switzerland,0.22
97,1954,31.7,72.8,clear,40.8,True,0.0,Switzerland,0.12
98,1954,22.5,68.6,clear,45.0,True,0.0,Switzerland,0.12
99,1954,21.8,88.7,clear,63.2,True,0.0,Switzerland,0.12
100,1954,16.3,45.8,cloudy,46.2,True,0.0,Switzerland,0.22
101,1954,21.6,35.9,rain,53.1,True,0.0,Switzerland,0.48
102,1958,13.4,42.1,rain,74.9,True,0.0,Sweden,0.48
103,1958,17.5,68.6,clear,53.4,True,0.0,Sweden,0.12
104,1958,24.4,66.0,clear,67.6,True,0.0,Sweden,0.12
105,1958,30.9,59.6,cloudy,45.9,True,0.0,Sweden,0.22
106,1958,39.0,40.0,cloudy,55.3,True,0.0,Sweden,0.22
107,1958,19.5,70.3,hot,45.6,True,0.0,Sweden,0.62
108,1958,31.6,38.4,hot,53.6,True,0.0,Sweden,0.62
109,1958,24.5,76.5,hot,68.9,False,0.18,Sweden,0.62
110,1958,22.1,96.0,hot,35.5,True,0.0,Sweden,0.62
111,1958,25.6,63.9,windy,63.6,True,0.0,Sweden,0.48
112,1958,23.4,67.3,cloudy,61.1,True,0.0,Sweden,0.22
113,1958,23.7,50.1,clear,50.3,True,0.0,Sweden,0.12
114,1958,20.6,29.0,clear,39.2,True,0.0,Sweden,0.12
115,1958,14.6,48.4,clear,58.9,True,0.0,Sweden,0.12
116,1958,13.7,40.5,clear,51.1,True,0.0,Sweden,0.12
117,1958,26.9,34.8,clear,61.0,False,0.18,Sweden,0.12
118,1958,21.3,85.6,windy,58.3,True,0.0,Sweden,0.48
119,1958,19.4,62.4,clear,78.8,True,0.0,Sweden,0.12
120,1958,23.1,64.1,windy,54.9,True,0.0,Sweden,0.48
121,1958,27.8,53.1,rain,44.7,True,0.0,Sweden,0.48
122,1958,24.1,55.2,cloudy,60.3,True,0.0,Sweden,0.22
123,1958,19.1,73.4,rain,60.9,True,0.0,Sweden,0.48
124,1958,30.4,57.5,clear,75.7,True,0.0,Sweden,0.12
125,1958,32.5,66.5,cloudy,68.9,False,0.18,Sweden,0.22
126,1958,26.0,54.9,clear,62.6,True,0.0,Sweden,0.12
127,1958,28.8,52.5,windy,77.0,True,0.0,Sweden,0.48
128,1958,30.5,35.5,clear,42.5,True,0.0,Sweden,0.12
129,1958,29.8,26.4,clear,49.7,True,0.0,Sweden,0.12
130,1958,26.7,53.8,rain,46.0,True,0.0,Sweden,0.48
131,1958,26.6,58.9,cloudy,52.9,True,0.0,Sweden,0.22
132,1958,26.1,37.4,cloudy,40.1,False,0.18,Sweden,0.22
133,1958,16.4,57.4,cloudy,66.3,True,0.0,Sweden,0.22
134,1958,27.2,58.9,clear,55.1,False,0.18,Sweden,0.12
135,1958,14.9,23.5,rain,38.9,True,0.0,Sweden,0.48
136,1958,18.2,43.4,clear,44.8,False,0.18,Sweden,0.12
137,1962,30.8,64.5,clear,62.1,True,0.0,Chile,0.12
138,1962,28.0,64.2,clear,68.9,True,0.0,Chile,0.12
139,1962,31.9,39.5,clear,84.0,False,0.18,Chile,0.12
140,1962,21.4,60.5,clear,95.0,True,0.0,Chile,0.12
141,1962,16.1,74.4,cloudy,63.4,True,0.0,Chile,0.22
142,1962,21.6,70.4,clear,45.1,True,0.0,Chile,0.12
143,1962,23.6,56.5,clear,30.3,True,0.0,Chile,0.12
144,1962,23.5,50.5,cloudy,61.5,True,0.0,Chile,0.22
145,1962,29.8,47.9,clear,47.4,True,0.0,Chile,0.12
146,1962,20.8,65.5,rain,52.6,True,0.0,Chile,0.48
147,1962,25.1,61.1,windy,50.0,False,0.18,Chile,0.48
148,1962,17.1,68.1,cloudy,56.2,True,0.0,Chile,0.22
149,1962,25.7,60.1,hot,71.9,True,0.0,Chile,0.62
150,1962,23.0,71.1,clear,60.0,True,0.0,Chile,0.12
151,1962,18.5,59.5,clear,55.9,True,0.0,Chile,0.12
152,1962,21.6,70.6,rain,44.5,True,0.0,Chile,0.48
153,1962,21.9,71.9,rain,36.2,True,0.0,Chile,0.48
154,1962,21.4,45.1,hot,51.7,True,0.0,Chile,0.62
155,1962,33.6,29.1,clear,57.3,False,0.18,Chile,0.12
156,1962,22.4,82.7,rain,81.0,True,0.0,Chile,0.48
157,1962,21.5,62.1,clear,59.7,True,0.0,Chile,0.12
158,1962,10.4,30.6,clear,70.8,True,0.0,Chile,0.12
159,1962,17.6,46.6,clear,51.5,True,0.0,Chile,0.12
160,1962,21.4,70.3,windy,42.6,True,0.0,Chile,0.48
161,1962,18.9,53.5,clear,45.5,True,0.0,Chile,0.12
162,1962,31.3,49.8,hot,48.6,False,0.18,Chile,0.62
163,1962,22.0,80.4,cloudy,85.7,True,0.0,Chile,0.22
164,1962,30.7,41.2,rain,47.3,True,0.0,Chile,0.48
165,1962,23.4,45.2,rain,68.9,False,0.18,Chile,0.48
166,1962,23.2,61.4,hot,46.3,True,0.0,Chile,0.62
167,1962,22.5,64.2,clear,70.1,False,0.18,Chile,0.12
168,1962,23.0,65.9,clear,63.0,True,0.0,Chile,0.12
169,1966,33.3,72.6,cloudy,56.0,False,0.18,England,0.22
170,1966,9.1,61.2,clear,57.5,True,0.0,England,0.12
171,1966,11.0,65.8,clear,49.5,True,0.0,England,0.12
172,1966,19.7,53.9,clear,63.8,True,0.0,England,0.12
173,1966,23.1,59.0,clear,52.1,True,0.0,England,0.12
174,1966,27.1,59.7,clear,42.1,True,0.0,England,0.12
175,1966,25.8,61.4,clear,41.4,True,0.0,England,0.12
176,1966,20.7,70.4,hot,60.2,True,0.0,England,0.62
177,1966,29.1,66.9,clear,78.5,True,0.0,England,0.12
178,1966,29.2,58.7,windy,60.1,True,0.0,England,0.48
179,1966,24.1,45.1,windy,56.5,True,0.0,England,0.48
180,1966,28.8,59.1,clear,61.7,True,0.0,England,0.12
181,1966,24.6,57.6,rain,75.0,True,0.0,England,0.48
182,1966,19.6,61.1,cloudy,60.9,True,0.0,England,0.22
183,1966,27.2,93.3,rain,52.7,False,0.18,England,0.48
184,1966,23.7,49.6,clear,72.4,True,0.0,England,0.12
185,1966,23.0,64.8,clear,63.6,True,0.0,England,0.12
186,1966,31.8,75.1,clear,78.0,True,0.0,England,0.12
187,1966,8.3,59.6,cloudy,60.4,True,0.0,England,0.22
188,1966,14.5,95.4,windy,42.1,True,0.0,England,0.48
189,1966,15.9,52.0,rain,40.2,True,0.0,England,0.48
190,1966,20.8,63.2,rain,79.5,True,0.0,England,0.48
191,1966,21.5,45.2,windy,80.4,False,0.18,England,0.48
192,1966,14.0,52.4,rain,55.7,True,0.0,England,0.48
193,1966,17.1,62.0,clear,53.0,False,0.18,England,0.12
194,1966,17.8,71.5,hot,77.0,True,0.0,England,0.62
195,1966,37.7,63.1,clear,43.6,True,0.0,England,0.12
196,1966,33.8,78.1,clear,46.4,True,0.0,England,0.12
197,1966,20.5,56.5,cloudy,66.4,True,0.0,England,0.22
198,1966,20.8,52.7,windy,52.9,False,0.18,England,0.48
199,1966,16.1,96.0,clear,57.9,True,0.0,England,0.12
200,1966,11.6,64.3,cloudy,55.9,False,0.18,England,0.22
201,1970,22.3,46.5,clear,62.4,False,0.18,Mexico,0.12
202,1970,17.0,46.9,clear,76.3,True,0.0,Mexico,0.12
203,1970,22.5,42.9,clear,59.2,True,0.0,Mexico,0.12
204,1970,13.4,73.0,rain,66.4,True,0.0,Mexico,0.48
205,1970,18.4,52.2,hot,31.3,True,0.0,Mexico,0.62
206,1970,23.9,60.0,clear,57.4,True,0.0,Mexico,0.12
207,1970,25.2,57.0,clear,47.0,True,0.0,Mexico,0.12
208,1970,25.5,69.7,clear,42.2,True,0.0,Mexico,0.12
209,1970,15.1,44.5,clear,46.6,True,0.0,Mexico,0.12
210,1970,28.1,40.8,cloudy,53.7,True,0.0,Mexico,0.22
211,1970,18.2,61.6,rain,69.9,True,0.0,Mexico,0.48
212,1970,26.8,67.6,cloudy,40.8,True,0.0,Mexico,0.22
213,1970,22.9,63.3,clear,58.4,True,0.0,Mexico,0.12
214,1970,14.7,45.0,cloudy,51.7,True,0.0,Mexico,0.22
215,1970,21.1,68.8,clear,53.7,True,0.0,Mexico,0.12
216,1970,25.2,46.1,clear,71.0,False,0.18,Mexico,0.12
217,1970,26.7,49.7,windy,65.0,True,0.0,Mexico,0.48
218,1970,22.2,42.9,rain,75.4,True,0.0,Mexico,0.48
219,1970,32.2,78.8,windy,56.0,True,0.0,Mexico,0.48
220,1970,29.0,68.1,hot,49.0,True,0.0,Mexico,0.62
221,1970,21.5,67.7,cloudy,55.1,True,0.0,Mexico,0.22
222,1970,27.5,78.0,windy,61.2,True,0.0,Mexico,0.48
223,1970,34.6,96.0,clear,60.3,True,0.0,Mexico,0.12
224,1970,34.8,30.7,clear,43.9,False,0.18,Mexico,0.12
225,1970,15.6,46.2,clear,59.2,True,0.0,Mexico,0.12
226,1970,17.4,48.1,clear,61.0,True,0.0,Mexico,0.12
227,1970,31.9,44.4,clear,90.7,False,0.18,Mexico,0.12
228,1970,16.7,40.8,clear,82.4,True,0.0,Mexico,0.12
229,1970,15.1,53.2,rain,46.9,True,0.0,Mexico,0.48
230,1970,20.1,38.5,rain,54.3,True,0.0,Mexico,0.48
231,1970,25.5,63.4,cloudy,39.0,True,0.0,Mexico,0.22
232,1970,22.4,58.8,clear,50.3,True,0.0,Mexico,0.12
233,1974,19.1,65.7,rain,62.1,True,0.0,Germany,0.48
234,1974,19.0,66.1,clear,73.7,True,0.0,Germany,0.12
235,1974,18.7,67.6,clear,48.5,True,0.0,Germany,0.12
236,1974,17.7,52.0,clear,49.5,False,0.18,Germany,0.12
237,1974,36.7,91.9,clear,30.1,True,0.0,Germany,0.12
238,1974,24.8,61.8,clear,55.9,True,0.0,Germany,0.12
239,1974,28.3,28.2,rain,44.2,True,0.0,Germany,0.48
240,1974,20.1,42.0,rain,51.1,True,0.0,Germany,0.48
241,1974,21.9,30.2,rain,46.6,True,0.0,Germany,0.48
242,1974,18.7,58.3,clear,56.8,False,0.18,Germany,0.12
243,1974,7.1,56.1,rain,35.1,True,0.0,Germany,0.48
244,1974,14.7,50.5,rain,38.9,True,0.0,Germany,0.48
245,1974,12.1,90.2,clear,85.7,True,0.0,Germany,0.12
246,1974,9.5,66.8,cloudy,41.3,True,0.0,Germany,0.22
247,1974,15.8,69.6,cloudy,43.7,True,0.0,Germany,0.22
248,1974,30.9,43.1,cloudy,81.9,True,0.0,Germany,0.22
249,1974,22.7,42.0,clear,95.0,True,0.0,Germany,0.12
250,1974,30.7,58.6,cloudy,42.8,True,0.0,Germany,0.22
251,1974,25.5,60.8,clear,53.2,False,0.18,Germany,0.12
252,1974,27.7,28.3,clear,62.4,True,0.0,Germany,0.12
253,1974,17.6,55.1,clear,80.5,True,0.0,Germany,0.12
254,1974,26.1,58.2,windy,45.2,True,0.0,Germany,0.48
255,1974,27.4,54.6,clear,54.8,True,0.0,Germany,0.12
256,1974,19.5,45.0,clear,68.1,True,0.0,Germany,0.12
257,1974,26.4,49.4,clear,63.7,True,0.0,Germany,0.12
258,1974,26.4,55.2,hot,53.1,False,0.18,Germany,0.62
259,1974,19.7,59.5,cloudy,56.3,True,0.0,Germany,0.22
260,1974,16.3,67.7,hot,40.1,True,0.0,Germany,0.62
261,1974,15.9,75.3,clear,54.9,True,0.0,Germany,0.12
262,1974,23.5,53.3,clear,54.5,True,0.0,Germany,0.12
263,1974,25.0,50.7,cloudy,61.0,False,0.18,Germany,0.22
264,1974,18.2,65.0,clear,50.8,True,0.0,Germany,0.12
265,1974,23.2,67.8,rain,64.1,True,0.0,Germany,0.48
