match_id,team_a,team_b,sponsor,scenario,predicted_roi,roi_delta_vs_baseline,roi_lift_pct
562,Uruguay,England,Samsung,A_baseline,4.196,0.0,0.0
562,Uruguay,England,Samsung,B_core_player_absent,4.147,-0.049,-1.17
562,Uruguay,England,Samsung,C_sponsor_upgrade,4.173,-0.024,-0.57
562,Uruguay,England,Samsung,D_media_cooling,3.919,-0.277,-6.61
315,Nigeria,Senegal,Adidas,A_baseline,4.596,0.0,0.0
315,Nigeria,Senegal,Adidas,B_core_player_absent,4.525,-0.071,-1.55
315,Nigeria,Senegal,Adidas,C_sponsor_upgrade,4.592,-0.003,-0.07
315,Nigeria,Senegal,Adidas,D_media_cooling,4.287,-0.309,-6.73
56,Argentina,Netherlands,Nike,A_baseline,4.194,0.0,0.0
56,Argentina,Netherlands,Nike,B_core_player_absent,4.143,-0.051,-1.21
56,Argentina,Netherlands,Nike,C_sponsor_upgrade,4.149,-0.045,-1.07
56,Argentina,Netherlands,Nike,D_media_cooling,3.907,-0.287,-6.84
678,Brazil,France,Hyundai,A_baseline,4.226,0.0,0.0
678,Brazil,France,Hyundai,B_core_player_absent,4.185,-0.04,-0.95
678,Brazil,France,Hyundai,C_sponsor_upgrade,4.201,-0.025,-0.58
678,Brazil,France,Hyundai,D_media_cooling,3.965,-0.261,-6.17
174,Saudi Arabia,Spain,Adidas,A_baseline,4.686,0.0,0.0
174,Saudi Arabia,Spain,Adidas,B_core_player_absent,4.597,-0.089,-1.9
174,Saudi Arabia,Spain,Adidas,C_sponsor_upgrade,4.635,-0.051,-1.09
174,Saudi Arabia,Spain,Adidas,D_media_cooling,4.365,-0.321,-6.85
487,Australia,Netherlands,Emirates,A_baseline,4.486,0.0,0.0
487,Australia,Netherlands,Emirates,B_core_player_absent,4.428,-0.058,-1.29
487,Australia,Netherlands,Emirates,C_sponsor_upgrade,4.453,-0.034,-0.75
487,Australia,Netherlands,Emirates,D_media_cooling,4.207,-0.279,-6.23
211,Croatia,Australia,Qatar Airways,A_baseline,4.35,0.0,0.0
211,Croatia,Australia,Qatar Airways,B_core_player_absent,4.291,-0.059,-1.36
211,Croatia,Australia,Qatar Airways,C_sponsor_upgrade,4.321,-0.029,-0.66
211,Croatia,Australia,Qatar Airways,D_media_cooling,4.089,-0.262,-6.01
113,Croatia,England,Qatar Airways,A_baseline,4.375,0.0,0.0
113,Croatia,England,Qatar Airways,B_core_player_absent,4.315,-0.06,-1.38
113,Croatia,England,Qatar Airways,C_sponsor_upgrade,4.346,-0.029,-0.66
113,Croatia,England,Qatar Airways,D_media_cooling,4.108,-0.267,-6.1
337,USA,Mexico,Coca-Cola,A_baseline,4.034,0.0,0.0
337,USA,Mexico,Coca-Cola,B_core_player_absent,3.982,-0.051,-1.28
337,USA,Mexico,Coca-Cola,C_sponsor_upgrade,4.005,-0.029,-0.72
337,USA,Mexico,Coca-Cola,D_media_cooling,3.794,-0.24,-5.95
37,Qatar,Argentina,Qatar Airways,A_baseline,4.372,0.0,0.0
37,Qatar,Argentina,Qatar Airways,B_core_player_absent,4.329,-0.043,-0.99
37,Qatar,Argentina,Qatar Airways,C_sponsor_upgrade,4.352,-0.02,-0.46
37,Qatar,Argentina,Qatar Airways,D_media_cooling,4.118,-0.254,-5.81
693,England,Morocco,Adidas,A_baseline,4.302,0.0,0.0
693,England,Morocco,Adidas,B_core_player_absent,4.223,-0.079,-1.83
693,England,Morocco,Adidas,C_sponsor_upgrade,4.279,-0.022,-0.52
693,England,Morocco,Adidas,D_media_cooling,4.014,-0.288,-6.69
526,Japan,South Korea,Pepsi,A_baseline,4.125,0.0,0.0
526,Japan,South Korea,Pepsi,B_core_player_absent,4.072,-0.053,-1.28
526,Japan,South Korea,Pepsi,C_sponsor_upgrade,4.056,-0.069,-1.67
526,Japan,South Korea,Pepsi,D_media_cooling,3.868,-0.257,-6.23
26,Argentina,Netherlands,Nike,A_baseline,4.037,0.0,0.0
26,Argentina,Netherlands,Nike,B_core_player_absent,3.991,-0.046,-1.13
26,Argentina,Netherlands,Nike,C_sponsor_upgrade,3.992,-0.045,-1.11
26,Argentina,Netherlands,Nike,D_media_cooling,3.786,-0.25,-6.2
581,South Korea,France,Sony,A_baseline,3.639,0.0,0.0
581,South Korea,France,Sony,B_core_player_absent,3.594,-0.045,-1.24
581,South Korea,France,Sony,C_sponsor_upgrade,3.648,0.009,0.25
581,South Korea,France,Sony,D_media_cooling,3.392,-0.247,-6.78
517,Japan,Germany,Pepsi,A_baseline,4.104,0.0,0.0
517,Japan,Germany,Pepsi,B_core_player_absent,4.053,-0.051,-1.25
517,Japan,Germany,Pepsi,C_sponsor_upgrade,4.036,-0.069,-1.68
517,Japan,Germany,Pepsi,D_media_cooling,3.858,-0.246,-5.99
8,Nigeria,Italy,Adidas,A_baseline,4.414,0.0,0.0
8,Nigeria,Italy,Adidas,B_core_player_absent,4.347,-0.066,-1.51
8,Nigeria,Italy,Adidas,C_sponsor_upgrade,4.411,-0.003,-0.08
8,Nigeria,Italy,Adidas,D_media_cooling,4.145,-0.269,-6.1
510,Argentina,Spain,Nike,A_baseline,3.954,0.0,0.0
510,Argentina,Spain,Nike,B_core_player_absent,3.911,-0.043,-1.1
510,Argentina,Spain,Nike,C_sponsor_upgrade,3.909,-0.045,-1.14
510,Argentina,Spain,Nike,D_media_cooling,3.718,-0.236,-5.96
683,England,Germany,Adidas,A_baseline,3.931,0.0,0.0
683,England,Germany,Adidas,B_core_player_absent,3.855,-0.075,-1.92
683,England,Germany,Adidas,C_sponsor_upgrade,3.908,-0.022,-0.57
683,England,Germany,Adidas,D_media_cooling,3.665,-0.266,-6.77
514,Portugal,Brazil,Adidas,A_baseline,4.219,0.0,0.0
514,Portugal,Brazil,Adidas,B_core_player_absent,4.165,-0.054,-1.28
514,Portugal,Brazil,Adidas,C_sponsor_upgrade,4.159,-0.06,-1.41
514,Portugal,Brazil,Adidas,D_media_cooling,3.989,-0.23,-5.46
267,Italy,Mexico,Mastercard,A_baseline,4.178,0.0,0.0
267,Italy,Mexico,Mastercard,B_core_player_absent,4.13,-0.048,-1.15
267,Italy,Mexico,Mastercard,C_sponsor_upgrade,4.118,-0.06,-1.43
267,Italy,Mexico,Mastercard,D_media_cooling,3.936,-0.242,-5.78
277,Spain,England,Emirates,A_baseline,3.672,0.0,0.0
277,Spain,England,Emirates,B_core_player_absent,3.628,-0.045,-1.22
277,Spain,England,Emirates,C_sponsor_upgrade,3.617,-0.056,-1.52
277,Spain,England,Emirates,D_media_cooling,3.448,-0.224,-6.09
240,Argentina,Germany,Nike,A_baseline,3.938,0.0,0.0
240,Argentina,Germany,Nike,B_core_player_absent,3.896,-0.042,-1.07
240,Argentina,Germany,Nike,C_sponsor_upgrade,3.893,-0.045,-1.14
240,Argentina,Germany,Nike,D_media_cooling,3.71,-0.228,-5.8
512,Netherlands,Mexico,Coca-Cola,A_baseline,4.145,0.0,0.0
512,Netherlands,Mexico,Coca-Cola,B_core_player_absent,4.082,-0.063,-1.52
512,Netherlands,Mexico,Coca-Cola,C_sponsor_upgrade,4.089,-0.056,-1.35
512,Netherlands,Mexico,Coca-Cola,D_media_cooling,3.879,-0.266,-6.41
275,Japan,Portugal,Pepsi,A_baseline,3.881,0.0,0.0
275,Japan,Portugal,Pepsi,B_core_player_absent,3.827,-0.054,-1.39
275,Japan,Portugal,Pepsi,C_sponsor_upgrade,3.812,-0.069,-1.77
275,Japan,Portugal,Pepsi,D_media_cooling,3.624,-0.256,-6.61
34,Italy,Canada,Mastercard,A_baseline,4.065,0.0,0.0
34,Italy,Canada,Mastercard,B_core_player_absent,4.02,-0.045,-1.11
34,Italy,Canada,Mastercard,C_sponsor_upgrade,4.006,-0.06,-1.47
34,Italy,Canada,Mastercard,D_media_cooling,3.84,-0.225,-5.54
263,England,Portugal,Adidas,A_baseline,4.053,0.0,0.0
263,England,Portugal,Adidas,B_core_player_absent,3.978,-0.075,-1.86
263,England,Portugal,Adidas,C_sponsor_upgrade,4.031,-0.022,-0.55
263,England,Portugal,Adidas,D_media_cooling,3.79,-0.263,-6.48
44,Croatia,Senegal,Qatar Airways,A_baseline,4.193,0.0,0.0
44,Croatia,Senegal,Qatar Airways,B_core_player_absent,4.14,-0.053,-1.27
44,Croatia,Senegal,Qatar Airways,C_sponsor_upgrade,4.164,-0.029,-0.69
44,Croatia,Senegal,Qatar Airways,D_media_cooling,3.973,-0.22,-5.24
60,Belgium,Morocco,Nike,A_baseline,3.954,0.0,0.0
60,Belgium,Morocco,Nike,B_core_player_absent,3.897,-0.057,-1.44
60,Belgium,Morocco,Nike,C_sponsor_upgrade,3.913,-0.041,-1.04
60,Belgium,Morocco,Nike,D_media_cooling,3.722,-0.232,-5.87
701,Uruguay,Portugal,Samsung,A_baseline,3.909,0.0,0.0
701,Uruguay,Portugal,Samsung,B_core_player_absent,3.861,-0.048,-1.22
701,Uruguay,Portugal,Samsung,C_sponsor_upgrade,3.885,-0.024,-0.61
701,Uruguay,Portugal,Samsung,D_media_cooling,3.655,-0.254,-6.5
451,Nigeria,Mexico,Adidas,A_baseline,4.104,0.0,0.0
451,Nigeria,Mexico,Adidas,B_core_player_absent,4.042,-0.062,-1.51
451,Nigeria,Mexico,Adidas,C_sponsor_upgrade,4.101,-0.003,-0.08
451,Nigeria,Mexico,Adidas,D_media_cooling,3.863,-0.242,-5.89
108,Morocco,England,Sony,A_baseline,3.738,0.0,0.0
108,Morocco,England,Sony,B_core_player_absent,3.684,-0.054,-1.44
108,Morocco,England,Sony,C_sponsor_upgrade,3.737,-0.001,-0.03
108,Morocco,England,Sony,D_media_cooling,3.519,-0.219,-5.87
