sponsor,team,stage,expected_roi,avg_spend,momentum,fan_score,exposure,risk_penalty,utility,cost_m,utility_per_m,ucb_score
Hyundai,Russia,group_or_knockout,4.053,26.07,0.648904761904762,0.6219523809523809,0.515047619047619,0.19790223629527015,2.484150202048759,26.07,0.09528769474678785,2.5278487971557606
Coca-Cola,Germany,group_or_knockout,3.929310344827586,29.19,0.6727931034482758,0.7075344827586206,0.48001724137931034,0.20286813571178733,2.427451066384436,29.19,0.08316036541227942,2.4599638615701385
Visa,Belgium,group_or_knockout,3.8521621621621622,26.85,0.6646756756756756,0.7317297297297298,0.47067567567567564,0.20609368907703446,2.385473315684648,26.85,0.08884444378713773,2.4230158577897924
Hyundai,Mexico,group_or_knockout,3.8088333333333333,28.5,0.65875,0.6134722222222222,0.4701388888888889,0.20795064637992583,2.343801448289606,28.5,0.08223864730840723,2.375211792563453
McDonald's,New Zealand,tournament,3.933666666666667,20.14,0.31866666666666665,0.308,0.4296666666666667,0.20268900749949326,2.303638212733374,20.14,0.11438124194306722,2.3738738777263673
Mengniu,Bosnia and Herzegovina,group_or_knockout,3.6556666666666664,16.77,0.401,0.421,0.5296666666666666,0.21479200973723778,2.1934099725543543,16.77,0.13079367755243615,2.3654515135322467
Mengniu,Turkey,tournament,3.7176666666666662,18.0,0.4126666666666667,0.49300000000000005,0.39666666666666667,0.21196919381049956,2.222625797828493,18.0,0.12347921099047182,2.344277538099744
Adidas,North Korea,group_or_knockout,3.7699999999999996,26.45,0.511,0.412,0.578,0.20964360587002098,2.2815285115303987,26.45,0.08625816678753871,2.317017971651139
Mengniu,Turkey,group_or_knockout,3.648285714285714,18.0,0.4784285714285715,0.5442857142857143,0.4937142857142857,0.2151330751736431,2.2158464968432514,18.0,0.12310258315795841,2.315174726838636
Visa,Saudi Arabia,group_or_knockout,3.742526315789474,27.159999999999997,0.5438421052631579,0.48978947368421055,0.5117368421052632,0.21085808141341497,2.2745087219079796,27.159999999999997,0.08374479830294476,2.3079290252059765
Hisense,Chile,group_or_knockout,3.71975,27.36,0.5699166666666667,0.5661666666666666,0.4915,0.21187562900577364,2.2746557830128715,27.36,0.08313800376509034,2.3068821162693807
Budweiser,Sweden,group_or_knockout,3.6896086956521743,26.29,0.59,0.6300869565217392,0.48634782608695654,0.21323740740397362,2.269863181320726,26.29,0.08633941351543271,2.3057363224312075
