panel_id,team,sponsor,scenario,baseline_roi,counterfactual_roi,roi_delta,roi_low,roi_high,method
2018_837_Russia,Russia,Hyundai,player_injury_shock,4.476,4.2128,-0.2632,4.0558,4.3698,SCM-style deterministic intervention baseline
2018_837_Russia,Russia,Hyundai,media_surge,4.476,4.704,0.228,4.561,4.847,SCM-style deterministic intervention baseline
2018_837_Russia,Russia,Hyundai,budget_cut,4.476,4.3356,-0.1404,4.2136,4.4576,SCM-style deterministic intervention baseline
2018_837_Russia,Russia,Hyundai,budget_reallocation,4.476,4.5888,0.1128,4.4773,4.7003,SCM-style deterministic intervention baseline
2018_837_Russia,Russia,Hyundai,late_stage_activation,4.476,4.6644,0.1884,4.5319,4.7969,SCM-style deterministic intervention baseline
2018_837_Saudi_Arabia,Saudi Arabia,Visa,player_injury_shock,4.476,4.2128,-0.2632,4.0558,4.3698,SCM-style deterministic intervention baseline
2018_837_Saudi_Arabia,Saudi Arabia,Visa,media_surge,4.476,4.704,0.228,4.561,4.847,SCM-style deterministic intervention baseline
2018_837_Saudi_Arabia,Saudi Arabia,Visa,budget_cut,4.476,4.3356,-0.1404,4.2136,4.4576,SCM-style deterministic intervention baseline
2018_837_Saudi_Arabia,Saudi Arabia,Visa,budget_reallocation,4.476,4.5888,0.1128,4.4773,4.7003,SCM-style deterministic intervention baseline
2018_837_Saudi_Arabia,Saudi Arabia,Visa,late_stage_activation,4.476,4.6644,0.1884,4.5319,4.7969,SCM-style deterministic intervention baseline
2014_789_South_Korea,South Korea,McDonald's,player_injury_shock,4.444,4.1808,-0.2632,4.0238,4.3378,SCM-style deterministic intervention baseline
2014_789_South_Korea,South Korea,McDonald's,media_surge,4.444,4.672,0.228,4.529,4.815,SCM-style deterministic intervention baseline
2014_789_South_Korea,South Korea,McDonald's,budget_cut,4.444,4.3036,-0.1404,4.1816,4.4256,SCM-style deterministic intervention baseline
2014_789_South_Korea,South Korea,McDonald's,budget_reallocation,4.444,4.5568,0.1128,4.4453,4.6683,SCM-style deterministic intervention baseline
2014_789_South_Korea,South Korea,McDonald's,late_stage_activation,4.444,4.6324,0.1884,4.4999,4.7649,SCM-style deterministic intervention baseline
2014_789_Russia,Russia,Hyundai,player_injury_shock,4.444,4.1808,-0.2632,4.0238,4.3378,SCM-style deterministic intervention baseline
2014_789_Russia,Russia,Hyundai,media_surge,4.444,4.672,0.228,4.529,4.815,SCM-style deterministic intervention baseline
2014_789_Russia,Russia,Hyundai,budget_cut,4.444,4.3036,-0.1404,4.1816,4.4256,SCM-style deterministic intervention baseline
2014_789_Russia,Russia,Hyundai,budget_reallocation,4.444,4.5568,0.1128,4.4453,4.6683,SCM-style deterministic intervention baseline
2014_789_Russia,Russia,Hyundai,late_stage_activation,4.444,4.6324,0.1884,4.4999,4.7649,SCM-style deterministic intervention baseline
2018_896_Croatia,Croatia,Hisense,player_injury_shock,4.418,4.1548,-0.2632,3.9978,4.3118,SCM-style deterministic intervention baseline
2018_896_Croatia,Croatia,Hisense,media_surge,4.418,4.646,0.228,4.503,4.789,SCM-style deterministic intervention baseline
2018_896_Croatia,Croatia,Hisense,budget_cut,4.418,4.2776,-0.1404,4.1556,4.3996,SCM-style deterministic intervention baseline
2018_896_Croatia,Croatia,Hisense,budget_reallocation,4.418,4.5308,0.1128,4.4193,4.6423,SCM-style deterministic intervention baseline
2018_896_Croatia,Croatia,Hisense,late_stage_activation,4.418,4.6064,0.1884,4.4739,4.7389,SCM-style deterministic intervention baseline
