team,sponsor,extreme_scenario,baseline_roi,scenario_roi,roi_ci_low,roi_ci_high,risk_interval_width,recommendation_reason
Germany,Coca-Cola,key_player_injury,4.2217,3.6306,3.3096,3.9517,0.6421,Player availability shock lowers expected activation.
Germany,Coca-Cola,sentiment_crisis,4.2217,3.4618,3.0941,3.8294,0.7353,Negative social/news sentiment requires defensive spend.
Germany,Coca-Cola,sponsor_policy_change,4.2217,3.7995,3.494,4.105,0.611,Policy restriction reduces activation quality.
Germany,Coca-Cola,positive_viral_moment,4.2217,4.8971,4.5657,5.2285,0.6628,Positive viral attention can lift upside but increases volatility.
Argentina,Hyundai,key_player_injury,4.1151,3.539,3.218,3.86,0.6421,Player availability shock lowers expected activation.
Argentina,Hyundai,sentiment_crisis,4.1151,3.3744,3.0067,3.742,0.7353,Negative social/news sentiment requires defensive spend.
Argentina,Hyundai,sponsor_policy_change,4.1151,3.7036,3.3981,4.0091,0.611,Policy restriction reduces activation quality.
Argentina,Hyundai,positive_viral_moment,4.1151,4.7735,4.4421,5.1049,0.6628,Positive viral attention can lift upside but increases volatility.
Brazil,Adidas,key_player_injury,4.0593,3.491,3.17,3.812,0.6421,Player availability shock lowers expected activation.
Brazil,Adidas,sentiment_crisis,4.0593,3.3286,2.961,3.6963,0.7353,Negative social/news sentiment requires defensive spend.
Brazil,Adidas,sponsor_policy_change,4.0593,3.6534,3.3479,3.9589,0.611,Policy restriction reduces activation quality.
Brazil,Adidas,positive_viral_moment,4.0593,4.7088,4.3774,5.0402,0.6628,Positive viral attention can lift upside but increases volatility.
Belgium,Visa,key_player_injury,4.0453,3.4789,3.1579,3.8,0.6421,Player availability shock lowers expected activation.
Belgium,Visa,sentiment_crisis,4.0453,3.3171,2.9495,3.6847,0.7353,Negative social/news sentiment requires defensive spend.
Belgium,Visa,sponsor_policy_change,4.0453,3.6407,3.3352,3.9462,0.611,Policy restriction reduces activation quality.
Belgium,Visa,positive_viral_moment,4.0453,4.6925,4.3611,5.0239,0.6628,Positive viral attention can lift upside but increases volatility.
Croatia,Hisense,key_player_injury,4.0241,3.4607,3.1397,3.7818,0.6421,Player availability shock lowers expected activation.
Croatia,Hisense,sentiment_crisis,4.0241,3.2998,2.9321,3.6674,0.7353,Negative social/news sentiment requires defensive spend.
Croatia,Hisense,sponsor_policy_change,4.0241,3.6217,3.3162,3.9272,0.611,Policy restriction reduces activation quality.
Croatia,Hisense,positive_viral_moment,4.0241,4.668,4.3366,4.9993,0.6628,Positive viral attention can lift upside but increases volatility.
France,Qatar Airways,key_player_injury,4.009,3.4477,3.1267,3.7688,0.6421,Player availability shock lowers expected activation.
France,Qatar Airways,sentiment_crisis,4.009,3.2874,2.9197,3.655,0.7353,Negative social/news sentiment requires defensive spend.
France,Qatar Airways,sponsor_policy_change,4.009,3.6081,3.3026,3.9136,0.611,Policy restriction reduces activation quality.
France,Qatar Airways,positive_viral_moment,4.009,4.6504,4.319,4.9818,0.6628,Positive viral attention can lift upside but increases volatility.
Saudi Arabia,Visa,key_player_injury,4.008,3.4469,3.1258,3.7679,0.6421,Player availability shock lowers expected activation.
Saudi Arabia,Visa,sentiment_crisis,4.008,3.2866,2.9189,3.6542,0.7353,Negative social/news sentiment requires defensive spend.
Saudi Arabia,Visa,sponsor_policy_change,4.008,3.6072,3.3017,3.9127,0.611,Policy restriction reduces activation quality.
Saudi Arabia,Visa,positive_viral_moment,4.008,4.6493,4.3179,4.9807,0.6628,Positive viral attention can lift upside but increases volatility.
El Salvador,Budweiser,key_player_injury,3.9967,3.4371,3.1161,3.7582,0.6421,Player availability shock lowers expected activation.
El Salvador,Budweiser,sentiment_crisis,3.9967,3.2773,2.9096,3.6449,0.7353,Negative social/news sentiment requires defensive spend.
El Salvador,Budweiser,sponsor_policy_change,3.9967,3.597,3.2915,3.9025,0.611,Policy restriction reduces activation quality.
El Salvador,Budweiser,positive_viral_moment,3.9967,4.6361,4.3047,4.9675,0.6628,Positive viral attention can lift upside but increases volatility.
Russia,Hyundai,key_player_injury,3.9915,3.4327,3.1116,3.7537,0.6421,Player availability shock lowers expected activation.
Russia,Hyundai,sentiment_crisis,3.9915,3.273,2.9054,3.6406,0.7353,Negative social/news sentiment requires defensive spend.
Russia,Hyundai,sponsor_policy_change,3.9915,3.5923,3.2868,3.8978,0.611,Policy restriction reduces activation quality.
Russia,Hyundai,positive_viral_moment,3.9915,4.6301,4.2987,4.9615,0.6628,Positive viral attention can lift upside but increases volatility.
United Arab Emirates,Adidas,key_player_injury,3.991,3.4323,3.1112,3.7533,0.6421,Player availability shock lowers expected activation.
United Arab Emirates,Adidas,sentiment_crisis,3.991,3.2726,2.905,3.6403,0.7353,Negative social/news sentiment requires defensive spend.
United Arab Emirates,Adidas,sponsor_policy_change,3.991,3.5919,3.2864,3.8974,0.611,Policy restriction reduces activation quality.
United Arab Emirates,Adidas,positive_viral_moment,3.991,4.6296,4.2982,4.961,0.6628,Positive viral attention can lift upside but increases volatility.
Canada,Hisense,key_player_injury,3.9813,3.4239,3.1029,3.745,0.6421,Player availability shock lowers expected activation.
Canada,Hisense,sentiment_crisis,3.9813,3.2647,2.8971,3.6323,0.7353,Negative social/news sentiment requires defensive spend.
Canada,Hisense,sponsor_policy_change,3.9813,3.5832,3.2777,3.8887,0.611,Policy restriction reduces activation quality.
Canada,Hisense,positive_viral_moment,3.9813,4.6183,4.287,4.9497,0.6628,Positive viral attention can lift upside but increases volatility.
Spain,Budweiser,key_player_injury,3.9742,3.4178,3.0968,3.7388,0.6421,Player availability shock lowers expected activation.
Spain,Budweiser,sentiment_crisis,3.9742,3.2588,2.8912,3.6265,0.7353,Negative social/news sentiment requires defensive spend.
Spain,Budweiser,sponsor_policy_change,3.9742,3.5768,3.2713,3.8823,0.611,Policy restriction reduces activation quality.
Spain,Budweiser,positive_viral_moment,3.9742,4.6101,4.2787,4.9415,0.6628,Positive viral attention can lift upside but increases volatility.
Ukraine,Qatar Airways,key_player_injury,3.9666,3.4113,3.0902,3.7323,0.6421,Player availability shock lowers expected activation.
Ukraine,Qatar Airways,sentiment_crisis,3.9666,3.2526,2.885,3.6203,0.7353,Negative social/news sentiment requires defensive spend.
Ukraine,Qatar Airways,sponsor_policy_change,3.9666,3.5699,3.2644,3.8754,0.611,Policy restriction reduces activation quality.
Ukraine,Qatar Airways,positive_viral_moment,3.9666,4.6013,4.2699,4.9326,0.6628,Positive viral attention can lift upside but increases volatility.
Jamaica,Adidas,key_player_injury,3.961,3.4065,3.0854,3.7275,0.6421,Player availability shock lowers expected activation.
Jamaica,Adidas,sentiment_crisis,3.961,3.248,2.8804,3.6157,0.7353,Negative social/news sentiment requires defensive spend.
Jamaica,Adidas,sponsor_policy_change,3.961,3.5649,3.2594,3.8704,0.611,Policy restriction reduces activation quality.
Jamaica,Adidas,positive_viral_moment,3.961,4.5948,4.2634,4.9262,0.6628,Positive viral attention can lift upside but increases volatility.
Poland,Coca-Cola,key_player_injury,3.9584,3.4042,3.0832,3.7252,0.6421,Player availability shock lowers expected activation.
Poland,Coca-Cola,sentiment_crisis,3.9584,3.2459,2.8782,3.6135,0.7353,Negative social/news sentiment requires defensive spend.
Poland,Coca-Cola,sponsor_policy_change,3.9584,3.5625,3.257,3.868,0.611,Policy restriction reduces activation quality.
Poland,Coca-Cola,positive_viral_moment,3.9584,4.5917,4.2603,4.9231,0.6628,Positive viral attention can lift upside but increases volatility.
Japan,Adidas,key_player_injury,3.9544,3.4008,3.0798,3.7219,0.6421,Player availability shock lowers expected activation.
Japan,Adidas,sentiment_crisis,3.9544,3.2426,2.875,3.6103,0.7353,Negative social/news sentiment requires defensive spend.
Japan,Adidas,sponsor_policy_change,3.9544,3.559,3.2535,3.8645,0.611,Policy restriction reduces activation quality.
Japan,Adidas,positive_viral_moment,3.9544,4.5872,4.2558,4.9185,0.6628,Positive viral attention can lift upside but increases volatility.
Chile,Hisense,key_player_injury,3.9517,3.3984,3.0774,3.7195,0.6421,Player availability shock lowers expected activation.
Chile,Hisense,sentiment_crisis,3.9517,3.2404,2.8727,3.608,0.7353,Negative social/news sentiment requires defensive spend.
Chile,Hisense,sponsor_policy_change,3.9517,3.5565,3.251,3.862,0.611,Policy restriction reduces activation quality.
Chile,Hisense,positive_viral_moment,3.9517,4.5839,4.2525,4.9153,0.6628,Positive viral attention can lift upside but increases volatility.
Ivory Coast,Budweiser,key_player_injury,3.9511,3.398,3.0769,3.719,0.6421,Player availability shock lowers expected activation.
Ivory Coast,Budweiser,sentiment_crisis,3.9511,3.2399,2.8723,3.6075,0.7353,Negative social/news sentiment requires defensive spend.
Ivory Coast,Budweiser,sponsor_policy_change,3.9511,3.556,3.2505,3.8615,0.611,Policy restriction reduces activation quality.
Ivory Coast,Budweiser,positive_viral_moment,3.9511,4.5833,4.2519,4.9147,0.6628,Positive viral attention can lift upside but increases volatility.
Sweden,Budweiser,key_player_injury,3.9495,3.3965,3.0755,3.7176,0.6421,Player availability shock lowers expected activation.
Sweden,Budweiser,sentiment_crisis,3.9495,3.2385,2.8709,3.6062,0.7353,Negative social/news sentiment requires defensive spend.
Sweden,Budweiser,sponsor_policy_change,3.9495,3.5545,3.249,3.86,0.611,Policy restriction reduces activation quality.
Sweden,Budweiser,positive_viral_moment,3.9495,4.5814,4.25,4.9128,0.6628,Positive viral attention can lift upside but increases volatility.
Australia,Hyundai,key_player_injury,3.9444,3.3921,3.0711,3.7132,0.6421,Player availability shock lowers expected activation.
Australia,Hyundai,sentiment_crisis,3.9444,3.2344,2.8667,3.602,0.7353,Negative social/news sentiment requires defensive spend.
Australia,Hyundai,sponsor_policy_change,3.9444,3.5499,3.2444,3.8554,0.611,Policy restriction reduces activation quality.
Australia,Hyundai,positive_viral_moment,3.9444,4.5754,4.2441,4.9068,0.6628,Positive viral attention can lift upside but increases volatility.
German DR,Adidas,key_player_injury,3.9383,3.387,3.0659,3.708,0.6421,Player availability shock lowers expected activation.
German DR,Adidas,sentiment_crisis,3.9383,3.2294,2.8618,3.5971,0.7353,Negative social/news sentiment requires defensive spend.
German DR,Adidas,sponsor_policy_change,3.9383,3.5445,3.239,3.85,0.611,Policy restriction reduces activation quality.
German DR,Adidas,positive_viral_moment,3.9383,4.5685,4.2371,4.8999,0.6628,Positive viral attention can lift upside but increases volatility.
Mexico,Hyundai,key_player_injury,3.9347,3.3839,3.0628,3.7049,0.6421,Player availability shock lowers expected activation.
Mexico,Hyundai,sentiment_crisis,3.9347,3.2265,2.8588,3.5941,0.7353,Negative social/news sentiment requires defensive spend.
Mexico,Hyundai,sponsor_policy_change,3.9347,3.5412,3.2357,3.8467,0.611,Policy restriction reduces activation quality.
Mexico,Hyundai,positive_viral_moment,3.9347,4.5643,4.2329,4.8957,0.6628,Positive viral attention can lift upside but increases volatility.
Denmark,Coca-Cola,key_player_injury,3.9327,3.3822,3.0611,3.7032,0.6421,Player availability shock lowers expected activation.
Denmark,Coca-Cola,sentiment_crisis,3.9327,3.2248,2.8572,3.5925,0.7353,Negative social/news sentiment requires defensive spend.
Denmark,Coca-Cola,sponsor_policy_change,3.9327,3.5395,3.234,3.845,0.611,Policy restriction reduces activation quality.
Denmark,Coca-Cola,positive_viral_moment,3.9327,4.562,4.2306,4.8934,0.6628,Positive viral attention can lift upside but increases volatility.
Nigeria,Coca-Cola,key_player_injury,3.924,3.3746,3.0536,3.6956,0.6421,Player availability shock lowers expected activation.
Nigeria,Coca-Cola,sentiment_crisis,3.924,3.2176,2.85,3.5853,0.7353,Negative social/news sentiment requires defensive spend.
Nigeria,Coca-Cola,sponsor_policy_change,3.924,3.5316,3.2261,3.8371,0.611,Policy restriction reduces activation quality.
Nigeria,Coca-Cola,positive_viral_moment,3.924,4.5518,4.2204,4.8832,0.6628,Positive viral attention can lift upside but increases volatility.
Iceland,Adidas,key_player_injury,3.9217,3.3726,3.0516,3.6937,0.6421,Player availability shock lowers expected activation.
Iceland,Adidas,sentiment_crisis,3.9217,3.2158,2.8481,3.5834,0.7353,Negative social/news sentiment requires defensive spend.
Iceland,Adidas,sponsor_policy_change,3.9217,3.5295,3.224,3.835,0.611,Policy restriction reduces activation quality.
Iceland,Adidas,positive_viral_moment,3.9217,4.5491,4.2177,4.8805,0.6628,Positive viral attention can lift upside but increases volatility.
Switzerland,Adidas,key_player_injury,3.909,3.3618,3.0407,3.6828,0.6421,Player availability shock lowers expected activation.
Switzerland,Adidas,sentiment_crisis,3.909,3.2054,2.8378,3.573,0.7353,Negative social/news sentiment requires defensive spend.
Switzerland,Adidas,sponsor_policy_change,3.909,3.5181,3.2126,3.8236,0.611,Policy restriction reduces activation quality.
Switzerland,Adidas,positive_viral_moment,3.909,4.5345,4.2031,4.8659,0.6628,Positive viral attention can lift upside but increases volatility.
Tunisia,Hyundai,key_player_injury,3.9052,3.3585,3.0375,3.6795,0.6421,Player availability shock lowers expected activation.
Tunisia,Hyundai,sentiment_crisis,3.9052,3.2023,2.8346,3.5699,0.7353,Negative social/news sentiment requires defensive spend.
Tunisia,Hyundai,sponsor_policy_change,3.9052,3.5147,3.2092,3.8202,0.611,Policy restriction reduces activation quality.
Tunisia,Hyundai,positive_viral_moment,3.9052,4.5301,4.1987,4.8615,0.6628,Positive viral attention can lift upside but increases volatility.
Yugoslavia,Qatar Airways,key_player_injury,3.9051,3.3584,3.0374,3.6794,0.6421,Player availability shock lowers expected activation.
Yugoslavia,Qatar Airways,sentiment_crisis,3.9051,3.2022,2.8346,3.5698,0.7353,Negative social/news sentiment requires defensive spend.
