team,sponsor,Exposure,Attention,Engagement,Conversion,ROI,exposure_to_attention,attention_to_engagement,engagement_to_conversion,conversion_to_roi,behavior_decay_rate,recommended_action
Brazil,Adidas,0.4959,0.4611,0.7917,1.0,0.7399,0.9298,1.717,1.2631,0.7399,-0.492,tighten_sponsor_offer_and_landing_path
Indonesia,Coca-Cola,0.2881,0.0136,0.148,0.3959,0.7003,0.0472,3.0,2.675,1.7689,-1.0,scale_high_quality_funnel
Argentina,Hyundai,0.5281,0.4037,0.7296,0.9932,0.6374,0.7644,1.8073,1.3613,0.6418,-0.207,tighten_sponsor_offer_and_landing_path
China,Adidas,0.634,0.3607,0.4798,0.7172,0.6277,0.5689,1.3302,1.4948,0.8752,0.0099,tighten_sponsor_offer_and_landing_path
Ukraine,Qatar Airways,0.6343,0.4098,0.5794,0.7722,0.6207,0.6461,1.4139,1.3328,0.8038,0.0214,tighten_sponsor_offer_and_landing_path
France,Qatar Airways,0.545,0.4117,0.6201,0.909,0.6147,0.7554,1.5062,1.4659,0.6762,-0.1279,tighten_sponsor_offer_and_landing_path
Hungary,Adidas,0.3981,0.3431,0.6079,0.8006,0.6131,0.8618,1.7718,1.317,0.7658,-0.5401,tighten_sponsor_offer_and_landing_path
New Zealand,McDonald's,0.5916,0.3427,0.1404,0.0982,0.6083,0.5793,0.4097,0.6994,3.0,-0.0282,improve_creative_and_social_activation
Japan,Adidas,0.6656,0.4049,0.6191,0.785,0.5882,0.6083,1.529,1.268,0.7493,0.1163,tighten_sponsor_offer_and_landing_path
Germany,Coca-Cola,0.5098,0.372,0.6045,0.8965,0.5873,0.7297,1.625,1.483,0.6551,-0.152,tighten_sponsor_offer_and_landing_path
Russia,Hyundai,0.4925,0.4148,0.6505,0.9309,0.5858,0.8422,1.5682,1.4311,0.6293,-0.1894,tighten_sponsor_offer_and_landing_path
Italy,Visa,0.448,0.3366,0.6104,0.9956,0.584,0.7513,1.8134,1.6311,0.5866,-0.3036,tighten_sponsor_offer_and_landing_path
Costa Rica,Visa,0.6761,0.4323,0.6138,0.6993,0.5794,0.6394,1.4198,1.1393,0.8285,0.143,tighten_sponsor_offer_and_landing_path
Denmark,Adidas,0.6358,0.4453,0.7621,0.9781,0.5788,0.7004,1.7114,1.2834,0.5918,0.0897,tighten_sponsor_offer_and_landing_path
Turkey,Hyundai,0.5765,0.3311,0.5605,0.867,0.576,0.5743,1.6928,1.5468,0.6644,0.0009,tighten_sponsor_offer_and_landing_path
Saudi Arabia,Qatar Airways,0.6623,0.4459,0.6277,0.7028,0.5742,0.6733,1.4077,1.1196,0.817,0.133,tighten_sponsor_offer_and_landing_path
Netherlands,Hisense,0.5698,0.4725,0.7306,0.9044,0.5727,0.8292,1.5462,1.2379,0.6332,-0.0051,tighten_sponsor_offer_and_landing_path
Spain,Budweiser,0.5265,0.4515,0.6859,0.8021,0.5656,0.8575,1.5192,1.1694,0.7051,-0.0743,tighten_sponsor_offer_and_landing_path
Croatia,Hisense,0.6788,0.3592,0.547,0.7217,0.5623,0.5292,1.5228,1.3194,0.7791,0.1716,tighten_sponsor_offer_and_landing_path
Belgium,Visa,0.5436,0.3346,0.5392,0.7632,0.552,0.6155,1.6115,1.4154,0.7233,-0.0155,tighten_sponsor_offer_and_landing_path
Cameroon,Hyundai,0.6075,0.3701,0.6054,0.7635,0.551,0.6092,1.6358,1.2611,0.7217,0.093,tighten_sponsor_offer_and_landing_path
Switzerland,Visa,0.516,0.4115,0.6939,0.8414,0.5491,0.7975,1.6863,1.2126,0.6526,-0.0641,tighten_sponsor_offer_and_landing_path
United Arab Emirates,Adidas,0.6046,0.3006,0.4581,0.7546,0.5489,0.4972,1.524,1.6472,0.7274,0.0921,tighten_sponsor_offer_and_landing_path
Sweden,Budweiser,0.4593,0.3694,0.6373,0.8084,0.5482,0.8043,1.7252,1.2685,0.6781,-0.1936,tighten_sponsor_offer_and_landing_path
South Africa,Hyundai,0.6551,0.411,0.5858,0.7185,0.5386,0.6274,1.4253,1.2265,0.7496,0.1778,tighten_sponsor_offer_and_landing_path
Senegal,Budweiser,0.7013,0.4774,0.6876,0.8178,0.5366,0.6807,1.4403,1.1894,0.6562,0.2348,tighten_sponsor_offer_and_landing_path
Kuwait,Hisense,0.4711,0.2349,0.3141,0.3787,0.5354,0.4986,1.3372,1.2057,1.4138,-0.1365,scale_high_quality_funnel
Iceland,Visa,0.7192,0.3843,0.4574,0.5799,0.5322,0.5343,1.1902,1.2678,0.9177,0.26,scale_high_quality_funnel
South Korea,Hisense,0.6378,0.4106,0.5343,0.6964,0.5314,0.6438,1.3013,1.3034,0.7631,0.1668,tighten_sponsor_offer_and_landing_path
Nigeria,Coca-Cola,0.6364,0.4153,0.5341,0.6896,0.5306,0.6526,1.2861,1.2911,0.7694,0.1662,tighten_sponsor_offer_and_landing_path
El Salvador,Budweiser,0.4755,0.2368,0.3802,0.6452,0.5295,0.498,1.6056,1.697,0.8207,-0.1136,tighten_sponsor_offer_and_landing_path
