node,node_type,gcn_score,graphsage_score,combined_graph_score,embedding_degree,embedding_pagerank,embedding_betweenness,embedding_closeness
sponsor:Hyundai,sponsor,0.297283,0.591777,0.459255,0.667633,0.668555,0.025279,0.934261
sponsor:Coca-Cola,sponsor,0.283463,0.545728,0.427708,0.609817,0.607142,0.021853,0.917156
sponsor:Adidas,sponsor,0.285922,0.538941,0.425082,0.595246,0.598215,0.036852,0.917306
sponsor:Visa,sponsor,0.28456,0.535037,0.422322,0.588914,0.594271,0.035558,0.920516
match_370,match,0.560123,0.299262,0.41665,0.29033,0.291858,0.019534,0.808643
match_390,match,0.556257,0.296919,0.413621,0.287484,0.28898,0.018055,0.808728
match_923,match,0.552988,0.295706,0.411483,0.285547,0.286985,0.019182,0.809291
match_950,match,0.551991,0.295342,0.410834,0.283616,0.28492,0.02576,0.809799
match_853,match,0.5498,0.29383,0.409017,0.283793,0.285228,0.015772,0.808979
match_10,match,0.549579,0.293854,0.40893,0.281713,0.283009,0.025288,0.809771
match_201,match,0.548793,0.294059,0.408689,0.281916,0.283283,0.025679,0.809495
match_596,match,0.54874,0.293564,0.408393,0.282815,0.284171,0.018618,0.809222
match_379,match,0.548521,0.293463,0.408239,0.281843,0.283218,0.022306,0.809456
match_424,match,0.548002,0.293277,0.407903,0.280816,0.282113,0.025904,0.809653
match_274,match,0.547559,0.293064,0.407586,0.281614,0.283001,0.020962,0.809269
match_693,match,0.545384,0.291422,0.405705,0.278863,0.280144,0.023359,0.809674
match_759,match,0.545003,0.291221,0.405423,0.278561,0.279843,0.0235,0.809665
match_922,match,0.543933,0.290767,0.404692,0.277865,0.279144,0.023904,0.80964
match_68,match,0.534442,0.297287,0.404007,0.27338,0.275456,0.055435,0.855342
match_697,match,0.534685,0.296972,0.403943,0.273211,0.275279,0.054242,0.85538
match_242,match,0.534687,0.294538,0.402605,0.277188,0.277219,0.025208,0.853769
team:Italy,team,0.455441,0.358194,0.401955,0.237773,0.241389,0.564862,0.908515
match_253,match,0.534391,0.293074,0.401667,0.276677,0.276941,0.018513,0.852966
match_289,match,0.532883,0.293735,0.401352,0.276001,0.276069,0.025721,0.8536
match_413,match,0.533071,0.293451,0.40128,0.275267,0.275408,0.027135,0.853722
match_671,match,0.532348,0.293667,0.401074,0.272506,0.273955,0.038132,0.855057
match_245,match,0.531462,0.294197,0.400967,0.270695,0.27266,0.048594,0.855577
match_585,match,0.532769,0.292827,0.400801,0.27515,0.275281,0.023785,0.853735
match_115,match,0.532766,0.292287,0.400502,0.275867,0.276141,0.017051,0.853408
match_282,match,0.531787,0.292317,0.400078,0.27567,0.275879,0.018413,0.853166
match_554,match,0.531654,0.292194,0.399951,0.27501,0.27528,0.020489,0.853323
match_235,match,0.532026,0.291647,0.399818,0.274655,0.276351,0.016124,0.85348
match_485,match,0.531872,0.291554,0.399697,0.274467,0.274607,0.018985,0.853715
match_287,match,0.530822,0.291013,0.398927,0.270292,0.272232,0.030602,0.85557
match_711,match,0.530674,0.291081,0.398898,0.273762,0.273889,0.019332,0.853682
match_184,match,0.528429,0.292478,0.398656,0.269178,0.271213,0.044961,0.855231
match_717,match,0.530469,0.290605,0.398544,0.270294,0.272358,0.028027,0.855252
match_715,match,0.529526,0.290905,0.398284,0.2738,0.273823,0.018244,0.85367
match_138,match,0.528333,0.291843,0.398264,0.269647,0.271092,0.039972,0.855043
match_299,match,0.528654,0.291332,0.398127,0.269095,0.270505,0.039265,0.855244
