node,node_type,gcn_score,graphsage_score,combined_graph_score,embedding_degree,embedding_pagerank,embedding_betweenness,embedding_closeness,sponsor,avg_roi,avg_brand_fit,avg_attention,attention_roi_contribution
sponsor:Coca-Cola,sponsor,0.283463,0.545728,0.427708,0.609817,0.607142,0.021853,0.917156,Coca-Cola,4.0472,0.7839021276595745,53.57944680851064,0.826498
sponsor:Hyundai,sponsor,0.297283,0.591777,0.459255,0.667633,0.668555,0.025279,0.934261,Hyundai,3.9883619402985078,0.7278805970149254,52.783097014925374,0.7604
sponsor:Adidas,sponsor,0.285922,0.538941,0.425082,0.595246,0.598215,0.036852,0.917306,Adidas,3.9825641025641025,0.754991452991453,51.67589743589743,0.69422
sponsor:Visa,sponsor,0.28456,0.535037,0.422322,0.588914,0.594271,0.035558,0.920516,Visa,3.872363247863248,0.7082606837606837,51.99730769230769,0.572543
sponsor:Hisense,sponsor,0.254748,0.441387,0.357399,0.470079,0.475719,0.018828,0.889367,Hisense,3.8767880434782604,0.7302934782608695,53.34364130434783,0.504411
sponsor:Budweiser,sponsor,0.252457,0.43992,0.355561,0.468215,0.472962,0.020089,0.888974,Budweiser,3.9148453038674034,0.7024530386740332,52.31657458563536,0.450894
sponsor:Qatar Airways,sponsor,0.246705,0.404302,0.333384,0.419314,0.428438,0.02391,0.876292,Qatar Airways,3.88601226993865,0.7528159509202454,50.83601226993866,0.422982
sponsor:McDonald's,sponsor,0.250609,0.436888,0.353062,0.443457,0.458675,0.098117,0.887696,McDonald's,3.616978260869565,0.7292391304347826,52.95429347826087,0.351962
sponsor:Vivo,sponsor,0.231743,0.375313,0.310706,0.365469,0.381645,0.084963,0.867421,Vivo,3.613167785234899,0.7368791946308725,53.56543624161074,0.28699
sponsor:Mengniu,sponsor,0.202351,0.279401,0.244728,0.242479,0.260296,0.070753,0.836575,Mengniu,3.5714791666666668,0.7184895833333335,57.49635416666666,0.203627
