node,node_type,hgt_influence_proxy
sponsor:Hyundai,sponsor,1261.417
sponsor:Adidas,sponsor,1079.883
sponsor:Coca-Cola,sponsor,1046.33
sponsor:Visa,sponsor,1030.583
sponsor:Hisense,sponsor,787.907
sponsor:Budweiser,sponsor,775.724
sponsor:McDonald's,sponsor,725.071
sponsor:Qatar Airways,sponsor,647.604
sponsor:Vivo,sponsor,580.617
sponsor:Mengniu,sponsor,367.196
team:Germany,team,119.6404
team:Brazil,team,118.0454
team:Argentina,team,97.2412
team:Italy,team,66.4035
team:Spain,team,64.7668
team:France,team,63.2984
team:Mexico,team,62.932
team:England,team,61.2409
team:Belgium,team,56.1312
team:Netherlands,team,51.0032
team:Uruguay,team,50.6396
team:Sweden,team,47.2411
team:Russia,team,45.5803
team:Switzerland,team,40.2649
team:Poland,team,33.9296
team:Croatia,team,32.4855
team:Hungary,team,30.4816
team:South Korea,team,28.3637
team:Chile,team,28.1488
team:United States,team,24.7552
team:Portugal,team,24.5447
team:Czechoslovakia,team,24.31
team:Denmark,team,23.974
team:Paraguay,team,23.3733
team:Japan,team,22.1297
team:Cameroon,team,20.7503
team:Costa Rica,team,20.2841
team:Scotland,team,20.233
team:Austria,team,19.8376
team:Bulgaria,team,19.4907
team:Yugoslavia,team,17.6446
team:Saudi Arabia,team,16.7151
team:Australia,team,16.191
team:Tunisia,team,16.0195
team:Iran,team,15.5857
team:Peru,team,15.3881
team:Nigeria,team,15.0247
team:Morocco,team,15.0072
team:Serbia,team,12.946
team:Colombia,team,12.3072
team:Romania,team,12.2501
Uruguay,player_or_entity,11.3872
Belgium,player_or_entity,10.7047
Spain team_attack_unit,player_or_entity,10.417
team:Algeria,team,10.3706
Spain,player_or_entity,10.3466
Denmark,player_or_entity,9.8208
Croatia,player_or_entity,9.7999
team:Senegal,team,9.79
Argentina,player_or_entity,9.6613
France,player_or_entity,9.6387
team:Ghana,team,9.3745
Brazil,player_or_entity,9.0084
Germany,player_or_entity,8.9782
team:Ecuador,team,8.9337
Switzerland,player_or_entity,8.9018
Scotland,player_or_entity,8.8374
Hungary,player_or_entity,8.8358
Uruguay team_attack_unit,player_or_entity,8.684
England,player_or_entity,8.5371
team:Northern Ireland,team,8.4974
Argentina team_defense_unit,player_or_entity,8.479
Turkey,player_or_entity,8.3771
Costa Rica,player_or_entity,8.3347
Switzerland team_attack_unit,player_or_entity,8.226
Chile,player_or_entity,8.1455
team:Republic of Ireland,team,8.1163
Brazil team_midfield_unit,player_or_entity,8.108
Denmark team_defense_unit,player_or_entity,7.995
Croatia team_midfield_unit,player_or_entity,7.929
Serbia,player_or_entity,7.7083
Mexico,player_or_entity,7.6962
Austria,player_or_entity,7.6048
Austria team_attack_unit,player_or_entity,7.539
Germany team_midfield_unit,player_or_entity,7.469
team:Greece,team,7.466
Hungary team_defense_unit,player_or_entity,7.461
Peru,player_or_entity,7.4586
France team_midfield_unit,player_or_entity,7.457
Poland,player_or_entity,7.3838
Russia,player_or_entity,7.3535
Paraguay,player_or_entity,7.3343
Uruguay team_defense_unit,player_or_entity,7.331
team:Turkey,team,7.2415
Ecuador,player_or_entity,7.2001
Belgium team_midfield_unit,player_or_entity,7.159
Paraguay team_attack_unit,player_or_entity,7.153
Sweden,player_or_entity,7.0021
Netherlands,player_or_entity,6.9691
team:South Africa,team,6.7274
Belgium team_attack_unit,player_or_entity,6.727
France team_defense_unit,player_or_entity,6.641
Czechoslovakia,player_or_entity,6.5604
team:Ivory Coast,team,6.5296
South Korea,player_or_entity,6.4702
Morocco,player_or_entity,6.418
Scotland team_attack_unit,player_or_entity,6.412
England team_midfield_unit,player_or_entity,6.381
Italy,player_or_entity,6.38
Morocco team_defense_unit,player_or_entity,6.358
United States,player_or_entity,6.3052
team:Honduras,team,6.2727
Algeria,player_or_entity,6.2673
Coca-Cola,player_or_entity,6.241
Portugal,player_or_entity,6.2145
German DR,player_or_entity,6.132
Mexico team_midfield_unit,player_or_entity,6.094
Costa Rica team_attack_unit,player_or_entity,6.036
Adidas,player_or_entity,5.99
Brazil team_attack_unit,player_or_entity,5.968
Chile team_attack_unit,player_or_entity,5.948
South Africa,player_or_entity,5.9059
Tunisia,player_or_entity,5.9015
Italy team_defense_unit,player_or_entity,5.844
Republic of Ireland,player_or_entity,5.7552
team:Wales,team,5.745
Costa Rica team_defense_unit,player_or_entity,5.717
match_896,match,5.6733
Iran,player_or_entity,5.6573
Peru team_midfield_unit,player_or_entity,5.654
match_837,match,5.6386
Cameroon,player_or_entity,5.61
match_398,match,5.5897
match_789,match,5.5891
match_869,match,5.5858
Saudi Arabia,player_or_entity,5.5831
match_833,match,5.5534
Serbia team_attack_unit,player_or_entity,5.55
match_726,match,5.5407
match_501,match,5.5402
Hisense,player_or_entity,5.54
England team_attack_unit,player_or_entity,5.528
match_964,match,5.522
team:Egypt,team,5.5048
match_835,match,5.4956
Qatar Airways,player_or_entity,5.484
Japan,player_or_entity,5.4835
match_887,match,5.4764
Ecuador team_midfield_unit,player_or_entity,5.457
match_665,match,5.4456
match_312,match,5.4384
Hyundai,player_or_entity,5.429
match_922,match,5.423
match_846,match,5.4208
match_544,match,5.4186
match_859,match,5.4153
match_582,match,5.4104
Vivo,player_or_entity,5.404
match_645,match,5.395
match_865,match,5.3944
match_853,match,5.3939
match_909,match,5.3889
Yugoslavia,player_or_entity,5.3845
match_770,match,5.3757
match_773,match,5.3741
Serbia team_defense_unit,player_or_entity,5.37
match_760,match,5.3691
Northern Ireland,player_or_entity,5.3625
McDonald's,player_or_entity,5.352
match_303,match,5.3476
match_693,match,5.3466
match_905,match,5.3454
match_950,match,5.3438
match_545,match,5.3416
match_863,match,5.3361
Turkey team_attack_unit,player_or_entity,5.336
match_954,match,5.3339
match_961,match,5.3273
match_701,match,5.3229
match_836,match,5.3224
match_328,match,5.3224
Budweiser,player_or_entity,5.32
match_694,match,5.3196
match_767,match,5.3174
match_781,match,5.3163
Denmark team_midfield_unit,player_or_entity,5.311
match_715,match,5.2976
match_633,match,5.2932
match_759,match,5.291
match_571,match,5.2844
match_894,match,5.2822
match_784,match,5.2756
match_496,match,5.2674
match_575,match,5.2674
match_847,match,5.2657
Mengniu,player_or_entity,5.265
match_279,match,5.258
match_322,match,5.2487
match_831,match,5.2432
match_475,match,5.241
match_707,match,5.2404
match_280,match,5.236
match_826,match,5.236
match_806,match,5.2332
match_492,match,5.23
match_561,match,5.2288
match_827,match,5.2278
match_659,match,5.2272
match_842,match,5.2261
match_644,match,5.2228
match_366,match,5.2206
match_889,match,5.2195
match_89,match,5.2184
match_357,match,5.2173
Visa,player_or_entity,5.217
match_761,match,5.2151
match_647,match,5.214
match_799,match,5.2134
match_418,match,5.2112
match_711,match,5.2096
match_601,match,5.2052
match_596,match,5.2046
match_569,match,5.1975
match_890,match,5.1953
match_351,match,5.1926
match_263,match,5.192
match_678,match,5.1909
match_321,match,5.1898
match_261,match,5.1892
Hungary team_attack_unit,player_or_entity,5.188
match_383,match,5.1876
match_335,match,5.1871
match_412,match,5.1865
match_625,match,5.1827
match_409,match,5.1816
team:North Korea,team,5.1805
match_903,match,5.1783
match_558,match,5.1783
match_703,match,5.1777
match_860,match,5.1739
match_800,match,5.1722
match_914,match,5.1695
match_735,match,5.1651
match_930,match,5.164
match_430,match,5.1639
match_386,match,5.1612
match_573,match,5.159
match_705,match,5.1574
match_527,match,5.1497
match_308,match,5.1486
match_499,match,5.1475
match_589,match,5.1458
match_910,match,5.1436
match_407,match,5.1414
match_272,match,5.1392
match_387,match,5.1376
Algeria team_attack_unit,player_or_entity,5.136
match_829,match,5.1359
match_798,match,5.1353
match_295,match,5.1315
match_464,match,5.1271
match_899,match,5.126
match_788,match,5.1222
match_207,match,5.1216
match_253,match,5.1161
match_638,match,5.1145
match_92,match,5.1144
match_531,match,5.1134
Japan team_attack_unit,player_or_entity,5.111
match_742,match,5.1095
match_821,match,5.1095
Switzerland team_defense_unit,player_or_entity,5.107
match_122,match,5.1067
match_301,match,5.1057
match_730,match,5.1057
match_476,match,5.1029
match_630,match,5.0996
match_565,match,5.0974
match_604,match,5.0974
match_656,match,5.0947
