node,degree,weighted_degree
sponsor:Hyundai,536.0,1181.544
sponsor:Adidas,468.0,1044.713
sponsor:Coca-Cola,470.0,1038.771
sponsor:Visa,468.0,994.303
sponsor:Hisense,368.0,852.667
sponsor:Budweiser,362.0,777.989
sponsor:McDonald's,368.0,722.041
sponsor:Qatar Airways,326.0,644.499
sponsor:Vivo,298.0,577.275
sponsor:Mengniu,192.0,366.937
team:Germany,224.0,154.366
team:Brazil,228.0,152.861
team:Argentina,176.0,119.294
team:Italy,166.0,90.93
team:Spain,134.0,84.907
team:France,146.0,79.676
team:Netherlands,110.0,78.605
team:Mexico,120.0,76.645
team:England,148.0,75.386
team:Belgium,102.0,69.228
team:Uruguay,118.0,62.124
team:Sweden,102.0,61.952
team:Russia,90.0,55.1
team:Switzerland,82.0,52.159
team:Croatia,60.0,46.866
team:Poland,76.0,45.246
team:Chile,66.0,43.507
team:Hungary,64.0,40.136
team:South Korea,76.0,36.851
team:Czechoslovakia,60.0,32.719
team:Bulgaria,52.0,32.609
team:United States,74.0,31.861
team:Denmark,46.0,31.434
team:Portugal,70.0,30.199
team:Paraguay,54.0,29.046
team:Cameroon,52.0,28.926
team:Japan,50.0,28.851
team:Scotland,46.0,26.826
team:Costa Rica,42.0,26.142
team:Austria,58.0,25.639
team:Peru,36.0,24.389
team:Yugoslavia,66.0,23.177
team:Saudi Arabia,38.0,21.485
team:Nigeria,42.0,21.016
team:Australia,40.0,20.879
Uruguay,4.0,20.704
team:Iran,36.0,20.38
team:Tunisia,36.0,20.02
Belgium,4.0,19.463
Spain,4.0,18.812
team:Morocco,46.0,18.762
Denmark,4.0,17.856
Croatia,4.0,17.818
Argentina,4.0,17.566
France,4.0,17.525
team:Algeria,26.0,16.608
Brazil,4.0,16.379
team:Serbia,32.0,16.334
Germany,4.0,16.324
Switzerland,4.0,16.185
team:Colombia,44.0,16.144
team:Romania,42.0,16.113
Scotland,4.0,16.068
Hungary,4.0,16.065
England,4.0,15.522
Turkey,4.0,15.231
Costa Rica,4.0,15.154
Chile,4.0,14.81
Serbia,4.0,14.015
Mexico,4.0,13.993
Austria,4.0,13.827
team:Senegal,24.0,13.705
Peru,4.0,13.561
Poland,4.0,13.425
Russia,4.0,13.37
Paraguay,4.0,13.335
Ecuador,4.0,13.091
Sweden,4.0,12.731
Netherlands,4.0,12.671
team:Ghana,30.0,12.289
Czechoslovakia,4.0,11.928
South Korea,4.0,11.764
Morocco,4.0,11.669
Italy,4.0,11.6
United States,4.0,11.464
Algeria,4.0,11.395
Portugal,4.0,11.299
German DR,4.0,11.149
team:Northern Ireland,26.0,10.981
team:Ecuador,26.0,10.939
South Africa,4.0,10.738
Tunisia,4.0,10.73
team:Republic of Ireland,26.0,10.635
team:Greece,20.0,10.571
Republic of Ireland,4.0,10.464
Spain team_attack_unit,1.0,10.417
Iran,4.0,10.286
Cameroon,4.0,10.2
Saudi Arabia,4.0,10.151
match_501,4.0,10.075
match_928,4.0,10.017
Japan,4.0,9.97
match_833,4.0,9.885
match_846,4.0,9.858
match_963,4.0,9.853
match_582,4.0,9.839
match_645,4.0,9.819
match_865,4.0,9.81
match_909,4.0,9.806
match_943,4.0,9.794
Yugoslavia,4.0,9.79
match_835,4.0,9.786
match_770,4.0,9.776
match_760,4.0,9.76
match_896,4.0,9.755
Northern Ireland,4.0,9.75
match_888,4.0,9.72
match_958,4.0,9.717
match_545,4.0,9.714
match_837,4.0,9.7
match_694,4.0,9.688
match_701,4.0,9.686
match_590,4.0,9.683
match_836,4.0,9.677
match_328,4.0,9.675
match_312,4.0,9.658
match_898,4.0,9.65
match_715,4.0,9.638
match_789,4.0,9.598
match_869,4.0,9.598
match_784,4.0,9.592
match_398,4.0,9.591
match_575,4.0,9.575
match_762,4.0,9.574
match_949,4.0,9.567
match_773,4.0,9.559
match_957,4.0,9.546
match_707,4.0,9.546
match_726,4.0,9.542
match_824,4.0,9.541
match_844,4.0,9.533
match_719,4.0,9.532
match_826,4.0,9.52
match_280,4.0,9.52
match_659,4.0,9.516
match_492,4.0,9.511
match_964,4.0,9.5
match_807,4.0,9.493
match_644,4.0,9.492
match_685,4.0,9.491
match_910,4.0,9.49
match_576,4.0,9.489
match_357,4.0,9.484
match_89,4.0,9.482
match_954,4.0,9.478
match_863,4.0,9.472
match_418,4.0,9.469
match_263,4.0,9.45
match_678,4.0,9.448
match_569,4.0,9.446
match_765,4.0,9.444
match_774,4.0,9.44
match_383,4.0,9.432
match_579,4.0,9.432
match_753,4.0,9.431
match_903,4.0,9.425
match_558,4.0,9.423
match_800,4.0,9.402
match_633,4.0,9.4
match_430,4.0,9.395
match_887,4.0,9.395
match_705,4.0,9.389
match_894,4.0,9.374
match_918,4.0,9.369
match_665,4.0,9.365
match_772,4.0,9.362
match_847,4.0,9.348
match_510,4.0,9.346
match_700,4.0,9.334
match_683,4.0,9.329
match_322,4.0,9.325
match_922,4.0,9.324
match_464,4.0,9.322
match_544,4.0,9.318
match_559,4.0,9.315
match_207,4.0,9.314
match_738,4.0,9.313
match_859,4.0,9.312
match_808,4.0,9.304
match_806,4.0,9.303
match_92,4.0,9.301
match_638,4.0,9.297
match_543,4.0,9.293
match_531,4.0,9.291
match_871,4.0,9.282
match_122,4.0,9.281
match_301,4.0,9.281
match_730,4.0,9.279
match_476,4.0,9.274
match_630,4.0,9.274
match_889,4.0,9.266
match_293,4.0,9.263
match_761,4.0,9.26
match_853,4.0,9.251
match_832,4.0,9.234
match_776,4.0,9.221
match_595,4.0,9.217
match_890,4.0,9.216
match_505,4.0,9.208
match_303,4.0,9.201
match_171,4.0,9.201
match_625,4.0,9.193
match_950,4.0,9.188
match_860,4.0,9.187
match_905,4.0,9.185
match_703,4.0,9.184
match_693,4.0,9.181
match_734,4.0,9.181
match_460,4.0,9.177
match_914,4.0,9.175
match_735,4.0,9.173
match_930,4.0,9.169
match_165,4.0,9.164
match_219,4.0,9.161
match_573,4.0,9.156
match_667,4.0,9.153
match_834,4.0,9.151
match_570,4.0,9.15
match_230,4.0,9.148
match_961,4.0,9.14
match_781,4.0,9.134
match_270,4.0,9.131
match_474,4.0,9.13
match_192,4.0,9.129
match_589,4.0,9.126
match_829,4.0,9.126
match_81,4.0,9.125
match_767,4.0,9.122
match_236,4.0,9.119
match_725,4.0,9.115
match_462,4.0,9.112
match_242,4.0,9.112
match_318,4.0,9.102
match_926,4.0,9.1
match_251,4.0,9.096
match_525,4.0,9.096
match_798,4.0,9.093
match_788,4.0,9.093
match_465,4.0,9.089
match_899,4.0,9.082
match_759,4.0,9.08
match_795,4.0,9.08
match_680,4.0,9.078
match_821,4.0,9.076
match_452,4.0,9.073
match_571,4.0,9.07
match_347,4.0,9.068
team:Ivory Coast,18.0,9.064
match_604,4.0,9.05
match_194,4.0,9.049
match_423,4.0,9.048
match_565,4.0,9.042
match_517,4.0,9.039
match_279,4.0,9.036
match_656,4.0,9.033
Senegal,4.0,9.023
match_900,4.0,9.017
match_400,4.0,9.013
match_434,4.0,9.013
match_927,4.0,9.013
match_556,4.0,9.009
match_259,4.0,9.001
match_197,4.0,8.999
match_496,4.0,8.999
match_475,4.0,8.997
match_440,4.0,8.994
match_771,4.0,8.993
match_831,4.0,8.993
match_316,4.0,8.984
match_231,4.0,8.982
match_225,4.0,8.981
match_451,4.0,8.977
match_561,4.0,8.975
match_842,4.0,8.974
match_343,4.0,8.97
match_827,4.0,8.967
match_792,4.0,8.966
match_70,4.0,8.966
match_151,4.0,8.964
match_72,4.0,8.963
match_828,4.0,8.958
match_848,4.0,8.957
match_297,4.0,8.954
match_405,4.0,8.95
match_647,4.0,8.946
match_799,4.0,8.945
match_895,4.0,8.944
match_720,4.0,8.941
match_711,4.0,8.938
match_466,4.0,8.936
match_267,4.0,8.932
match_550,4.0,8.932
match_139,4.0,8.931
match_601,4.0,8.928
match_740,4.0,8.926
match_37,4.0,8.919
match_271,4.0,8.918
match_912,4.0,8.915
match_366,4.0,8.914
match_444,4.0,8.912
match_880,4.0,8.908
match_393,4.0,8.9
match_351,4.0,8.899
match_675,4.0,8.899
match_321,4.0,8.894
match_229,4.0,8.89
match_261,4.0,8.889
match_885,4.0,8.888
match_310,4.0,8.888
match_596,4.0,8.885
match_417,4.0,8.885
match_412,4.0,8.884
match_258,4.0,8.883
match_588,4.0,8.883
match_908,4.0,8.882
match_409,4.0,8.881
match_782,4.0,8.881
match_482,4.0,8.875
match_886,4.0,8.873
match_133,4.0,8.871
match_769,4.0,8.87
match_535,4.0,8.868
match_276,4.0,8.867
match_699,4.0,8.866
match_266,4.0,8.862
match_843,4.0,8.86
match_533,4.0,8.86
match_335,4.0,8.855
match_101,4.0,8.844
match_484,4.0,8.843
team:Turkey,20.0,8.839
match_631,4.0,8.835
match_443,4.0,8.833
match_541,4.0,8.832
match_308,4.0,8.831
match_527,4.0,8.825
match_660,4.0,8.824
match_577,4.0,8.824
match_499,4.0,8.821
match_272,4.0,8.818
match_473,4.0,8.816
match_386,4.0,8.814
Norway,4.0,8.814
match_352,4.0,8.812
match_445,4.0,8.811
match_849,4.0,8.806
match_387,4.0,8.805
match_408,4.0,8.804
match_921,4.0,8.804
match_248,4.0,8.803
match_407,4.0,8.802
match_642,4.0,8.802
match_162,4.0,8.798
match_295,4.0,8.796
match_44,4.0,8.796
match_190,4.0,8.795
match_602,4.0,8.794
match_549,4.0,8.788
match_253,4.0,8.776
match_456,4.0,8.774
team:South Africa,18.0,8.774
match_787,4.0,8.77
match_431,4.0,8.767
match_206,4.0,8.766
match_493,4.0,8.765
match_286,4.0,8.758
match_289,4.0,8.757
match_96,4.0,8.754
match_951,4.0,8.752
match_764,4.0,8.75
match_603,4.0,8.748
match_54,4.0,8.745
match_232,4.0,8.743
match_578,4.0,8.739
match_155,4.0,8.737
match_174,4.0,8.732
match_742,4.0,8.73
match_802,4.0,8.729
match_620,4.0,8.725
match_671,4.0,8.722
match_585,4.0,8.722
match_364,4.0,8.721
match_82,4.0,8.719
match_526,4.0,8.716
match_557,4.0,8.715
match_540,4.0,8.712
match_932,4.0,8.711
match_866,4.0,8.708
match_329,4.0,8.707
match_553,4.0,8.705
