match_id,team_a,team_b,stage,result,prediction_set,set_size,covered
95,Switzerland,Austria,tournament,B_win,"A_win,B_win,draw",3,True
561,Argentina,Croatia,group_or_knockout,A_win,"A_win,draw",2,True
482,Brazil,Cameroon,group_or_knockout,A_win,"A_win,draw",2,True
500,Greece,Nigeria,group_or_knockout,B_win,"A_win,B_win,draw",3,True
324,Belgium,El Salvador,tournament,A_win,"A_win,B_win,draw",3,True
94,England,Uruguay,tournament,B_win,"A_win,B_win,draw",3,True
821,Brazil,Chile,group_or_knockout,draw,"A_win,draw",2,True
931,South Korea,Ghana,group_or_knockout,B_win,"A_win,B_win,draw",3,True
764,Spain,Portugal,group_or_knockout,A_win,"A_win,B_win,draw",3,True
390,Mexico,Iraq,group_or_knockout,A_win,"A_win,draw",2,True
398,Russia,Belgium,group_or_knockout,B_win,"A_win,B_win,draw",3,True
565,Brazil,Chile,group_or_knockout,A_win,"A_win,draw",2,True
33,Italy,Austria,tournament,A_win,"A_win,B_win,draw",3,True
387,Argentina,Bulgaria,group_or_knockout,A_win,"A_win,draw",2,True
365,Morocco,Poland,group_or_knockout,draw,"B_win,draw",2,True
668,Czech Republic,Ghana,group_or_knockout,B_win,"B_win,draw",2,True
454,Italy,Uruguay,group_or_knockout,A_win,"A_win,B_win,draw",3,True
441,Italy,Czechoslovakia,group_or_knockout,A_win,"A_win,draw",2,True
641,South Korea,Germany,group_or_knockout,B_win,"B_win,draw",2,True
634,Mexico,United States,group_or_knockout,B_win,"A_win,B_win,draw",3,True
228,Russia,Uruguay,tournament,B_win,"A_win,B_win,draw",3,True
370,Paraguay,Iraq,group_or_knockout,A_win,"A_win,B_win,draw",3,True
643,South Korea,Turkey,group_or_knockout,B_win,"A_win,B_win,draw",3,True
417,Brazil,Sweden,group_or_knockout,A_win,"A_win,draw",2,True
453,Republic of Ireland,Romania,group_or_knockout,draw,"B_win,draw",2,True
82,Hungary,South Korea,tournament,A_win,"A_win,B_win,draw",3,True
805,Australia,Spain,group_or_knockout,B_win,"B_win,draw",2,True
841,France,Australia,group_or_knockout,A_win,"A_win,draw",2,True
371,Scotland,Denmark,group_or_knockout,B_win,"B_win,draw",2,True
312,Hungary,El Salvador,tournament,A_win,"A_win,draw",2,True
451,Brazil,Argentina,group_or_knockout,B_win,"A_win,draw",2,False
53,Hungary,Italy,tournament,B_win,"A_win,B_win,draw",3,True
889,Brazil,Mexico,group_or_knockout,A_win,"A_win,draw",2,True
343,Germany,Austria,tournament,A_win,"A_win,draw",2,True
541,Belgium,Mexico,group_or_knockout,draw,"A_win,B_win,draw",3,True
268,Sweden,Yugoslavia,tournament,A_win,"A_win,B_win,draw",3,True
722,New Zealand,Slovakia,group_or_knockout,draw,"B_win,draw",2,True
107,Hungary,Wales,tournament,draw,"A_win,draw",2,True
123,Hungary,Mexico,tournament,A_win,"A_win,B_win,draw",3,True
397,Mexico,Bulgaria,group_or_knockout,A_win,"A_win,B_win,draw",3,True
966,South Korea,Czech Republic,group_or_knockout,A_win,"A_win,B_win,draw",3,True
534,Scotland,Norway,group_or_knockout,draw,"B_win,draw",2,True
731,Slovenia,United States,group_or_knockout,draw,"B_win,draw",2,True
385,Hungary,France,group_or_knockout,B_win,"A_win,B_win,draw",3,True
106,France,Paraguay,tournament,A_win,"A_win,draw",2,True
267,Netherlands,Brazil,tournament,A_win,"A_win,B_win,draw",3,True
348,Italy,Argentina,tournament,A_win,"A_win,B_win,draw",3,True
191,England,France,tournament,A_win,"A_win,B_win,draw",3,True
842,Argentina,Iceland,group_or_knockout,draw,"A_win,draw",2,True
828,Belgium,United States,group_or_knockout,A_win,"A_win,B_win,draw",3,True
40,France,Belgium,tournament,A_win,"A_win,B_win,draw",3,True
340,France,Czechoslovakia,tournament,draw,"A_win,draw",2,True
189,Bulgaria,Hungary,tournament,B_win,"B_win,draw",2,True
404,England,Paraguay,group_or_knockout,A_win,"A_win,draw",2,True
526,Spain,Nigeria,group_or_knockout,B_win,"A_win,draw",2,False
190,Chile,Russia,tournament,B_win,"A_win,B_win,draw",3,True
813,Bosnia and Herzegovina,Iran,group_or_knockout,A_win,"B_win,draw",2,False
88,Belgium,Italy,tournament,B_win,"B_win,draw",2,True
733,Ghana,Australia,group_or_knockout,draw,"A_win,B_win,draw",3,True
484,Sweden,Russia,group_or_knockout,A_win,"A_win,B_win,draw",3,True
6,Chile,Mexico,tournament,A_win,"A_win,B_win,draw",3,True
598,Cameroon,Saudi Arabia,group_or_knockout,A_win,"A_win,B_win,draw",3,True
700,Spain,France,group_or_knockout,B_win,"A_win,B_win,draw",3,True
929,Cameroon,Serbia,group_or_knockout,draw,"A_win,B_win,draw",3,True
443,Brazil,Scotland,group_or_knockout,A_win,"A_win,draw",2,True
870,Saudi Arabia,Egypt,group_or_knockout,A_win,"A_win,B_win,draw",3,True
386,Russia,Canada,group_or_knockout,A_win,"A_win,draw",2,True
333,Belgium,Hungary,tournament,draw,"B_win,draw",2,True
791,Cameroon,Croatia,group_or_knockout,B_win,"B_win,draw",2,True
360,Italy,Germany,tournament,A_win,"A_win,B_win,draw",3,True
591,Italy,Ecuador,group_or_knockout,A_win,"A_win,draw",2,True
505,Netherlands,Republic of Ireland,group_or_knockout,A_win,"A_win,draw",2,True
938,Saudi Arabia,Mexico,group_or_knockout,B_win,"B_win,draw",2,True
376,Brazil,Algeria,group_or_knockout,A_win,"A_win,draw",2,True
115,Mexico,Wales,tournament,draw,"A_win,B_win,draw",3,True
171,Germany,Switzerland,tournament,A_win,"A_win,draw",2,True
852,Poland,Senegal,group_or_knockout,B_win,"A_win,B_win,draw",3,True
124,Paraguay,Yugoslavia,tournament,draw,"B_win,draw",2,True
302,Peru,Poland,tournament,B_win,"B_win,draw",2,True
616,Senegal,Uruguay,group_or_knockout,draw,"A_win,B_win,draw",3,True
603,Sweden,Nigeria,group_or_knockout,A_win,"A_win,B_win,draw",3,True
712,England,United States,group_or_knockout,draw,"A_win,draw",2,True
787,Belgium,Algeria,group_or_knockout,A_win,"A_win,B_win,draw",3,True
895,Sweden,England,group_or_knockout,B_win,"A_win,B_win,draw",3,True
509,Italy,Spain,group_or_knockout,A_win,"A_win,B_win,draw",3,True
719,Netherlands,Denmark,group_or_knockout,A_win,"A_win,draw",2,True
600,France,Uruguay,group_or_knockout,draw,"A_win,B_win,draw",3,True
222,Czechoslovakia,England,tournament,B_win,"B_win,draw",2,True
655,United States,Czech Republic,group_or_knockout,B_win,"A_win,B_win,draw",3,True
112,Brazil,England,tournament,draw,"A_win,draw",2,True
476,Germany,Spain,group_or_knockout,draw,"A_win,B_win,draw",3,True
485,Argentina,Nigeria,group_or_knockout,A_win,"A_win,draw",2,True
330,Algeria,Austria,tournament,B_win,"B_win,draw",2,True
280,Germany,Mexico,tournament,A_win,"A_win,draw",2,True
278,Peru,Scotland,tournament,A_win,"A_win,B_win,draw",3,True
350,Belgium,Russia,tournament,B_win,"B_win,draw",2,True
932,Portugal,Uruguay,group_or_knockout,A_win,"A_win,B_win,draw",3,True
188,Mexico,Uruguay,tournament,draw,"B_win,draw",2,True
66,Chile,United States,tournament,A_win,"A_win,B_win,draw",3,True
948,South Korea,Portugal,group_or_knockout,A_win,"B_win,draw",2,False
612,Tunisia,Belgium,group_or_knockout,draw,"B_win,draw",2,True
584,Uruguay,Denmark,group_or_knockout,B_win,"A_win,B_win,draw",3,True
925,Japan,Costa Rica,group_or_knockout,B_win,"A_win,B_win,draw",3,True
70,Brazil,Sweden,tournament,A_win,"A_win,draw",2,True
411,France,Belgium,group_or_knockout,A_win,"A_win,B_win,draw",3,True
