source,connected_teams,player_commercial_influence,avg_influence,pagerank,betweenness,closeness
Switzerland team_defense_unit,1,8.396,8.396,0.000644,0.0,0.006526
Germany team_defense_unit,1,8.364,8.364,0.000753,0.0,0.007284
Brazil team_attack_unit,1,8.21,8.21,0.000694,0.0,0.007284
Russia team_defense_unit,1,8.072,8.072,0.00072,0.0,0.006526
Sweden team_attack_unit,1,8.013,8.013,0.000679,0.0,0.006526
Brazil team_midfield_unit,1,7.952,7.952,0.000676,0.0,0.007284
Colombia team_midfield_unit,1,7.73,7.73,0.000737,0.0,0.006526
Denmark team_defense_unit,1,7.171,7.171,0.000678,0.0,0.007284
England team_defense_unit,1,7.14,7.14,0.000686,0.0,0.006526
Netherlands team_defense_unit,1,7.114,7.114,0.000607,0.0,0.006526
Switzerland team_midfield_unit,1,7.11,7.11,0.000562,0.0,0.006526
Mexico team_defense_unit,1,6.994,6.994,0.000697,0.0,0.006526
Saudi Arabia team_attack_unit,1,6.878,6.878,0.000608,0.0,0.006526
Portugal team_defense_unit,1,6.815,6.815,0.000728,0.0,0.006526
Uruguay team_defense_unit,1,6.799,6.799,0.000704,0.0,0.006526
Senegal team_defense_unit,1,6.694,6.694,0.000637,0.0,0.006526
Japan team_attack_unit,1,6.623,6.623,0.000871,0.0,0.007284
Bulgaria team_midfield_unit,1,6.51,6.51,0.000771,0.0,0.006526
Sweden team_defense_unit,1,6.448,6.448,0.000567,0.0,0.006526
Hungary team_attack_unit,1,6.442,6.442,0.000663,0.0,0.007284
South Korea team_attack_unit,1,6.352,6.352,0.000737,0.0,0.006526
Senegal team_attack_unit,1,6.255,6.255,0.000602,0.0,0.006526
Argentina team_midfield_unit,1,6.221,6.221,0.000627,0.0,0.006526
Spain team_defense_unit,1,6.219,6.219,0.000591,0.0,0.006526
Austria team_attack_unit,1,6.141,6.141,0.000652,0.0,0.006526
Australia team_defense_unit,1,6.023,6.023,0.000686,0.0,0.006526
United States team_defense_unit,1,5.9,5.9,0.000603,0.0,0.006526
Ukraine team_attack_unit,1,5.8,5.8,0.000703,0.0,0.006526
United States team_attack_unit,1,5.788,5.788,0.000594,0.0,0.006526
Russia team_midfield_unit,1,5.722,5.722,0.000541,0.0,0.006526
Netherlands team_attack_unit,1,5.663,5.663,0.000505,0.0,0.006526
Paraguay team_midfield_unit,1,5.659,5.659,0.000576,0.0,0.006526
Netherlands team_midfield_unit,1,5.614,5.614,0.000502,0.0,0.006526
Greece team_midfield_unit,1,5.576,5.576,0.000681,0.0,0.006526
Czechoslovakia team_defense_unit,1,5.561,5.561,0.000539,0.0,0.007284
Yugoslavia team_defense_unit,1,5.559,5.559,0.000557,0.0,0.006526
Hungary team_defense_unit,1,5.552,5.552,0.000586,0.0,0.007284
Czechoslovakia team_attack_unit,1,5.496,5.496,0.000534,0.0,0.007284
Paraguay team_defense_unit,1,5.37,5.37,0.000552,0.0,0.006526
Argentina team_defense_unit,1,5.224,5.224,0.000543,0.0,0.006526
Cameroon team_attack_unit,1,5.211,5.211,0.000704,0.0,0.006526
Colombia team_defense_unit,1,5.133,5.133,0.000525,0.0,0.006526
Czechoslovakia team_midfield_unit,1,5.131,5.131,0.000505,0.0,0.007284
Germany team_attack_unit,1,5.09,5.09,0.0005,0.0,0.007284
Saudi Arabia team_defense_unit,1,5.012,5.012,0.000472,0.0,0.006526
Saudi Arabia team_midfield_unit,1,5.0,5.0,0.000471,0.0,0.006526
Northern Ireland team_attack_unit,1,4.927,4.927,0.000703,0.0,0.006526
Yugoslavia team_midfield_unit,1,4.921,4.921,0.000506,0.0,0.006526
Spain team_attack_unit,1,4.877,4.877,0.000487,0.0,0.006526
Poland team_defense_unit,1,4.844,4.844,0.000616,0.0,0.007284
Iran team_attack_unit,1,4.841,4.841,0.000623,0.0,0.007284
Italy team_midfield_unit,1,4.833,4.833,0.000578,0.0,0.006526
Spain team_midfield_unit,1,4.811,4.811,0.000482,0.0,0.006526
Nigeria team_midfield_unit,1,4.706,4.706,0.000715,0.0,0.007284
Romania team_attack_unit,1,4.588,4.588,0.000556,0.0,0.006526
Austria team_defense_unit,1,4.521,4.521,0.000508,0.0,0.006526
Ecuador team_attack_unit,1,4.469,4.469,0.000675,0.0,0.006526
Romania team_midfield_unit,1,4.457,4.457,0.000543,0.0,0.006526
Serbia team_attack_unit,1,4.434,4.434,0.000637,0.0,0.006526
