sponsor,budget_m,media_multiplier,expected_roi,risk_adjusted_roi,risk_penalty,recommendation
Adidas,10,0.8,0.4026,0.2793,0.3063,test_or_hold
Adidas,10,1.0,0.4183,0.2902,0.3063,test_or_hold
Adidas,10,1.25,0.4044,0.259,0.3596,test_or_hold
Adidas,10,1.5,0.4225,0.2706,0.3596,test_or_hold
Adidas,25,0.8,0.8902,0.6175,0.3063,test_or_hold
Adidas,25,1.0,0.925,0.6416,0.3063,test_or_hold
Adidas,25,1.25,0.8941,0.5726,0.3596,test_or_hold
Adidas,25,1.5,0.9343,0.5983,0.3596,test_or_hold
Adidas,50,0.8,1.4687,1.0188,0.3063,test_or_hold
Adidas,50,1.0,1.5262,1.0587,0.3063,test_or_hold
Adidas,50,1.25,1.4753,0.9447,0.3596,test_or_hold
Adidas,50,1.5,1.5415,0.9872,0.3596,test_or_hold
Adidas,100,0.8,2.0892,1.4492,0.3063,test_or_hold
Adidas,100,1.0,2.1709,1.5059,0.3063,test_or_hold
Adidas,100,1.25,2.0985,1.3438,0.3596,test_or_hold
Adidas,100,1.5,2.1928,1.4042,0.3596,test_or_hold
Budweiser,10,0.8,0.4502,0.3123,0.3063,test_or_hold
Budweiser,10,1.0,0.4679,0.3246,0.3063,test_or_hold
Budweiser,10,1.25,0.4524,0.2897,0.3596,test_or_hold
Budweiser,10,1.5,0.4729,0.3028,0.3596,test_or_hold
Budweiser,25,0.8,0.9771,0.6778,0.3063,test_or_hold
Budweiser,25,1.0,1.0156,0.7045,0.3063,test_or_hold
Budweiser,25,1.25,0.982,0.6289,0.3596,test_or_hold
Budweiser,25,1.5,1.0264,0.6573,0.3596,test_or_hold
Budweiser,50,0.8,1.5695,1.0887,0.3063,test_or_hold
Budweiser,50,1.0,1.6313,1.1316,0.3063,test_or_hold
Budweiser,50,1.25,1.5774,1.0101,0.3596,test_or_hold
Budweiser,50,1.5,1.6487,1.0558,0.3596,test_or_hold
Budweiser,100,0.8,2.1465,1.489,0.3063,test_or_hold
Budweiser,100,1.0,2.2311,1.5476,0.3063,test_or_hold
Budweiser,100,1.25,2.1573,1.3815,0.3596,test_or_hold
Budweiser,100,1.5,2.2549,1.444,0.3596,test_or_hold
Coca-Cola,10,0.8,0.44,0.3052,0.3063,test_or_hold
Coca-Cola,10,1.0,0.4571,0.3171,0.3063,test_or_hold
Coca-Cola,10,1.25,0.4418,0.2829,0.3596,test_or_hold
Coca-Cola,10,1.5,0.4615,0.2956,0.3596,test_or_hold
Coca-Cola,25,0.8,0.964,0.6687,0.3063,test_or_hold
Coca-Cola,25,1.0,1.0016,0.6948,0.3063,test_or_hold
Coca-Cola,25,1.25,0.968,0.6199,0.3596,test_or_hold
Coca-Cola,25,1.5,1.0114,0.6477,0.3596,test_or_hold
Coca-Cola,50,0.8,1.5699,1.089,0.3063,test_or_hold
Coca-Cola,50,1.0,1.631,1.1314,0.3063,test_or_hold
Coca-Cola,50,1.25,1.5763,1.0095,0.3596,test_or_hold
Coca-Cola,50,1.5,1.6469,1.0547,0.3596,test_or_hold
Coca-Cola,100,0.8,2.1898,1.519,0.3063,test_or_hold
Coca-Cola,100,1.0,2.2751,1.5782,0.3063,test_or_hold
Coca-Cola,100,1.25,2.1989,1.4081,0.3596,test_or_hold
Coca-Cola,100,1.5,2.2973,1.4712,0.3596,test_or_hold
Hisense,10,0.8,0.407,0.2823,0.3063,test_or_hold
Hisense,10,1.0,0.423,0.2934,0.3063,test_or_hold
Hisense,10,1.25,0.409,0.2619,0.3596,test_or_hold
Hisense,10,1.5,0.4274,0.2737,0.3596,test_or_hold
Hisense,25,0.8,0.8949,0.6208,0.3063,test_or_hold
Hisense,25,1.0,0.9301,0.6452,0.3063,test_or_hold
Hisense,25,1.25,0.8993,0.5759,0.3596,test_or_hold
Hisense,25,1.5,0.9398,0.6019,0.3596,test_or_hold
Hisense,50,0.8,1.4647,1.016,0.3063,test_or_hold
Hisense,50,1.0,1.5223,1.056,0.3063,test_or_hold
Hisense,50,1.25,1.4718,0.9425,0.3596,test_or_hold
Hisense,50,1.5,1.5382,0.9851,0.3596,test_or_hold
Hisense,100,0.8,2.0585,1.4279,0.3063,test_or_hold
Hisense,100,1.0,2.1394,1.484,0.3063,test_or_hold
Hisense,100,1.25,2.0684,1.3246,0.3596,test_or_hold
Hisense,100,1.5,2.1618,1.3844,0.3596,test_or_hold
Hyundai,10,0.8,0.4458,0.3092,0.3063,test_or_hold
Hyundai,10,1.0,0.4633,0.3214,0.3063,test_or_hold
Hyundai,10,1.25,0.4479,0.2869,0.3596,test_or_hold
Hyundai,10,1.5,0.4681,0.2998,0.3596,test_or_hold
Hyundai,25,0.8,0.972,0.6742,0.3063,test_or_hold
Hyundai,25,1.0,1.0101,0.7007,0.3063,test_or_hold
