sponsor,budget_m,media_multiplier,expected_roi,risk_adjusted_roi,risk_penalty,recommendation
Coca-Cola,100,1.0,2.2751,1.5782,0.3063,test_or_hold
Hyundai,100,1.0,2.2542,1.5637,0.3063,test_or_hold
Budweiser,100,1.0,2.2311,1.5476,0.3063,test_or_hold
Coca-Cola,100,0.8,2.1898,1.519,0.3063,test_or_hold
Vivo,100,1.0,2.1848,1.5155,0.3063,test_or_hold
Mengniu,50,1.0,1.7513,1.2149,0.3063,test_or_hold
Vivo,50,1.0,1.7403,1.2072,0.3063,test_or_hold
McDonald's,50,1.0,1.694,1.175,0.3063,test_or_hold
Mengniu,50,0.8,1.6831,1.1675,0.3063,test_or_hold
Vivo,50,0.8,1.6731,1.1606,0.3063,test_or_hold
Mengniu,25,1.0,1.1793,0.8181,0.3063,test_or_hold
Vivo,25,1.0,1.156,0.8019,0.3063,test_or_hold
Mengniu,25,0.8,1.1334,0.7862,0.3063,test_or_hold
McDonald's,25,1.0,1.1119,0.7713,0.3063,test_or_hold
Vivo,25,0.8,1.1114,0.771,0.3063,test_or_hold
Mengniu,10,1.0,0.5755,0.3992,0.3063,test_or_hold
Vivo,10,1.0,0.5583,0.3873,0.3063,test_or_hold
Mengniu,10,0.8,0.5531,0.3837,0.3063,test_or_hold
Mengniu,10,1.5,0.583,0.3734,0.3596,test_or_hold
Vivo,10,0.8,0.5368,0.3724,0.3063,test_or_hold
