match_id,team_a,team_b,stage,sponsor_roi,roi_pred,roi_interval_low,roi_interval_high,covered
5,Argentina,France,tournament,3.714,3.873,3.637,4.108,True
95,Switzerland,Austria,tournament,3.547,3.943,3.708,4.179,False
561,Argentina,Croatia,group_or_knockout,4.218,4.133,3.897,4.368,True
482,Brazil,Cameroon,group_or_knockout,4.272,4.055,3.82,4.291,True
500,Greece,Nigeria,group_or_knockout,2.854,3.187,2.951,3.422,False
324,Belgium,El Salvador,tournament,3.989,3.812,3.577,4.047,True
94,England,Uruguay,tournament,3.347,3.475,3.239,3.71,True
815,Honduras,Switzerland,group_or_knockout,3.04,3.121,2.886,3.357,True
823,Costa Rica,Greece,group_or_knockout,3.518,3.643,3.407,3.878,True
764,Spain,Portugal,group_or_knockout,3.961,3.722,3.487,3.958,False
390,Mexico,Iraq,group_or_knockout,3.741,3.965,3.729,4.2,True
398,Russia,Belgium,group_or_knockout,4.231,4.348,4.113,4.584,True
565,Brazil,Chile,group_or_knockout,4.216,4.057,3.822,4.292,True
33,Italy,Austria,tournament,3.278,3.341,3.106,3.577,True
387,Argentina,Bulgaria,group_or_knockout,4.305,4.206,3.971,4.441,True
365,Morocco,Poland,group_or_knockout,3.066,3.011,2.775,3.246,True
668,Czech Republic,Ghana,group_or_knockout,3.185,3.265,3.029,3.5,True
454,Italy,Uruguay,group_or_knockout,3.909,3.659,3.424,3.895,False
441,Italy,Czechoslovakia,group_or_knockout,3.602,3.584,3.349,3.819,True
641,South Korea,Germany,group_or_knockout,2.918,3.136,2.901,3.372,True
634,Mexico,United States,group_or_knockout,3.549,3.911,3.676,4.147,False
228,Russia,Uruguay,tournament,4.131,4.047,3.812,4.283,True
370,Paraguay,Iraq,group_or_knockout,4.05,3.892,3.657,4.128,True
643,South Korea,Turkey,group_or_knockout,3.527,3.445,3.21,3.681,True
417,Brazil,Sweden,group_or_knockout,4.223,3.968,3.733,4.203,False
453,Republic of Ireland,Romania,group_or_knockout,3.37,3.124,2.888,3.359,False
82,Hungary,South Korea,tournament,3.969,3.98,3.745,4.216,True
799,Argentina,Iran,group_or_knockout,4.372,4.229,3.994,4.465,True
835,Brazil,Netherlands,group_or_knockout,4.028,4.334,4.098,4.569,False
371,Scotland,Denmark,group_or_knockout,3.335,3.414,3.179,3.649,True
312,Hungary,El Salvador,tournament,4.357,4.345,4.109,4.58,True
451,Brazil,Argentina,group_or_knockout,3.876,4.01,3.774,4.245,True
53,Hungary,Italy,tournament,3.396,3.642,3.406,3.877,False
882,Senegal,Colombia,group_or_knockout,3.395,3.363,3.127,3.598,True
343,Germany,Austria,tournament,4.076,3.925,3.689,4.16,True
541,Belgium,Mexico,group_or_knockout,3.684,3.838,3.602,4.073,True
