feature,mean_abs_contribution,direction
a_brand_heat_index,0.12144,positive
a_sponsor_spend_m,0.11335,negative
team_a_strength,0.10918,positive
a_ad_exposure_m,0.0979,positive
commercial_momentum_score,0.0389,positive
sponsor_team_fit_score,0.0384,positive
elo_diff,0.03485,positive
fan_score,0.0337,positive
a_activation_quality,0.03068,negative
event_attention_m,0.02905,positive
a_player_followers_m,0.02172,positive
a_sponsor_power_index,0.02059,positive
media_reposts_k,0.02023,positive
a_core_market_value_m,0.01831,positive
media_exposure_index,0.01728,positive
text_signal_score,0.01487,negative
a_historical_sports_presence,0.01299,negative
host_advantage_a,0.01284,positive
news_sentiment_score,0.01252,positive
a_core_player_rating,0.01217,negative
fan_growth_7d_pct,0.00899,positive
injury_risk_score,0.00871,negative
a_player_sentiment_score,0.00869,positive
time_decay_attention,0.00827,negative
a_avg_injury_risk,0.00825,negative
a_brand_fit,0.00813,negative
a_player_fan_growth_30d_pct,0.00812,positive
a_avg_availability_score,0.00343,positive
weather_impact_score,0.00323,positive
a_paid_media_share,0.00168,negative
engagement_rate,0.00061,negative
stage_premium_score,0.0,negative
