source,connected_nodes,sponsor_influence,avg_edge_weight,pagerank,betweenness,closeness
sponsor:Adidas,246,1181.877,2.3638,0.039471,0.000798,0.306554
sponsor:Coca-Cola,253,1127.993,2.2118,0.039392,0.002738,0.307841
sponsor:Visa,239,1092.408,2.2664,0.037438,0.0013,0.304817
sponsor:Hyundai,220,1014.342,2.3265,0.034533,0.000943,0.300501
sponsor:Hisense,194,840.322,2.1883,0.0298,0.00237,0.294467
sponsor:Budweiser,177,777.636,2.2346,0.027287,0.001297,0.290542
sponsor:Qatar Airways,174,768.503,2.2471,0.027033,0.001549,0.289915
sponsor:Vivo,170,654.003,1.9581,0.025342,0.020464,0.289188
sponsor:McDonald's,151,571.764,1.9581,0.022303,0.012939,0.284998
sponsor:Mengniu,134,507.249,1.951,0.019882,0.014714,0.281418
