sponsor,team,expected_roi,fan_score,momentum,spend_m,negative_roi_probability,interval_width,budget_priority,avg_scenario_lift,decision_score,risk_level,recommendation
Hyundai,Argentina,4.0004,0.6056,0.6754,30.74,0.0,0.42,0,0.0088,2.1141,low,Scale investment
Coca-Cola,Germany,3.8867,0.6673,0.6422,29.19,0.0,0.42,0,0.0088,2.0628,low,Scale investment
Adidas,Brazil,3.8687,0.5669,0.6501,33.15,0.0,0.42,0,0.0088,2.0414,low,Scale investment
Visa,Belgium,3.8204,0.7024,0.6363,26.85,0.0,0.42,0,0.0088,2.035,low,Scale investment
Hyundai,Russia,3.838,0.5624,0.6171,26.07,0.0,0.42,0,0.0,2.0197,low,Scale investment
Mengniu,Turkey,3.6691,0.5289,0.4587,18.0,0.0,0.42,1,0.0,2.0086,low,Scale investment
Hisense,Croatia,3.7395,0.7072,0.6452,28.53,0.0,0.42,0,0.0,1.9972,low,Scale investment
Hyundai,Mexico,3.7813,0.5764,0.6205,28.5,0.0,0.42,0,0.0088,1.996,low,Scale investment
Adidas,Jamaica,3.8407,0.369,0.5423,33.24,0.0,0.42,0,0.0,1.982,low,Scale investment
Mengniu,Bosnia and Herzegovina,3.6557,0.421,0.401,16.77,0.0,0.42,1,0.0,1.9778,low,Scale investment
Adidas,Japan,3.7696,0.46,0.5684,29.47,0.0,0.42,0,0.0,1.9648,low,Scale investment
Visa,Saudi Arabia,3.7425,0.4898,0.5438,27.16,0.0,0.42,0,0.0,1.952,low,Scale investment
Budweiser,Spain,3.6784,0.5993,0.5863,27.85,0.0,0.42,0,0.0088,1.9444,low,Scale investment
McDonald's,Ecuador,3.544,0.4975,0.4403,16.55,0.0,0.42,1,0.0,1.9412,low,Scale investment
Budweiser,El Salvador,3.8125,0.2897,0.4325,33.75,0.0,0.42,0,0.0,1.9398,low,Scale investment
Adidas,Switzerland,3.6842,0.5322,0.5962,31.4,0.0,0.42,0,0.0088,1.9394,low,Selective activation
Hyundai,Paraguay,3.729,0.4158,0.5457,26.2,0.0,0.42,0,0.0088,1.9365,low,Selective activation
Adidas,Hungary,3.6939,0.4872,0.5854,33.47,0.0,0.42,0,0.0088,1.936,low,Selective activation
Visa,Costa Rica,3.6706,0.5419,0.5992,31.23,0.0,0.42,0,0.0,1.9336,low,Selective activation
Hyundai,Australia,3.7495,0.33,0.541,29.32,0.0,0.42,0,0.0,1.9325,low,Selective activation
Qatar Airways,Yugoslavia,3.5792,0.3273,0.3586,17.82,0.0,0.42,1,0.0,1.9212,low,Selective activation
Coca-Cola,Poland,3.6662,0.5057,0.5566,28.97,0.0,0.42,0,0.0,1.9196,low,Selective activation
Budweiser,Sweden,3.6451,0.5737,0.5505,26.29,0.0,0.42,0,0.0088,1.9191,low,Selective activation
Hyundai,Tunisia,3.6837,0.4252,0.5636,28.75,0.0,0.42,0,0.0,1.9179,low,Selective activation
Adidas,German DR,3.7143,0.3573,0.521,33.59,0.0,0.42,0,0.0,1.9163,low,Selective activation
Adidas,Iceland,3.7223,0.3263,0.5073,32.31,0.0,0.42,0,0.0,1.9136,low,Selective activation
Budweiser,Ivory Coast,3.6953,0.3801,0.4922,26.15,0.0,0.42,0,0.0,1.9057,low,Selective activation
Qatar Airways,France,3.6142,0.5905,0.5334,24.02,0.0,0.42,0,0.0088,1.9039,low,Selective activation
Hisense,Netherlands,3.6091,0.5242,0.5926,32.27,0.0,0.42,0,0.0088,1.9016,low,Selective activation
Coca-Cola,Denmark,3.5679,0.6227,0.6313,33.85,0.0,0.42,0,0.0,1.9008,low,Selective activation
Hisense,Canada,3.705,0.357,0.4468,28.16,0.0,0.42,0,0.0,1.8999,low,Selective activation
Mengniu,Portugal,3.4349,0.5038,0.4547,17.76,0.0,0.42,1,0.0,1.892,low,Selective activation
McDonald's,New Zealand,3.7297,0.3217,0.3455,20.14,0.0,0.42,0,0.0,1.8906,low,Selective activation
Hisense,Chile,3.6033,0.4944,0.5162,27.36,0.0,0.42,0,0.0088,1.8824,low,Selective activation
Budweiser,Scotland,3.5886,0.5293,0.5133,26.35,0.0,0.42,0,0.0088,1.8798,low,Selective activation
Hyundai,Iraq,3.6987,0.221,0.433,29.12,0.0,0.42,0,0.0,1.8756,low,Selective activation
Vivo,Uruguay,3.5538,0.6179,0.5052,19.75,0.0,0.42,0,0.0088,1.8742,low,Selective activation
McDonald's,England,3.5609,0.5927,0.4976,20.29,0.0,0.42,0,0.0088,1.8729,low,Selective activation
Vivo,Serbia,3.5674,0.5479,0.4918,23.55,0.0,0.42,0,0.0,1.8677,low,Selective activation
Visa,Italy,3.6002,0.3545,0.5412,33.4,0.0,0.42,0,0.0088,1.8654,low,Selective activation
Qatar Airways,Ukraine,3.6344,0.35,0.4024,21.7,0.0,0.42,0,0.0,1.8579,low,Selective activation
Visa,Iran,3.5463,0.4572,0.5409,29.04,0.0,0.42,0,0.0,1.8528,low,Monitor or defer
Adidas,North Korea,3.6023,0.3347,0.4766,26.45,0.0,0.42,0,0.0,1.8522,low,Monitor or defer
Hisense,Peru,3.5359,0.4539,0.5224,33.45,0.0,0.42,0,0.0088,1.8454,low,Monitor or defer
Coca-Cola,Nigeria,3.5834,0.3448,0.4819,26.63,0.0,0.42,0,0.0,1.8454,low,Monitor or defer
Hyundai,Egypt,3.5851,0.309,0.5007,30.54,0.0,0.42,0,0.0088,1.8453,low,Monitor or defer
Coca-Cola,Indonesia,3.695,0.115,0.341,32.51,0.0,0.42,0,0.0,1.8443,low,Monitor or defer
Budweiser,Senegal,3.5264,0.4171,0.5531,31.49,0.0,0.42,0,0.0,1.8396,low,Monitor or defer
Adidas,United Arab Emirates,3.601,0.2573,0.4367,28.56,0.0,0.42,0,0.0,1.8344,low,Monitor or defer
Coca-Cola,Cameroon,3.5305,0.3905,0.5157,31.97,0.0,0.42,0,0.0,1.8318,low,Monitor or defer
Visa,Czechoslovakia,3.5312,0.3846,0.5045,31.09,0.0,0.42,0,0.0088,1.8306,low,Monitor or defer
Hisense,Algeria,3.5072,0.4215,0.5063,30.28,0.0,0.42,0,0.0,1.8235,low,Monitor or defer
McDonald's,South Korea,3.4941,0.4698,0.4656,25.44,0.0,0.42,0,0.0088,1.8185,low,Monitor or defer
Qatar Airways,Panama,3.57,0.3147,0.353,19.76,0.0,0.42,0,0.0,1.8141,low,Monitor or defer
Coca-Cola,Haiti,3.552,0.2423,0.41,32.91,0.0,0.42,0,0.0,1.8045,low,Monitor or defer
Coca-Cola,Wales,3.5129,0.3056,0.4672,33.92,0.0,0.42,0,0.0,1.8037,low,Monitor or defer
McDonald's,Republic of Ireland,3.5081,0.3851,0.4066,22.06,0.0,0.42,0,0.0,1.8028,low,Monitor or defer
Hisense,Kuwait,3.572,0.1803,0.3657,27.08,0.0,0.42,0,0.0,1.7983,low,Monitor or defer
Mengniu,Morocco,3.4394,0.4517,0.4118,19.44,0.0,0.42,0,0.0,1.78,low,Monitor or defer
Vivo,Slovenia,3.2773,0.3583,0.3457,14.76,0.0,0.42,1,0.0,1.7786,low,Monitor or defer
Mengniu,Slovakia,3.2722,0.3458,0.3688,15.95,0.0,0.42,1,0.0,1.7781,low,Monitor or defer
Mengniu,China PR,3.4863,0.3377,0.355,22.33,0.0,0.42,0,0.0,1.7775,low,Monitor or defer
Budweiser,Greece,3.4328,0.3671,0.4882,30.87,0.0,0.42,0,0.0,1.7772,low,Monitor or defer
Qatar Airways,Northern Ireland,3.4376,0.4177,0.4,21.11,0.0,0.42,0,0.0,1.7725,low,Monitor or defer
Vivo,Colombia,3.4603,0.3438,0.3952,18.25,0.0,0.42,0,0.0,1.7723,low,Monitor or defer
Vivo,United States,3.4181,0.4331,0.421,22.58,0.0,0.42,0,0.0,1.7687,low,Monitor or defer
