team,sponsor,stage,expected_roi,avg_spend_m,fan_score,exposure,momentum,risk_score,downside_roi,samples,ucb_score,rl_value_score,optimizer_score,min_budget_m
Brazil,Adidas,group_or_knockout,4.1407,26.5,0.7592,0.528,0.7395,0.3424,3.9175,58,4.3183,4.3983,4.3543,26.5
Russia,Hyundai,group_or_knockout,4.0095,27.7,0.6335,0.5504,0.6604,0.3345,3.7925,21,4.1413,4.2344,4.1832,27.7
Hungary,Adidas,group_or_knockout,4.0503,26.96,0.5923,0.4337,0.613,0.3297,3.8317,3,4.1644,4.1175,4.1433,26.96
Argentina,Hyundai,group_or_knockout,3.9357,33.96,0.6084,0.5074,0.6974,0.3444,3.7108,54,4.0535,4.1457,4.095,33.96
Brazil,Adidas,tournament,3.996,26.5,0.6486,0.3284,0.6594,0.3513,3.7703,57,4.099,4.0018,4.0553,26.5
France,Qatar Airways,group_or_knockout,3.8852,27.11,0.5788,0.517,0.6357,0.3369,3.6646,46,3.989,4.0947,4.0366,27.11
Germany,Coca-Cola,group_or_knockout,3.8525,28.14,0.5881,0.5,0.6264,0.3287,3.6344,58,3.9718,4.0611,4.012,28.14
North Korea,Adidas,group_or_knockout,3.865,29.14,0.496,0.597,0.5827,0.333,3.644,3,3.9358,4.1051,4.012,29.14
New Zealand,McDonald's,tournament,4.0393,19.23,0.276,0.4987,0.3117,0.3773,3.8037,3,3.8734,4.159,4.0019,19.23
Netherlands,Hisense,group_or_knockout,3.8061,28.93,0.7269,0.5147,0.6795,0.3229,3.5891,39,3.9928,4.0038,3.9978,28.93
Yugoslavia,Qatar Airways,group_or_knockout,3.8586,28.84,0.5898,0.476,0.6316,0.3146,3.6516,5,4.0075,3.9732,3.9921,28.84
Italy,Visa,group_or_knockout,3.8313,30.86,0.5199,0.4789,0.6271,0.3214,3.6167,40,3.946,3.9929,3.9671,30.86
Ukraine,Qatar Airways,group_or_knockout,3.8526,29.32,0.4746,0.5136,0.579,0.3274,3.6422,5,3.9272,4.0028,3.9612,29.32
China,Adidas,group_or_knockout,3.8653,32.38,0.3117,0.534,0.5143,0.3337,3.6437,3,3.8609,4.0337,3.9387,32.38
Spain,Budweiser,group_or_knockout,3.7641,28.79,0.6929,0.5214,0.6765,0.3389,3.5406,44,3.9092,3.9648,3.9342,28.79
Japan,Adidas,group_or_knockout,3.7936,26.51,0.4785,0.5468,0.5936,0.3299,3.5759,25,3.8692,4.0028,3.9293,26.51
Sweden,Budweiser,group_or_knockout,3.7661,33.21,0.6075,0.5133,0.6483,0.321,3.5487,23,3.913,3.9375,3.924,33.21
Denmark,Adidas,group_or_knockout,3.7765,32.05,0.6027,0.5245,0.6811,0.3385,3.5578,23,3.8988,3.9524,3.9229,32.05
Costa Rica,Visa,group_or_knockout,3.7775,28.23,0.5205,0.5588,0.5958,0.3318,3.5587,21,3.8618,3.992,3.9204,28.23
Switzerland,Visa,group_or_knockout,3.7314,32.62,0.6742,0.5545,0.6908,0.3265,3.5145,24,3.9001,3.9437,3.9197,32.62
Turkey,Hyundai,group_or_knockout,3.8065,28.74,0.4269,0.5245,0.5908,0.3286,3.5875,8,3.8693,3.9688,3.9141,28.74
Belgium,Visa,group_or_knockout,3.7737,27.71,0.4515,0.5031,0.5778,0.3098,3.5652,37,3.8756,3.9597,3.9134,27.71
Chile,Hisense,group_or_knockout,3.8191,28.57,0.4844,0.5145,0.5566,0.349,3.5912,12,3.847,3.9666,3.9008,28.57
Saudi Arabia,Qatar Airways,group_or_knockout,3.7683,26.92,0.6078,0.5212,0.5981,0.3353,3.5494,19,3.8709,3.9358,3.9001,26.92
Indonesia,Coca-Cola,tournament,3.997,27.26,0.113,0.27,0.316,0.311,3.786,1,3.9161,3.8759,3.898,27.26
Senegal,Budweiser,group_or_knockout,3.6999,26.73,0.6074,0.5717,0.6351,0.321,3.4858,12,3.8424,3.9139,3.8746,26.73
Hungary,Adidas,tournament,3.8168,26.96,0.5339,0.3474,0.5937,0.3279,3.5989,29,3.9117,3.8116,3.8667,26.96
Panama,Qatar Airways,group_or_knockout,3.6863,27.22,0.3857,0.65,0.5083,0.2997,3.4863,3,3.7667,3.9816,3.8634,27.22
Cameroon,Hyundai,group_or_knockout,3.7476,31.3,0.4687,0.5302,0.5958,0.3369,3.5281,23,3.8076,3.9281,3.8618,31.3
Croatia,Hisense,group_or_knockout,3.7465,32.46,0.3773,0.5493,0.5498,0.3328,3.527,30,3.7738,3.9598,3.8575,32.46
South Africa,Hyundai,group_or_knockout,3.7036,29.92,0.4337,0.5376,0.5785,0.3117,3.4941,10,3.7971,3.8828,3.8357,29.92
