sponsor,team,stage,expected_roi,avg_spend,momentum,fan_score,exposure,risk_penalty,utility,cost_m,utility_per_m
Vivo,Slovenia,group_or_knockout,3.2773333333333334,14.76,0.3456666666666666,0.35833333333333334,0.5065000000000001,0.23379052369077308,1.9620617581047384,14.76,0.13293101342173025
Mengniu,Bosnia and Herzegovina,group_or_knockout,3.6556666666666664,16.77,0.401,0.421,0.5296666666666666,0.21479200973723778,2.1934099725543543,16.77,0.13079367755243615
McDonald's,Ecuador,group_or_knockout,3.544,16.55,0.44030769230769234,0.4974615384615385,0.5036923076923077,0.22007042253521125,2.1459743661971835,16.55,0.12966612484575127
Mengniu,Turkey,tournament,3.7176666666666662,18.0,0.4126666666666667,0.49300000000000005,0.39666666666666667,0.21196919381049956,2.222625797828493,18.0,0.12347921099047182
Mengniu,Slovakia,group_or_knockout,3.27225,15.95,0.36875,0.34575,0.54575,0.2340686991632044,1.966739504066944,15.95,0.12330655197911874
Mengniu,Turkey,group_or_knockout,3.648285714285714,18.0,0.4784285714285715,0.5442857142857143,0.4937142857142857,0.2151330751736431,2.2158464968432514,18.0,0.12310258315795841
Qatar Airways,Yugoslavia,group_or_knockout,3.5921999999999996,17.82,0.4276,0.3982,0.45499999999999996,0.21776055049867166,2.150155155960106,17.82,0.12065966082828877
Mengniu,Portugal,group_or_knockout,3.437862068965517,17.76,0.45979310344827584,0.52,0.5100344827586207,0.22533372701984494,2.0946646811487573,17.76,0.11794283114576334
Qatar Airways,Yugoslavia,tournament,3.5769285714285712,17.82,0.34632142857142856,0.3146785714285714,0.29014285714285715,0.21848713266850822,2.0939431722436623,17.82,0.1175052285209687
Mengniu,Portugal,tournament,3.4205,17.76,0.43016666666666664,0.42566666666666664,0.3516666666666666,0.226218753534668,2.045917499717227,17.76,0.11519805741651051
Vivo,Colombia,group_or_knockout,3.4906842105263154,18.25,0.40578947368421053,0.3523684210526316,0.488,0.2226832155456325,2.087875342756349,18.25,0.11440412837021091
McDonald's,New Zealand,tournament,3.933666666666667,20.14,0.31866666666666665,0.308,0.4296666666666667,0.20268900749949326,2.303638212733374,20.14,0.11438124194306722
Vivo,Uruguay,group_or_knockout,3.6137,19.75,0.5431666666666667,0.6792333333333332,0.5041,0.21674577887595642,2.2285910043565904,19.75,0.11284005085349826
Vivo,Angola,group_or_knockout,3.442,18.09,0.3013333333333333,0.209,0.4303333333333333,0.22512381809995496,2.0145334278853375,18.09,0.11136171519543049
