team,sponsor,expected_roi,worst_case_roi,tail_risk_score,risk_sensitive_roi,samples
Brazil,Adidas,4.069,2.647,0.0339,4.0266,115
Indonesia,Coca-Cola,3.997,3.786,0.032,3.957,1
Argentina,Hyundai,3.8829,2.986,0.0353,3.8388,88
China,Adidas,3.8653,3.241,0.0348,3.8219,3
Ukraine,Qatar Airways,3.8526,3.489,0.0343,3.8097,5
France,Qatar Airways,3.8416,2.654,0.0354,3.7973,73
Hungary,Adidas,3.8387,2.79,0.0346,3.7954,32
New Zealand,McDonald's,3.83,2.67,0.0364,3.7844,6
Japan,Adidas,3.7936,3.099,0.035,3.7498,25
Germany,Coca-Cola,3.7919,2.941,0.0351,3.748,112
Russia,Hyundai,3.7892,2.883,0.0353,3.7451,45
Italy,Visa,3.786,2.559,0.0352,3.7421,83
Costa Rica,Visa,3.7775,3.017,0.0353,3.7334,21
Denmark,Adidas,3.7765,2.987,0.0358,3.7317,23
Turkey,Hyundai,3.7714,2.964,0.0361,3.7262,11
Saudi Arabia,Qatar Airways,3.7683,3.176,0.0355,3.7239,19
Netherlands,Hisense,3.7654,2.879,0.0347,3.722,55
Spain,Budweiser,3.7526,2.895,0.0361,3.7075,67
Croatia,Hisense,3.7465,2.899,0.0358,3.7018,30
Belgium,Visa,3.7279,2.484,0.034,3.6855,51
Cameroon,Hyundai,3.7261,3.003,0.036,3.6811,26
Switzerland,Visa,3.7226,2.493,0.0356,3.6782,42
Sweden,Budweiser,3.7211,2.581,0.0351,3.6772,51
United Arab Emirates,Adidas,3.7223,2.823,0.0364,3.6769,3
South Africa,Hyundai,3.7036,3.285,0.0346,3.6603,10
Senegal,Budweiser,3.6999,2.847,0.0354,3.6557,12
Kuwait,Hisense,3.6977,3.138,0.0357,3.6531,3
South Korea,Hisense,3.6904,3.142,0.036,3.6454,39
El Salvador,Budweiser,3.687,2.924,0.0335,3.6451,6
Iceland,Visa,3.692,3.032,0.0385,3.6439,3
Panama,Qatar Airways,3.6863,3.202,0.034,3.6439,3
Nigeria,Coca-Cola,3.689,3.089,0.0374,3.6422,21
Bosnia and Herzegovina,Budweiser,3.6788,3.185,0.0354,3.6344,4
Jamaica,Vivo,3.683,2.965,0.0397,3.6334,3
Yugoslavia,Qatar Airways,3.6763,2.748,0.036,3.6313,33
Paraguay,Hyundai,3.6698,2.898,0.0362,3.6245,28
German DR,Visa,3.6657,3.15,0.0355,3.6213,6
Peru,Budweiser,3.6632,2.899,0.036,3.6182,18
Ivory Coast,McDonald's,3.6613,2.954,0.0345,3.6182,9
Scotland,Adidas,3.6535,2.515,0.0381,3.6058,24
North Korea,Adidas,3.6523,3.124,0.0384,3.6043,7
Canada,Qatar Airways,3.645,2.938,0.0354,3.6007,7
Czechoslovakia,Coca-Cola,3.6419,2.988,0.036,3.5969,30
Norway,McDonald's,3.6278,2.616,0.0368,3.5818,8
Honduras,Visa,3.6256,3.043,0.0361,3.5805,9
Tunisia,Coca-Cola,3.6248,3.127,0.0363,3.5794,18
Wales,Coca-Cola,3.6192,3.003,0.0366,3.5735,8
Poland,Coca-Cola,3.6178,2.536,0.0378,3.5706,38
Northern Ireland,Hisense,3.6108,3.041,0.0369,3.5647,13
Algeria,Budweiser,3.61,2.998,0.0387,3.5617,13
Morocco,Coca-Cola,3.6045,3.047,0.0366,3.5587,24
Egypt,Hyundai,3.5944,3.008,0.037,3.5482,7
Mexico,Vivo,3.5943,2.616,0.0373,3.5476,61
Colombia,Mengniu,3.5908,2.823,0.036,3.5459,22
Australia,Mengniu,3.5902,2.775,0.0368,3.5442,21
Greece,Qatar Airways,3.588,3.089,0.0379,3.5406,10
Serbia,Vivo,3.5672,2.942,0.036,3.5222,16
Chile,Hisense,3.5567,2.775,0.0394,3.5075,33
Romania,Qatar Airways,3.551,2.657,0.0358,3.5062,21
Bulgaria,Visa,3.5478,3.065,0.0364,3.5023,26
Ecuador,McDonald's,3.5311,2.882,0.0369,3.485,13
Iran,Adidas,3.5327,2.942,0.0385,3.4846,18
Ghana,Vivo,3.5261,2.985,0.0364,3.4806,15
Republic of Ireland,Hisense,3.5286,2.883,0.04,3.4787,13
United States,Mengniu,3.5226,2.946,0.0371,3.4762,38
DR Congo,Hyundai,3.5203,2.999,0.0362,3.4751,3
Portugal,Mengniu,3.5188,2.73,0.0369,3.4726,35
Uruguay,Vivo,3.5171,2.605,0.0381,3.4695,59
England,McDonald's,3.4927,2.836,0.0386,3.4444,74
Haiti,Mengniu,3.3948,2.515,0.0464,3.3368,4
Angola,Coca-Cola,3.3717,2.73,0.0394,3.3224,3
Slovenia,Vivo,3.3565,2.836,0.0393,3.3074,6
Austria,McDonald's,3.3567,2.79,0.0407,3.3058,29
Trinidad and Tobago,Mengniu,3.345,2.581,0.0409,3.2938,3
Slovakia,McDonald's,3.3258,2.67,0.0408,3.2748,4
Czech Republic,Mengniu,3.3232,2.907,0.0402,3.2729,4
Iraq,McDonald's,3.2923,2.484,0.043,3.2386,3
Bolivia,Hisense,3.2385,2.647,0.0385,3.1904,6
Togo,Vivo,3.0807,2.493,0.0452,3.0241,3
Qatar,Vivo,3.0158,2.67,0.041,2.9645,4
Cuba,Mengniu,2.9607,2.657,0.0387,2.9123,3
Israel,Budweiser,2.8563,2.559,0.0509,2.7927,3
