year,stage,avg_roi,avg_attention,avg_player_rating,samples,ewm_roi,temporal_attention_score,model_family
2034,group_or_knockout,,,,0,3.575,0.9378,temporal_ewm_with_transformer_attention_proxy
1990,group_or_knockout,3.7187,51.7454,75.1163,104,3.6809,0.8863,temporal_ewm_with_transformer_attention_proxy
1994,group_or_knockout,3.7031,54.2954,73.875,104,3.6909,0.9004,temporal_ewm_with_transformer_attention_proxy
1998,group_or_knockout,3.8134,55.6681,74.2133,128,3.746,0.914,temporal_ewm_with_transformer_attention_proxy
2002,group_or_knockout,3.7211,56.7844,73.9758,128,3.7348,0.922,temporal_ewm_with_transformer_attention_proxy
2006,group_or_knockout,3.687,57.7631,74.268,128,3.7133,0.932,temporal_ewm_with_transformer_attention_proxy
2010,group_or_knockout,3.6666,59.1544,73.925,128,3.6923,0.9417,temporal_ewm_with_transformer_attention_proxy
2014,group_or_knockout,3.7832,61.4983,74.8914,128,3.7332,0.9672,temporal_ewm_with_transformer_attention_proxy
2018,group_or_knockout,3.7814,62.8894,73.8141,128,3.7549,0.9725,temporal_ewm_with_transformer_attention_proxy
2022,group_or_knockout,3.7014,64.4525,73.6445,128,3.7308,0.9847,temporal_ewm_with_transformer_attention_proxy
2026,group_or_knockout,3.408,65.225,69.6062,16,3.5856,0.967,temporal_ewm_with_transformer_attention_proxy
2026,group_or_knockout,,,,0,3.5856,0.9332,temporal_ewm_with_transformer_attention_proxy
1930,tournament,3.4116,33.5556,73.6389,36,3.4116,0.7971,temporal_ewm_with_transformer_attention_proxy
1934,tournament,3.5281,35.5188,77.2529,34,3.464,0.8396,temporal_ewm_with_transformer_attention_proxy
1938,tournament,3.723,38.1867,76.6,36,3.5806,0.8651,temporal_ewm_with_transformer_attention_proxy
1950,tournament,3.6461,41.09,75.3636,44,3.6101,0.8898,temporal_ewm_with_transformer_attention_proxy
1954,tournament,3.7028,45.5962,76.5173,52,3.6518,0.9459,temporal_ewm_with_transformer_attention_proxy
1958,tournament,3.6878,43.13,75.0814,70,3.668,0.9105,temporal_ewm_with_transformer_attention_proxy
1962,tournament,3.611,42.7888,76.225,64,3.6423,0.9134,temporal_ewm_with_transformer_attention_proxy
1966,tournament,3.6172,44.2397,76.3672,64,3.631,0.9301,temporal_ewm_with_transformer_attention_proxy
1970,tournament,3.5829,46.1112,74.9297,64,3.6094,0.9423,temporal_ewm_with_transformer_attention_proxy
1974,tournament,3.6479,46.6558,75.6092,76,3.6267,0.9522,temporal_ewm_with_transformer_attention_proxy
1978,tournament,3.7326,48.4053,76.8566,76,3.6744,0.9787,temporal_ewm_with_transformer_attention_proxy
1982,tournament,3.743,50.1369,75.0067,104,3.7053,0.9869,temporal_ewm_with_transformer_attention_proxy
2026,tournament,,,,0,3.8466,0.9126,temporal_ewm_with_transformer_attention_proxy
2030,tournament,,,,0,3.7181,0.9126,temporal_ewm_with_transformer_attention_proxy
2034,tournament,,,,0,3.7181,0.9126,temporal_ewm_with_transformer_attention_proxy
