sponsor,stage,exposure,attention,engagement,conversion,roi_value,predicted_roi,attention_rate,engagement_rate,conversion_rate,roi_efficiency
Adidas,group_or_knockout,30.1065,18.0722,6.5066,1.5975,6.1374,3.8192,0.6003,0.36,0.2455,3.8419
Adidas,tournament,14.6719,8.4934,2.9812,0.7406,2.83,3.7476,0.5789,0.351,0.2484,3.8212
Budweiser,group_or_knockout,29.2364,17.6278,6.0705,1.4384,5.2748,3.6467,0.6029,0.3444,0.2369,3.6671
Budweiser,tournament,14.2899,8.2193,2.6728,0.6183,2.27,3.593,0.5752,0.3252,0.2313,3.6714
Coca-Cola,group_or_knockout,28.6705,17.3817,6.1012,1.5383,5.7947,3.7052,0.6063,0.351,0.2521,3.767
Coca-Cola,tournament,15.8804,9.5015,3.2704,0.8469,3.2137,3.7659,0.5983,0.3442,0.259,3.7947
Hisense,group_or_knockout,28.9156,17.5001,6.0998,1.5059,5.5487,3.6494,0.6052,0.3486,0.2469,3.6846
Hisense,tournament,15.7643,8.554,2.7595,0.6469,2.27,3.465,0.5426,0.3226,0.2344,3.509
Hyundai,group_or_knockout,28.4823,17.0781,6.1788,1.4883,5.8266,3.8695,0.5996,0.3618,0.2409,3.9149
Hyundai,tournament,14.6597,8.5411,2.9739,0.7234,2.7907,3.7941,0.5826,0.3482,0.2432,3.8578
McDonald's,group_or_knockout,27.8864,16.3547,5.17,1.244,4.4334,3.5256,0.5865,0.3161,0.2406,3.5638
McDonald's,tournament,14.4011,8.1232,2.4687,0.6033,2.1099,3.455,0.5641,0.3039,0.2444,3.4973
Mengniu,group_or_knockout,30.3367,16.9896,5.1823,1.2382,4.2944,3.4496,0.56,0.305,0.2389,3.4683
Mengniu,tournament,17.0925,9.3644,2.7593,0.6745,2.3732,3.4808,0.5479,0.2947,0.2444,3.5185
Qatar Airways,group_or_knockout,28.0668,16.5453,5.3846,1.331,4.784,3.5351,0.5895,0.3254,0.2472,3.5943
Qatar Airways,tournament,13.8706,7.5368,2.2593,0.561,2.0055,3.5031,0.5434,0.2998,0.2483,3.5749
Visa,group_or_knockout,28.4217,16.8174,5.8646,1.3679,5.1002,3.684,0.5917,0.3487,0.2332,3.7285
Visa,tournament,13.5482,7.1102,2.3179,0.5526,2.0035,3.5683,0.5248,0.326,0.2384,3.6256
Vivo,group_or_knockout,29.2142,16.9629,5.3089,1.2828,4.5153,3.4798,0.5806,0.313,0.2416,3.5199
Vivo,tournament,12.3956,7.044,2.1287,0.5344,1.8453,3.4612,0.5683,0.3022,0.251,3.453
