team,attention_segment,commercial_segment,rows,avg_media_exposure,avg_attention,avg_social_interaction,avg_conversion_proxy,avg_efficiency,avg_roi,persona
Germany,High attention,Premium,63,0.4666,0.4742,0.3613,0.73,1.5988,4.279,Efficient niche sponsor audience
Germany,Mid attention,Premium,34,0.2864,0.3516,0.3526,0.7064,2.6131,4.1804,Efficient niche sponsor audience
Turkey,Mid attention,Watchlist,1,0.2795,0.3499,0.3743,0.6964,2.4913,4.403,Efficient niche sponsor audience
Argentina,High attention,Premium,16,0.5714,0.534,0.3643,0.6847,1.2071,4.2082,Developing attention segment
Brazil,High attention,Premium,6,0.6292,0.6188,0.3525,0.6812,1.1002,4.2928,High-intent global fans
Germany,Mid attention,Scalable,15,0.2348,0.3062,0.3178,0.681,3.1453,4.0747,Efficient niche sponsor audience
Argentina,Mid attention,Premium,48,0.3995,0.4234,0.3419,0.6698,1.7602,4.1457,Efficient niche sponsor audience
Russia,High attention,Premium,5,0.6324,0.5803,0.3804,0.6694,1.0621,4.4362,High-intent global fans
Hungary,High attention,Premium,1,0.7747,0.5904,0.7112,0.6607,0.8529,4.447,High-intent global fans
Croatia,High attention,Premium,24,0.5206,0.5238,0.3541,0.6494,1.2686,4.0748,Efficient niche sponsor audience
France,High attention,Premium,10,0.627,0.6101,0.377,0.6478,1.0388,4.1885,High-intent global fans
Uruguay,High attention,Premium,3,0.6129,0.5162,0.3843,0.6417,1.0493,3.9843,Developing attention segment
Mexico,High attention,Premium,3,0.5314,0.522,0.4161,0.6402,1.2092,4.3007,Developing attention segment
Yugoslavia,Mid attention,Premium,2,0.5174,0.5047,0.4758,0.6396,1.247,4.1705,Developing attention segment
Sweden,High attention,Premium,5,0.5326,0.5203,0.3784,0.6338,1.1959,4.2038,Developing attention segment
Slovakia,Mid attention,Watchlist,1,0.6313,0.5797,0.3927,0.6334,1.0035,4.249,High-intent global fans
Argentina,Mid attention,Scalable,24,0.2819,0.3442,0.3232,0.6332,2.5344,3.9918,Efficient niche sponsor audience
Brazil,Mid attention,Premium,83,0.3954,0.4361,0.3384,0.6286,1.6802,4.0687,Efficient niche sponsor audience
England,High attention,Scalable,7,0.5452,0.5889,0.3739,0.6233,1.15,4.0124,High-intent global fans
Spain,High attention,Premium,13,0.5771,0.5537,0.409,0.6188,1.0874,4.1025,Developing attention segment
Belgium,Mid attention,Premium,3,0.2732,0.4421,0.3265,0.6133,2.2545,4.091,Efficient niche sponsor audience
Belgium,High attention,Premium,35,0.4506,0.4791,0.3786,0.6119,1.4079,4.0858,Efficient niche sponsor audience
Brazil,Mid attention,Scalable,25,0.2143,0.2866,0.318,0.6059,3.3532,3.972,Efficient niche sponsor audience
Croatia,Mid attention,Scalable,3,0.3759,0.414,0.28,0.6032,1.5945,3.884,Efficient niche sponsor audience
France,Mid attention,Premium,44,0.4135,0.4552,0.3306,0.6017,1.5351,3.994,Efficient niche sponsor audience
Nigeria,Mid attention,Scalable,12,0.5151,0.4883,0.3376,0.601,1.1839,3.9819,Developing attention segment
Tunisia,Low attention,Scalable,1,0.2071,0.3428,0.3348,0.5955,2.8761,4.338,Efficient niche sponsor audience
Nigeria,Mid attention,Premium,1,0.5808,0.3438,0.2966,0.5913,1.018,3.943,Developing attention segment
France,Mid attention,Scalable,19,0.283,0.3196,0.3272,0.591,2.6339,3.9491,Efficient niche sponsor audience
Switzerland,Mid attention,Scalable,24,0.2867,0.3583,0.3348,0.5857,2.4149,3.9911,Efficient niche sponsor audience
Spain,Mid attention,Scalable,29,0.2723,0.3645,0.3239,0.5821,2.5517,3.9518,Efficient niche sponsor audience
Poland,Mid attention,Premium,15,0.4117,0.447,0.302,0.5803,1.4681,3.9598,Efficient niche sponsor audience
Poland,Mid attention,Scalable,23,0.3723,0.4119,0.3373,0.5797,1.6937,3.9574,Efficient niche sponsor audience
Scotland,Mid attention,Premium,3,0.3968,0.4811,0.3067,0.5792,1.5051,4.0387,Efficient niche sponsor audience
Spain,Mid attention,Premium,25,0.4386,0.475,0.3451,0.5779,1.361,3.9334,Efficient niche sponsor audience
Yugoslavia,Mid attention,Scalable,13,0.3406,0.3915,0.3674,0.5753,1.7349,3.9068,Efficient niche sponsor audience
Belgium,High attention,Scalable,6,0.3383,0.3842,0.322,0.574,1.7127,3.9303,Efficient niche sponsor audience
Croatia,Mid attention,Premium,3,0.3825,0.4301,0.3126,0.5731,1.507,3.759,Efficient niche sponsor audience
Netherlands,Mid attention,Scalable,21,0.3383,0.4387,0.3359,0.5723,1.8517,3.9028,Efficient niche sponsor audience
Belgium,Mid attention,Scalable,7,0.1912,0.2747,0.2671,0.5718,3.4391,3.9213,Efficient niche sponsor audience
Netherlands,Mid attention,Premium,34,0.4742,0.4714,0.3508,0.5718,1.2542,3.9004,Efficient niche sponsor audience
Uruguay,High attention,Scalable,18,0.5156,0.4924,0.3631,0.57,1.1227,3.7107,Developing attention segment
Sweden,Mid attention,Scalable,29,0.289,0.3606,0.3315,0.5687,2.2447,3.9375,Efficient niche sponsor audience
Australia,Mid attention,Scalable,8,0.5722,0.5612,0.3548,0.5687,0.9962,4.0334,Developing attention segment
El Salvador,Mid attention,Premium,1,0.7747,0.5904,0.7112,0.5683,0.7336,4.447,Social amplifiers
Yugoslavia,Low attention,Scalable,18,0.204,0.2786,0.2981,0.5675,3.0895,3.8744,Efficient niche sponsor audience
Denmark,High attention,Premium,1,0.5907,0.5928,0.3336,0.5674,0.9605,4.115,Developing attention segment
Nigeria,Low attention,Scalable,8,0.3972,0.457,0.2916,0.5648,1.4228,3.8346,Efficient niche sponsor audience
Romania,Mid attention,Scalable,10,0.4076,0.417,0.348,0.5641,1.406,3.843,Efficient niche sponsor audience
Uruguay,Mid attention,Scalable,38,0.2585,0.3377,0.3254,0.5631,2.3988,3.6837,Efficient niche sponsor audience
Russia,Mid attention,Premium,17,0.391,0.4276,0.3305,0.5629,1.4983,4.0028,Efficient niche sponsor audience
England,High attention,Premium,4,0.6555,0.6168,0.4855,0.5602,0.8611,3.7708,Broadcast-led awareness audience
Sweden,Mid attention,Premium,17,0.3872,0.4251,0.3398,0.5583,1.5048,3.8951,Efficient niche sponsor audience
Mexico,Mid attention,Premium,27,0.4377,0.4573,0.3339,0.5551,1.2946,3.9466,Efficient niche sponsor audience
Ecuador,Mid attention,Watchlist,1,0.4512,0.3906,0.2535,0.5547,1.2293,3.851,Developing attention segment
Chile,Mid attention,Scalable,26,0.316,0.3766,0.309,0.5527,2.0745,3.9664,Efficient niche sponsor audience
Bosnia and Herzegovina,Mid attention,Watchlist,2,0.4818,0.4908,0.2472,0.5512,1.1504,4.0305,Developing attention segment
Canada,Mid attention,Scalable,3,0.5659,0.5779,0.4817,0.5492,0.9899,4.09,Developing attention segment
Iceland,Low attention,Scalable,1,0.4349,0.425,0.3042,0.5487,1.2617,4.305,Efficient niche sponsor audience
Paraguay,Mid attention,Scalable,21,0.3935,0.4424,0.3239,0.5483,1.4534,3.9349,Efficient niche sponsor audience
Senegal,Mid attention,Scalable,7,0.5022,0.4948,0.4356,0.5468,1.1114,3.8106,Developing attention segment
Senegal,Mid attention,Premium,5,0.5329,0.4967,0.3763,0.5467,1.0894,3.8106,Developing attention segment
Chile,Mid attention,Premium,6,0.445,0.4995,0.3115,0.5466,1.2937,3.9427,Efficient niche sponsor audience
Switzerland,High attention,Premium,2,0.6882,0.681,0.4198,0.5443,0.7874,3.8165,Broadcast-led awareness audience
Ivory Coast,Mid attention,Scalable,8,0.4937,0.5184,0.3867,0.5412,1.1013,3.9633,Developing attention segment
Australia,Low attention,Scalable,9,0.3925,0.4621,0.3071,0.5409,1.4624,3.9188,Efficient niche sponsor audience
